run_accession	sample_accession	sample_title	library_strategy	library_source	library_selection	library_name	experiment_title	fastq_md5	fastq_ftp
SRR26540980	SAMN38001589	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h07A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	efbd983c62a2e650bddb5daa3c841e0c;059b4bd75cccb071d7cb961f5877f2b8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/080/SRR26540980/SRR26540980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/080/SRR26540980/SRR26540980_2.fastq.gz
SRR26540982	SAMN38001588	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h06C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	6c08fee995e6344d2ceb2b6c68063de3;e6dd8a760dcb5bff09b863ee0f9ba254	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/082/SRR26540982/SRR26540982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/082/SRR26540982/SRR26540982_2.fastq.gz
SRR26540985	SAMN38001586	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h06A_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	165df4a9f85fe5aab4a54d54647baab0;25272de3d8765b147bd30d17b0f4eb2f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/085/SRR26540985/SRR26540985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/085/SRR26540985/SRR26540985_2.fastq.gz
SRR26540987	SAMN38001585	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h05C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	438429748cb85c84b65b7ce3d74f6699;c33c69109c8c2ebfbb30f667dba7dbb4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/087/SRR26540987/SRR26540987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/087/SRR26540987/SRR26540987_2.fastq.gz
SRR26540994	SAMN38001578	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h03C1_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	6f1b69edd68485bf7017f578e56b6f8c;134483fba1ec39273c6312930a0da06a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/094/SRR26540994/SRR26540994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/094/SRR26540994/SRR26540994_2.fastq.gz
SRR26540997	SAMN38001672	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h66C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	999c70c3c15936b413e050a85fb90f5b;a9f7be4297874f6f808b6483dd05d258	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/097/SRR26540997/SRR26540997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/097/SRR26540997/SRR26540997_2.fastq.gz
SRR26540998	SAMN38001672	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h66C_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	35ee604a8be26f1536aad958298dc117;1a630a5225634f5715e92de229d3a4d3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/098/SRR26540998/SRR26540998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/098/SRR26540998/SRR26540998_2.fastq.gz
SRR26540999	SAMN38001672	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h66C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	b2d1384923998e908d7be2f2a8764b57;b703b7e4b3625af5f992348b6231a8d2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/099/SRR26540999/SRR26540999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/099/SRR26540999/SRR26540999_2.fastq.gz
SRR26541003	SAMN38001670	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h66A_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	e14784cd1925ceb900dcd820c5c1d7ea;6c2cf73af665ac93eee72f12a847f447	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/003/SRR26541003/SRR26541003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/003/SRR26541003/SRR26541003_2.fastq.gz
SRR26541005	SAMN38001670	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h66A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	8e6a6cb507a0e5b64e0fc3dccd614b11;7b71b9c5c10e28447bbbf3df081cd8d8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR26541005/SRR26541005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR26541005/SRR26541005_2.fastq.gz
