cohort,Lumsec-prol,LummHR-major,Lumsec-basal,LummHR-SCGB,basal,Lumsec-major,Lumsec-myo,Lumsec-KIT,LummHR-active,Lumsec-HLA,total
Patient52,42,8169,356,229,217,80,7,4,44,95,9243
Patient16,3269,156,4461,26,57,11,6,8,34,0,8028
Patient63,2575,4664,38,196,254,33,4,4,3,0,7771
Patient56,2358,206,4021,11,19,8,3,117,0,2,6745
Patient26,5461,12,45,79,0,16,194,8,0,0,5815
Patient53,3647,513,394,85,315,159,11,5,359,0,5488
Patient43,1717,253,1041,15,109,403,725,829,302,0,5394
Patient47,1837,503,974,17,270,112,63,136,10,0,3922
Patient17,18,304,23,2303,304,44,12,1,29,0,3038
Patient46,1091,185,1553,16,41,13,8,32,11,0,2950
Patient45,139,130,1870,3,120,15,2,137,18,0,2434
Patient10,94,10,1100,6,411,17,3,8,0,0,1649
Patient39,32,550,344,30,279,85,217,4,92,0,1633
Patient57,3,1117,300,41,17,31,0,0,0,0,1509
Patient19,18,74,24,916,318,7,7,0,35,0,1399
Patient11,917,37,5,214,14,4,0,0,2,0,1193
Patient48,442,386,131,58,64,84,9,7,11,0,1192
Patient18,5,103,11,898,7,9,93,1,21,0,1148
Patient42,242,119,147,90,3,8,0,5,5,0,619
Patient15,9,191,51,122,42,94,6,0,34,0,549
Patient64,6,51,5,428,3,2,0,1,6,0,502
Patient09,232,0,233,0,5,1,0,0,0,0,471
Patient05,15,101,60,96,71,16,12,0,5,0,376
Patient07,4,99,13,67,61,9,3,0,1,0,257
Patient12,15,73,13,9,54,15,0,2,60,0,241
Patient03,29,113,60,2,18,9,3,0,0,0,234
Patient20,137,1,64,1,11,1,0,3,0,0,218
Patient66,73,15,25,2,15,74,5,3,2,0,214
Patient02,15,40,60,4,45,41,3,0,1,0,209
total,24442,18175,17422,5964,3144,1401,1396,1315,1085,97,74441
