factor,term,p_value,p_adj
DR 1+,NR2F1,6.277371320650261e-05,0.026760433939932063
DR 11-,TP53,9.363387869725079e-08,7.983224497727602e-05
DR 12+,BMAL1,7.034900336185375e-10,1.0905374593875729e-06
DR 13-,RUNX2,1.278513335268759e-16,7.267069797667626e-13
DR 15-,NR2F2,1.554490421308367e-10,2.6507170664150276e-07
DR 16+,DNMT3B,8.717581907710765e-06,0.004504612323947999
DR 17+,RARA,1.0233995779754432e-09,1.4542508003031048e-06
DR 2+,SMAD7,4.242957035486208e-05,0.019554298207867787
DR 22-,FOSL2,6.453034653422682e-09,7.099685256073189e-06
DR 23-,KLF4,6.661679808654176e-09,7.099685256073189e-06
DR 28+,DDIT3,0.00011124540733889942,0.04411527176611425
DR 28-,CIITA,1.0488165859216328e-23,1.7884420423135684e-19
DR 30+,SATB1,3.959474145937456e-13,1.35033906273051e-09
DR 30-,POU2F2,2.8873822263872434e-11,7.033663103479326e-08
DR 33+,TFE3,3.914320542301458e-15,1.6686748471831117e-11
DR 33-,FOSB,6.403525490004114e-08,5.746995613450008e-05
DR 34+,AHR,3.0847356064577392e-06,0.0018138245365971507
DR 35-,ATF4,5.907775894809031e-07,0.00041974747732618166
DR 37+,SRF,3.777748222192734e-07,0.0002800789681949152
DR 38-,NR2F1,4.3077417515667925e-11,9.18195154346462e-08
DR 43-,CEBPE,3.4118014921999523e-06,0.001939267968166453
DR 45+,CEBPZ,1.8603664324053515e-08,1.762387133632003e-05
DR 45-,SNAI2,5.328466000465882e-05,0.02329769288203698
DR 46+,TBX2,2.7577845631524687e-11,7.033663103479326e-08
DR 49-,MEF2C,1.1376950875745128e-09,1.492305894870815e-06
DR 5-,SRF,3.6126275463311497e-07,0.0002800114769092671
DR 50-,NR4A2,8.102715121641299e-05,0.03369938981810425
DR 51+,NR5A2,6.75883352527109e-18,5.762581463646132e-14
DR 63+,SP3,1.4901702878240943e-07,0.00012100182737131645
DR 7+,SIRT1,1.5513143180855043e-06,0.0009797411759997785
DR 8-,MBD2,4.2149536912184525e-06,0.002246043448208033
DR 9-,THRA,2.5689926174156904e-09,3.129033008012311e-06
