factor,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
DR 1+,GO_Biological_Process_2023,Nervous System Development (GO:0007399),0.00239758877166875,0.04988695806951756,0,0,50.17948717948718,302.7474847711312,FABP7;SCRG1
DR 1+,GO_Biological_Process_2023,Protein Deubiquitination (GO:0016579),0.005990923177088634,0.04988695806951756,0,0,332.3333333333333,1700.719076579553,UCHL1
DR 1+,GO_Biological_Process_2023,Protein Modification By Small Protein Removal (GO:0070646),0.005990923177088634,0.04988695806951756,0,0,332.3333333333333,1700.719076579553,UCHL1
DR 1+,GO_Biological_Process_2023,Embryonic Eye Morphogenesis (GO:0048048),0.00798191329112281,0.04988695806951756,0,0,221.44444444444446,1069.7044701093293,MFAP2
DR 1-,GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),1.3169658944830438e-09,8.209888365418958e-07,0,0,5.044117647058823,103.14179134757151,CEBPD;EPAS1;GATA3;ETS2;ZFP36L2;MYC;JUNB;SPDEF;KLF10;EGR1;XBP1;JUN;JUND;ARID5A;FOS;ESR1;TBX3;BATF;NR4A1;KLF6;TCIM;ELF3;BAMBI;IRF1;MAFF;FOSB;PGR;ATF3
DR 1-,GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),1.7068374980080994e-09,8.209888365418958e-07,0,0,4.8351732013703845,97.61549177950062,CEBPD;EPAS1;FHL2;ADIRF;GATA3;ETS2;ZFP36;MUC1;MYC;JUNB;SPDEF;KLF10;EGR1;XBP1;JUN;JUND;ARID5A;FOS;ESR1;TBX3;BATF;NR4A1;KLF6;ELF3;IRF1;MAFF;FOSB;PGR;ATF3
DR 1-,GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),6.426148067653436e-09,2.060651480360869e-06,0,0,5.73926822241429,108.2591882278527,KLF10;EGR1;XBP1;JUN;JUND;EPAS1;ADIRF;FOS;GATA3;ESR1;TBX3;ETS2;NR4A1;KLF6;MUC1;ELF3;IRF1;MYC;MAFF;PGR;JUNB;ATF3
DR 1-,GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),1.604840947991029e-07,3.859642479918425e-05,0,0,9.45959595959596,147.99605039187034,PPP1R15A;NR4A1;CDKN1A;JUN;JUND;GADD45B;IRF1;MYC;GATA3;JUNB;TBX3;RHOB
DR 1-,GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),7.937801840863033e-07,0.00015272330741820475,0,0,4.146853146853147,58.24860378558349,KLF10;EGR1;XBP1;JUN;JUND;EPAS1;ADIRF;FOS;GATA3;ESR1;TBX3;ETS2;NR4A1;KLF6;ELF3;BAMBI;IRF1;MYC;MAFF;PGR;JUNB;ATF3
DR 1-,GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),3.835008316516761e-06,0.0006148796667481874,0,0,4.313891834570519,53.80000728225555,KLF10;JUN;JUND;ARID5A;FHL2;GATA3;ESR1;TBX3;ETS2;ZFP36;MUC1;ELF3;IRF1;MYC;MAFF;FOSB;ATF3;SPDEF
DR 1-,GO_Biological_Process_2023,Integrated Stress Response Signaling (GO:0140467),5.494889723712018e-06,0.0006803706375276236,0,0,49.94736842105263,604.94714446369,JUN;CEBPD;FOS;JUNB;BATF
DR 1-,GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),5.657967879647597e-06,0.0006803706375276236,0,0,4.903743315508021,59.2492126407926,KLF10;JUN;JUND;ARID5A;FHL2;GATA3;ESR1;TBX3;ETS2;ZFP36;MYC;MAFF;FOSB;ATF3;SPDEF
DR 1-,GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),9.74985806633938e-06,0.001042151495535387,0,0,20.148936170212767,232.4836205393612,EGR1;JUN;MYC;FOS;GATA3;ESR1
DR 1-,GO_Biological_Process_2023,Positive Regulation Of mRNA Catabolic Process (GO:0061014),2.836112005424511e-05,0.00272833974921838,0,0,79.125,828.4776290914322,FTO;BTG2;ZFP36;ZFP36L2
DR 1-,GO_Biological_Process_2023,Positive Regulation Of miRNA Metabolic Process (GO:2000630),5.841428530078328e-05,0.00468287853827946,0,0,19.94736842105263,194.44595172999095,EGR1;JUN;MYC;FOS;GATA3
DR 1-,GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),5.841428530078328e-05,0.00468287853827946,0,0,19.94736842105263,194.44595172999095,EGR1;JUN;MYC;GATA3;FOS
DR 1-,GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),0.0003138093167791642,0.023221889441658154,0,0,3.1297509829619923,25.24684058542899,EGR1;XBP1;JUN;GADD45B;BIK;FHL2;LRP2;VTCN1;TBX3;RHOB;SOCS3;TCIM;MYC;IL6ST;IER3;SPDEF
DR 1-,GO_Biological_Process_2023,Regulation Of Fat Cell Differentiation (GO:0045598),0.0003950178597139277,0.02714337007462846,0,0,11.058479532163743,86.6606548833963,FTO;ZFP36;XBP1;ADIRF;ZFP36L2
DR 1-,GO_Biological_Process_2023,mRNA Destabilization (GO:0061157),0.00046811653426905627,0.030021873731122146,0,0,58.7319587628866,450.2857872458315,FTO;ZFP36;ZFP36L2
DR 1-,GO_Biological_Process_2023,Negative Regulation Of Cell Cycle (GO:0045786),0.0007953202530924244,0.047818630217182016,0,0,9.038277511961722,64.50406884720583,NR4A1;BTG2;CDKN1A;GATA3;RHOB
DR 2+,GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),3.806156850002008e-12,3.2047840677016906e-09,0,0,105.44444444444444,2772.5985198542526,COL1A1;COL3A1;COL1A2;LOX;COL14A1;LUM;COL11A1;COL5A3;COL5A2;DPT
DR 2+,GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),1.4479193523888553e-10,6.095740473557081e-08,0,0,10.60508701472557,240.26591733217117,POSTN;LUM;COL14A1;MMP2;COL11A1;DPT;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;LOX;COL4A1;CTSK;COL5A3;COL5A2;COL10A1
DR 2+,GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),4.985620465184272e-09,1.0494731079212894e-06,0,0,12.1944027986007,233.1168372284426,POSTN;COL14A1;MMP2;COL11A1;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;COL4A1;COL5A3;COL5A2;COL10A1
DR 2+,GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),4.985620465184272e-09,1.0494731079212894e-06,0,0,12.1944027986007,233.1168372284426,POSTN;COL14A1;MMP2;COL11A1;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;COL4A1;COL5A3;COL5A2;COL10A1
DR 2+,GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),4.9775363420709035e-06,0.0008382171200047402,0,0,5.765325670498084,70.39794438034909,TNFAIP6;LUM;COL14A1;COL11A1;DPT;COL1A1;MFAP4;COL3A1;EFEMP2;COL1A2;LOX;COL5A3;COL5A2
