factor,smi_label,smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 2+,,,Extracellular Matrix Organization (GO:0030198),6.695122418687067e-14,collagen fibril organization,0.00039288334823799396,SMAD7,0.019554298207867787,3,"COL1A1, COL1A2, COL3A1, LUM, DCN, SFRP2, CCL19, SFRP4",15.354871,True
DR 9-,,,Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118),0.009749882094015245,aerobic electron transport chain,1.0803715932991422e-09,THRA,3.129033008012311e-06,3,"MT-CO2, MT-ND4L, MT-ND2, MT-CO3, MT-CYB, MT-ND3, MT-CO1, MT-ND4",1.3589706,True
DR 11-,,,Mitotic Sister Chromatid Segregation (GO:0000070),6.63957728475793e-22,nuclear chromosome segregation,1.25233472132422e-10,TP53,7.983224497727602e-05,3,"UBE2C, PLK1, CDC20, NEK2, DEPDC1, CCNB1, CCNB2, KIF20A",7.7221494,True
DR 15-,,,Hydrogen Peroxide Catabolic Process (GO:0042744),2.3218929244422216e-07,hydrogen peroxide catabolic process,0.009796153551355524,NR2F2,2.6507170664150276e-07,3,"HBB, HBA1, HBA2, ALAS2, HBM, AHSP, HBD, SNCA",76.774124,True
DR 30+,,,Heat Acclimation (GO:0010286),5.670057431285945e-07,protein refolding,0.0016143108721734898,SATB1,1.35033906273051e-09,3,"HSPA6, HSPA1B, HSPA1A, HSPB1, DDIT4",3.8617806,True
DR 43-,,,Defense Response To Bacterium (GO:0042742),0.0008008510236608685,neutrophil aggregation,0.02765714652369029,CEBPE,0.001939267968166453,3,"S100A8, S100A9, S100A7, ORM1, LBP, SERPINB4, PI3, KRT6A",20.155865,True
DR 1+,,,Protein Deubiquitination (GO:0016579),0.04988695806951756,,,NR2F1,0.026760433939932063,2,"FABP7, SCRG1, UCHL1, MFAP2",0.67380536,True
DR 3-,,,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),8.93217193192068e-08,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,4.309489536246184e-05,,,2,"IL1B, C1QC, C1QB, CCL3, C1QA, MS4A6A, FCER1G, CCL3L1",19.437916,True
DR 8-,,,Intermediate Filament Organization (GO:0045109),4.6043758789519034e-08,,,MBD2,0.002246043448208033,2,"KRT6A, KRT16, KLK7, KRTDAP, KLK5, KLK6, SBSN, KRT6B",11.771605,True
DR 12+,,,Blood Vessel Morphogenesis (GO:0048514),0.00016598412870475314,,,BMAL1,1.0905374593875729e-06,2,"VWF, CCL21, PLVAP, CLDN5, CLEC14A, ACKR1, FABP4, GNG11",12.244871,True
DR 14+,,,DNA Metabolic Process (GO:0006259),5.3755001539740474e-14,mitotic spindle midzone assembly,0.0033608103335647965,,,2,"TK1, ASF1B, HIST1H4C, FAM111B, TYMS, RRM2, DHFR, UHRF1",2.8847501,True
DR 16+,,,Regulation Of Nucleocytoplasmic Transport (GO:0046822),0.007874841236500802,,,DNMT3B,0.004504612323947999,2,IFI27,0.11188879,True
DR 18-,,,T Cell Receptor Signaling Pathway (GO:0050852),1.542854880550554e-12,granzyme-mediated programmed cell death signaling pathway,8.333695771361119e-05,,,2,"GNLY, GZMB, NKG7, XCL2, ZNF683, XCL1, CST7, KLRC1",15.126993,True
DR 21+,,,T Cell Activation (GO:0042110),1.5191055860247423e-08,negative thymic T cell selection,0.00769205402260399,,,2,"IL7R, PTPRC, SLC2A3, SPOCK2, PDE3B, LTB, CD69, ICOS",20.148046,True
DR 23-,,,Defense Response To Virus (GO:0051607),1.7864997914773455e-09,,,KLF4,7.099685256073189e-06,2,"CXCL10, IDO1, CXCL11, CXCL9, CCL8, UBD, IFNL1, WARS",14.068891,True
DR 27-,,,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),6.978319531525761e-12,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,3.6147814896317807e-10,,,2,"HLA-DQA1, CD74, HLA-DRB1, HLA-DRB5, HLA-DRA, HLA-DQA2, HLA-DQB1, HLA-DMA",1.8579967,True
DR 28+,,,Regulation Of DNA-templated Transcription (GO:0006355),0.01818737426345514,,,DDIT3,0.04411527176611425,2,"JUND, FOSB, FASN, CEBPD, UBE2S, BRI3, LDLR, DUSP5",1.865692,True
DR 30-,,,Long-Chain Fatty Acid Metabolic Process (GO:0001676),0.011696581814071422,,,POU2F2,7.033663103479326e-08,2,"MUCL1, DCD, APOD, TSPAN8, AC093001.1, CRISP3, UGT2B28, SPINK8",52.647675,True
DR 35-,,,Regulation Of Cellular Catabolic Process (GO:0031329),0.0010167443205897947,,,ATF4,0.00041974747732618166,2,"TRIB3, PSAT1, ASNS, DDIT3, AC015912.3, LINC01133, NUPR1, LCN2",5.1836567,True
DR 36-,,,Defense Response To Symbiont (GO:0140546),1.7771987025263328e-30,negative regulation of viral genome replication,4.3407609325127865e-10,,,2,"IFIT1, IFIT3, ISG15, RSAD2, IFIT2, OASL, IFI6, MX1",7.032051,True
DR 37+,,,Supramolecular Fiber Organization (GO:0097435),1.5977279899326005e-07,,,SRF,0.0002800789681949152,2,"ACTG2, ACTA1, TAGLN, MYL9, KRT17, CNN1, KRT81, HSPB1",5.404663,True
DR 39+,,,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.002677715841220145,response to corticotropin-releasing hormone,0.00871314817450152,,,2,"RBKS, RCAN1, NR4A1, CXCL2, CTGF, NR4A3, NR4A2, ATF3",1.8453804,True
