# convergence | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,confounder_flags
DR 1+,DR 1,+,KEGG_APM,0.0996,KEGG_APM,0.0996,0.5373100438664473,0.15164532,FMASC,2.0537,0.008836901211414566,False,True,False,False,immune,stemness,factor_only_candidate_patient_or_technical,none
DR 1-,DR 1,-,HALLMARK_IFNG,0.0209,HALLMARK_IFNG,0.0209,0.4626899561335527,-0.15164532,HALLMARK_IFNG,0.0,1.0,False,False,False,False,immune,immune,neither,none
DR 2+,DR 2,+,LIM_STEM,0.2652,LIM_STEM,0.2652,0.4225455423447282,-0.18033347,LIM_STEM,16.7507,1.7754154709586435e-17,True,True,True,True,stemness,stemness,convergent,none
DR 2-,DR 2,-,ESC_ASSOU,0.2375,ESC_ASSOU,0.2375,0.5774544576552718,0.18033347,HALLMARK_IFNA,1.0022,0.09949471217509924,True,False,False,False,stemness,immune,cell_only_state_not_on_one_axis,"depth,cell_cycle"
DR 3+,DR 3,+,ESC_ASSOU,0.3208,ESC_ASSOU,0.3208,0.6846099412185251,0.50238293,ESC_ASSOU,2.0468,0.008978421709097264,True,True,True,True,stemness,stemness,convergent,"depth,cell_cycle"
DR 3-,DR 3,-,IMMUNOGENIC_CONSENSUS,0.183,IMMUNOGENIC_CONSENSUS,0.183,0.31539005878147486,-0.50238293,KEGG_APM,5.1394,7.254374970183976e-06,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,depth
DR 4+,DR 4,+,LIM_STEM,0.1141,LIM_STEM,0.1141,0.5942028749590905,0.3064478,LIM_STEM,1.6927,0.020290838770092048,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,none
DR 4-,DR 4,-,HALLMARK_IFNA,0.1102,HALLMARK_IFNA,0.1102,0.4057971250409095,-0.3064478,HALLMARK_IFNA,0.7087,0.1955689932028923,False,False,False,False,immune,immune,neither,none
DR 5+,DR 5,+,ESC_WONG,0.1076,ESC_WONG,0.1076,0.5465022016364564,0.045138557,HALLMARK_IFNA,1.7478,0.0178731047224837,False,True,False,False,stemness,immune,factor_only_candidate_patient_or_technical,none
DR 5-,DR 5,-,LIM_STEM,0.3106,LIM_STEM,0.3106,0.45349779836354365,-0.045138557,LIM_STEM,51.1043,7.865023054586545e-52,True,True,True,True,stemness,stemness,convergent,none
DR 6+,DR 6,+,FMASC,0.0631,FMASC,0.0631,0.4565760058827569,-0.097361505,FMASC,0.2197,0.6029759632855554,False,False,False,False,stemness,stemness,neither,none
DR 6-,DR 6,-,ESC_WONG,0.0661,ESC_WONG,0.0661,0.5434239941172432,0.097361505,ESC_ASSOU,1.4792,0.03317416496945389,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 7+,DR 7,+,ESC_WONG,0.2443,ESC_WONG,0.2443,0.4959409311799383,-0.0125635145,ESC_ASSOU,2.3396,0.004575093773298476,True,True,False,True,stemness,stemness,convergent,"depth,cell_cycle"
DR 7-,DR 7,-,FMASC,0.3226,FMASC,0.3226,0.5040590688200617,0.0125635145,FMASC,0.2197,0.6029759632855554,True,False,False,False,stemness,stemness,cell_only_state_not_on_one_axis,none
DR 8+,DR 8,+,FMASC,0.1298,FMASC,0.1298,0.4852498014020895,-0.05164661,ESC_WONG,2.494,0.003206269324505464,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 8-,DR 8,-,LIM_STEM,0.0141,LIM_STEM,0.0141,0.5147501985979105,0.05164661,IMMUNOGENIC_CONSENSUS,0.0967,0.8003869518094971,False,False,False,False,stemness,immune,neither,none
