# coverage | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,provenance,n_genes,n_mapped,mapped_fraction,n_in_hvg_background,hvg_fraction_of_mapped
HALLMARK_IFNA,immune,"Interferon Alpha response, MSigDB Hallmark",97,96,0.9896907216494846,40,0.4166666666666667
HALLMARK_IFNG,immune,"Interferon Gamma response, MSigDB Hallmark",200,197,0.985,88,0.4467005076142132
ISDS,immune,"IFN-Stem Cell-Down signature, PMC5481166",27,27,1.0,15,0.5555555555555556
KEGG_APM,immune,"Antigen Presentation Machinery, KEGG",88,67,0.7613636363636364,25,0.373134328358209
IMMUNOGENIC_CONSENSUS,immune,"Curated by the lab from the KEGG APM signature, retaining only immunogenic genes and immunomodulators; primary immune readout",25,25,1.0,13,0.52
BENPORATH_ES1,stemness,MSigDB BENPORATH_ES_1,378,369,0.9761904761904762,64,0.17344173441734417
ESC_ASSOU,stemness,"PMC1906587, Table S3",1066,802,0.7523452157598499,128,0.1596009975062344
ESC_WONG,stemness,MSigDB WONG_EMBRYONIC_STEM_CELL_CORE,335,297,0.8865671641791045,48,0.16161616161616163
EMP,stemness,"Embryonic Multipotent Progenitors, PMID 29784918",15,13,0.8666666666666667,6,0.46153846153846156
LIM_STEM,stemness,MSigDB LIM_MAMMARY_STEM_CELL_UP,479,465,0.9707724425887265,160,0.34408602150537637
FMASC,stemness,"Fetal mammary stem cells, PMC3277444, Supplementary Table 2",1882,1698,0.9022316684378321,300,0.17667844522968199
