# dim_geneset_signed_significance | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,EMP,LIM_STEM,FMASC
DR 32,0.0967,0.455,0.0618,0.7551,0.749,-0.886,-2.6829,-2.494,-0.0618,-1.0323,-0.9567
DR 3,0.0967,-0.6441,0.0618,-5.1394,-4.6614,0.886,2.0468,0.1106,0.0618,-0.0,-0.0
DR 23,-22.9213,-38.8399,-10.9426,-0.2197,-0.3693,0.2717,1.4792,0.0335,0.0618,-0.0708,0.2867
DR 25,-0.2483,-0.0378,-0.0618,-0.0,-0.0967,1.1581,1.2468,1.6208,0.0,-0.0708,-0.4579
DR 10,-0.2483,-0.31,-0.0618,-1.1581,-1.8907,-0.2717,-0.4937,-0.1106,-0.4078,-0.6941,-0.2197
DR 38,-2.7282,-3.0885,-1.6016,-5.1394,-4.6614,0.65,1.7457,0.68,-0.4078,-0.0273,-0.0
DR 48,-0.7087,-5.1394,-0.6173,0.0,-0.0967,-0.0,0.8325,0.0335,-0.0618,-0.1228,0.2867
DR 20,0.7087,0.8325,0.6173,-0.0,0.0,0.455,0.4937,0.2541,-0.0618,0.6941,-0.2197
DR 21,-0.0144,-0.0,0.0,0.0,0.0,-0.2717,-1.7457,-0.2541,0.0618,-0.0,-0.0
DR 45,-0.7087,-0.455,-1.046,-0.2197,-0.0,-0.2717,0.3693,-0.2541,0.0618,1.6927,2.0537
DR 51,0.0967,0.0378,-0.2717,-0.0618,-0.0,-0.886,-3.8625,-0.9443,0.0,-0.1228,-0.0335
DR 6,-1.0022,-0.6441,-1.046,0.0,0.0,-0.455,-1.4792,-0.0,-0.0618,-0.2971,0.2197
DR 63,-0.2483,-0.0,-0.2717,-0.2197,0.0967,-0.65,-2.6829,-0.68,0.0618,-0.0,-0.0
DR 5,1.7478,0.1918,1.6016,0.0,0.0,0.886,0.8325,0.2541,-0.4078,-51.1043,-0.3783
DR 29,-0.455,0.0938,0.6173,-0.0,0.0,0.2717,-0.0,-0.0,0.0618,1.6927,-0.2197
DR 14,-0.0967,-0.0,-0.6173,0.0,0.0,17.9521,23.2336,24.3208,-0.4078,-0.0273,12.2594
DR 2,-1.0022,0.31,-0.2717,0.0,-0.0967,-0.1527,-0.2483,-0.455,0.9789,16.7507,12.8288
