# dim_signature_spearman | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,EMP,LIM_STEM,FMASC
DR 32,0.118,0.1118,0.138,0.1321,0.1634,-0.0561,-0.0641,-0.0631,-0.0216,-0.0979,-0.0543
DR 3,-0.083,-0.0924,-0.1515,-0.0823,-0.183,0.2445,0.3208,0.2883,0.0321,-0.0971,0.1028
DR 62,-0.0477,-0.0452,-0.0914,0.1556,0.0332,0.2587,0.3363,0.2761,0.0512,-0.0838,0.1402
DR 23,-0.4003,-0.4142,-0.3397,-0.17,-0.2253,-0.0011,0.0454,0.0497,0.0034,0.0054,0.067
DR 25,-0.1723,-0.1515,-0.1407,-0.1548,-0.1885,0.0513,0.0599,0.0707,0.0113,-0.0564,0.0538
DR 10,-0.0897,-0.1082,-0.0678,-0.054,-0.0712,-0.0927,-0.1123,-0.1108,-0.0178,0.0094,0.0306
DR 38,-0.1197,-0.0803,-0.1019,-0.222,-0.2021,0.0396,0.0456,0.0598,-0.0576,-0.0834,-0.0744
DR 64,0.0212,-0.0035,0.093,-0.0513,0.016,-0.2199,-0.3124,-0.3044,-0.0105,0.0958,0.0977
DR 60,0.041,-0.0111,0.0606,0.0343,0.049,-0.0661,-0.0753,-0.062,0.0091,-0.0391,-0.0391
DR 56,-0.0646,-0.0889,-0.0155,-0.0373,-0.0004,-0.2958,-0.3514,-0.3326,-0.0243,0.1427,-0.1093
DR 48,-0.0643,-0.1577,-0.0525,-0.0435,-0.0565,0.002,0.0321,0.0581,0.0184,-0.0531,0.0164
DR 20,0.1027,0.122,0.0912,0.0206,0.0151,-0.0335,-0.0401,-0.0209,-0.0084,0.1654,-0.1221
DR 21,0.0449,0.053,0.0971,-0.0214,0.049,-0.2127,-0.2905,-0.266,0.0119,0.0539,-0.0412
DR 45,0.0516,0.0199,0.0413,-0.045,0.0139,-0.099,-0.0422,0.0275,0.0543,0.0507,-0.0044
DR 51,0.026,-0.0143,0.0269,-0.0049,0.0419,-0.0959,-0.0999,-0.0713,-0.0026,0.0283,-0.0141
DR 6,-0.0497,-0.0227,-0.0265,-0.0191,0.0156,-0.034,-0.0589,-0.0661,-0.0516,-0.0177,0.0631
DR 63,-0.0195,-0.0447,0.002,-0.05,-0.0136,-0.142,-0.174,-0.1388,-0.0231,0.0614,-0.0563
