# dim_target_effect_size | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,auroc_target_vs_rest,standardised_mean_difference,abs_auroc_from_half
DR 27,0.7289182177890957,0.677579,0.2289182177890957
DR 14,0.6873504029124657,0.8726636,0.18735040291246574
DR 3,0.6846099412185251,0.50238293,0.18460994121852514
DR 11,0.3172168682819702,-0.8156594,0.1827831317180298
DR 58,0.34916501600844374,-0.54897887,0.15083498399155626
DR 56,0.35826556853920655,-0.50398374,0.14173443146079345
DR 64,0.3681791151380347,-0.4829597,0.1318208848619653
DR 18,0.619928455475679,0.3026361,0.11992845547567899
DR 12,0.38057720707101605,-0.33893713,0.11942279292898395
DR 36,0.6171704500590202,0.338987,0.11717045005902016
DR 23,0.616497291444339,0.3336248,0.11649729144433896
DR 25,0.6155118559792359,0.323593,0.11551185597923586
DR 21,0.3871931029181867,-0.2747563,0.1128068970818133
DR 26,0.39143168294093506,-0.5263654,0.10856831705906494
DR 62,0.6050223111047615,0.39037767,0.10502231110476146
DR 38,0.6018318810255777,0.3231797,0.10183188102557772
DR 32,0.4004367789558242,-0.3150898,0.09956322104417581
DR 4,0.5942028749590905,0.3064478,0.09420287495909052
DR 44,0.4058639223321332,-0.41822264,0.0941360776678668
DR 50,0.5918911740008972,0.21014287,0.09189117400089719
DR 43,0.5871915542772593,0.22991909,0.08719155427725933
DR 61,0.41475672862389823,-0.31693247,0.08524327137610177
DR 2,0.4225455423447282,-0.18033347,0.07745445765527181
DR 46,0.5741574909073108,0.38367394,0.07415749090731083
DR 40,0.5718157627170745,0.17685482,0.07181576271707446
DR 57,0.4284842586252548,-0.2650674,0.0715157413747452
DR 53,0.5656310666886,0.23424405,0.06563106668859997
DR 54,0.5550339105348899,0.22950238,0.05503391053488993
DR 16,0.4472516993055556,-0.18313509,0.05274830069444442
DR 9,0.45083333884778176,-0.13426138,0.04916666115221824
DR 48,0.5482131246502038,0.15096118,0.048213124650203776
DR 5,0.5465022016364564,0.045138557,0.04650220163645635
DR 37,0.5457064455220149,0.18240815,0.04570644552201486
DR 60,0.4543916462639145,-0.1765292,0.045608353736085516
DR 31,0.4562348453413558,-0.1263349,0.04376515465864422
DR 6,0.45657600588275693,-0.097361505,0.04342399411724307
DR 30,0.5416754296907687,0.12023611,0.04167542969076865
DR 10,0.4613774926685408,-0.16374324,0.03862250733145922
DR 1,0.5373100438664473,0.15164532,0.03731004386644732
DR 52,0.5360779322775399,0.09811327,0.03607793227753986
DR 22,0.534006233546618,0.10600455,0.034006233546618025
DR 29,0.532637697685552,0.18285091,0.032637697685552025
DR 35,0.5321678048205385,0.060943924,0.03216780482053849
DR 28,0.5299548407680399,0.094408885,0.029954840768039892
DR 19,0.4722615592100041,-0.093002,0.027738440789995877
DR 59,0.47263267451794033,-0.12132989,0.027367325482059668
DR 13,0.5264706991480687,0.06844261,0.026470699148068655
DR 63,0.4739280431928927,-0.097968765,0.026071956807107277
DR 34,0.5243463498070269,0.15455005,0.02434634980702688
DR 51,0.4762130609371152,-0.071651995,0.023786939062884815
DR 15,0.5237617086939748,0.09164137,0.02376170869397476
DR 49,0.5209944718785896,-0.0846204,0.020994471878589605
DR 55,0.5163362158203529,0.063144185,0.01633621582035294
DR 20,0.48381464146003816,-0.14619969,0.016185358539961836
DR 8,0.4852498014020895,-0.05164661,0.014750198597910491
DR 17,0.5140921835069296,0.037210304,0.014092183506929645
DR 24,0.5099719149142669,-0.00080972473,0.009971914914266855
DR 45,0.49156316082357127,-0.008764989,0.008436839176428734
DR 41,0.49264929153053405,0.15974824,0.00735070846946595
DR 7,0.49594093117993837,-0.0125635145,0.004059068820061629
DR 42,0.49595710336036064,-0.03765124,0.0040428966396393595
DR 33,0.49890396979767715,0.059878968,0.0010960302023228508
DR 47,0.49919975102406844,0.034482457,0.0008002489759315612
DR 39,0.4992218795157499,0.007456172,0.0007781204842500777
