# confounders | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
EMT_B_EPITHELIAL,epithelial,0.3511695318846084,0.0,0.16837145262826694,0.0,-0.14883209142375997,0.0,-0.27083981464269713,0.0
EMT_B_HYBRID,hybrid,0.17854828390946947,0.0,-0.0018223127032101045,0.6190553271497347,0.165895342293746,0.0,0.09341973515413589,6.406078937131987e-144
EMT_B_MESENCHYMAL,mesenchymal,-0.009147903988994564,0.012563331357031955,-0.0682901989261931,1.1787855509531915e-77,0.1419698054925929,0.0,0.1442099434612509,0.0
EMT_A_EPITHELIAL,epithelial,0.33652001561241573,0.0,0.15040299778585817,0.0,-0.12008607011869027,3.892724609516603e-237,-0.22547357274350632,0.0
EMT_A_HYBRID,hybrid,0.034795639007968414,2.1744781818970925e-21,-0.01502979085958277,4.115952106252323e-05,0.04070430822571317,1.1199449210866521e-28,0.015648733191860633,1.956737683874861e-05
EMT_A_MESENCHYMAL,mesenchymal,-0.11161385485870863,6.0922142283327685e-205,-0.08916193638491186,3.1510367131214867e-131,0.1447897780998628,0.0,0.17262484104496745,0.0
EMT_C_EPITHELIAL,epithelial,0.299540464115851,0.0,0.13266060524219442,2.1802418036408545e-289,-0.14616086185589913,0.0,-0.2590534341355263,0.0
EMT_C_HYBRID,hybrid,0.12296188799379366,1.2955197706554745e-248,-0.04411648217545308,2.128114494409139e-33,0.046423222288310806,8.380720626438098e-37,-0.037512413980959454,1.3360023666917608e-24
EMT_C_MESENCHYMAL,mesenchymal,0.1169749693710007,4.931618559837435e-225,0.032514761139317346,7.089191253272033e-19,0.06963948557449114,1.0973304561708818e-80,0.03170278916579569,5.07024822685234e-18
EMT_SCORE_B,emt_score,-0.2192824341616348,0.0,-0.0628775779542446,4.2925103929062436e-66,0.0765249022936917,4.4088679421010326e-97,0.12012715668131299,2.6806305318851236e-237
EMT_SCORE_A,emt_score,-0.2696325828131559,0.0,-0.061735836373121904,8.8994968745361e-64,0.06342994848291424,3.13810464818655e-67,0.11748021359935046,5.619190389769339e-227
EMT_SCORE_C,emt_score,-0.11630859368969773,1.7495492447384488e-222,0.0038103665193777014,0.29852481494874794,0.03998091522149189,1.004287688360327e-27,0.06544225107722815,1.8786358179439006e-71
