# convergence | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 1+,DR 1,+,EMT_A_MESENCHYMAL,0.1128,EMT_SCORE_B,0.1436,0.5290037406829763,0.07741245,EMT_A_MESENCHYMAL,0.4942,0.32047931228494014,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 1-,DR 1,-,EMT_B_EPITHELIAL,0.1208,EMT_B_EPITHELIAL,0.1208,0.4709962593170237,-0.07741245,EMT_B_EPITHELIAL,0.9329,0.11670783158379261,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 2+,DR 2,+,EMT_A_MESENCHYMAL,0.2525,EMT_SCORE_A,0.2806,0.5470502657366905,0.24208328,EMT_A_MESENCHYMAL,2.3233,0.004750069893831194,True,True,True,True,mesenchymal,mesenchymal,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 2-,DR 2,-,EMT_B_EPITHELIAL,0.165,EMT_B_EPITHELIAL,0.165,0.45294973426330953,-0.24208328,EMT_B_EPITHELIAL,1.6314,0.023366840816727314,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 3+,DR 3,+,EMT_B_EPITHELIAL,0.1013,EMT_B_EPITHELIAL,0.1013,0.5186101914091411,0.03316128,EMT_B_EPITHELIAL,2.6484,0.002246984103640156,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 3-,DR 3,-,EMT_A_MESENCHYMAL,0.0858,EMT_SCORE_A,0.1209,0.4813898085908589,-0.03316128,EMT_A_MESENCHYMAL,0.981,0.10447202192208001,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 4+,DR 4,+,EMT_A_MESENCHYMAL,0.1041,EMT_A_MESENCHYMAL,0.1041,0.5486655929222346,0.1064568,EMT_A_MESENCHYMAL,0.1789,0.6623690022431074,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 4-,DR 4,-,EMT_C_EPITHELIAL,0.0375,EMT_C_EPITHELIAL,0.0375,0.4513344070777654,-0.1064568,EMT_B_EPITHELIAL,2.6484,0.002246984103640156,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 5+,DR 5,+,EMT_B_EPITHELIAL,0.1352,EMT_B_EPITHELIAL,0.1352,0.4988543994376608,0.0099452855,EMT_A_EPITHELIAL,1.0492,0.08928941960649826,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 5-,DR 5,-,EMT_A_MESENCHYMAL,0.1568,EMT_SCORE_A,0.1855,0.5011456005623391,-0.0099452855,EMT_C_HYBRID,1.917,0.012105981335504822,False,True,False,False,mesenchymal,hybrid,factor_only_candidate_patient_or_technical,False,none
DR 6+,DR 6,+,EMT_B_EPITHELIAL,0.0414,EMT_B_EPITHELIAL,0.0414,0.4946022639402333,-0.01884218,EMT_B_EPITHELIAL,1.6314,0.023366840816727314,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 6-,DR 6,-,EMT_B_MESENCHYMAL,0.0644,EMT_SCORE_B,0.0718,0.5053977360597667,0.01884218,EMT_C_MESENCHYMAL,0.0363,0.9198139672696255,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 7+,DR 7,+,EMT_C_EPITHELIAL,-0.0094,EMT_C_EPITHELIAL,-0.0094,0.4311494571804615,-0.1996889,EMT_A_MESENCHYMAL,0.1789,0.6623690022431074,False,False,False,False,epithelial,mesenchymal,neither,False,none
DR 7-,DR 7,-,EMT_C_MESENCHYMAL,0.1455,EMT_C_MESENCHYMAL,0.1455,0.5688505428195385,0.1996889,EMT_A_EPITHELIAL,0.2474,0.5657180034775734,False,False,False,False,mesenchymal,epithelial,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 8+,DR 8,+,EMT_C_MESENCHYMAL,0.0389,EMT_SCORE_C,0.1766,0.3771638456139626,-0.44009578,EMT_B_HYBRID,-0.0,1.0,False,False,False,False,mesenchymal,hybrid,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 8-,DR 8,-,EMT_C_EPITHELIAL,0.2108,EMT_C_EPITHELIAL,0.2108,0.6228361543860375,0.44009578,EMT_B_EPITHELIAL,2.6484,0.002246984103640156,True,True,False,True,epithelial,epithelial,convergent,False,none
DR 9+,DR 9,+,EMT_A_MESENCHYMAL,0.0538,EMT_SCORE_A,0.1049,0.4809881137437782,-0.055672854,EMT_B_MESENCHYMAL,0.2516,0.560273394793797,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 9-,DR 9,-,EMT_B_EPITHELIAL,0.1063,EMT_B_EPITHELIAL,0.1063,0.5190118862562219,0.055672854,EMT_A_EPITHELIAL,1.0492,0.08928941960649826,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 10+,DR 10,+,EMT_A_HYBRID,-0.0027,EMT_SCORE_A,0.0385,0.4109112717569294,-0.28129774,EMT_C_EPITHELIAL,0.0765,0.8384940786218072,False,False,False,False,hybrid,epithelial,neither,False,none
DR 10-,DR 10,-,EMT_B_EPITHELIAL,0.0892,EMT_B_EPITHELIAL,0.0892,0.5890887282430706,0.28129774,EMT_B_HYBRID,0.9329,0.11670783158379261,False,False,False,False,epithelial,hybrid,neither,False,depth
DR 11+,DR 11,+,EMT_B_EPITHELIAL,0.127,EMT_B_EPITHELIAL,0.127,0.55120995209663,0.1204292,EMT_C_EPITHELIAL,1.0761,0.08392667159662336,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 11-,DR 11,-,EMT_B_HYBRID,0.0096,EMT_SCORE_B,0.0983,0.44879004790336996,-0.1204292,EMT_B_MESENCHYMAL,0.0551,0.8808460273622596,False,False,False,False,hybrid,mesenchymal,neither,False,none
DR 12+,DR 12,+,EMT_A_MESENCHYMAL,0.1627,EMT_SCORE_A,0.2162,0.4924422480577636,0.018980939,EMT_B_MESENCHYMAL,0.981,0.10447202192208001,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 12-,DR 12,-,EMT_B_EPITHELIAL,0.175,EMT_B_EPITHELIAL,0.175,0.5075577519422364,-0.018980939,EMT_B_EPITHELIAL,0.9329,0.11670783158379261,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 13+,DR 13,+,EMT_C_HYBRID,-0.0076,EMT_C_HYBRID,-0.0076,0.462930786717833,-0.18283224,EMT_C_EPITHELIAL,0.0765,0.8384940786218072,False,False,False,False,hybrid,epithelial,neither,False,none
DR 13-,DR 13,-,EMT_A_MESENCHYMAL,0.0546,EMT_A_MESENCHYMAL,0.0546,0.5370692132821671,0.18283224,EMT_A_EPITHELIAL,1.0492,0.08928941960649826,False,False,False,False,mesenchymal,epithelial,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 14+,DR 14,+,EMT_B_HYBRID,0.0045,EMT_SCORE_B,0.0872,0.4179385806139658,-0.28623095,EMT_A_MESENCHYMAL,0.0,1.0,False,False,False,False,hybrid,mesenchymal,neither,False,none
DR 14-,DR 14,-,EMT_B_EPITHELIAL,0.1415,EMT_B_EPITHELIAL,0.1415,0.5820614193860342,0.28623095,EMT_C_EPITHELIAL,1.9658,0.010819320847276588,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,none
DR 15+,DR 15,+,EMT_B_EPITHELIAL,0.1468,EMT_B_EPITHELIAL,0.1468,0.5411142937710562,0.13298495,EMT_C_EPITHELIAL,0.4676,0.3407218616593573,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 15-,DR 15,-,EMT_A_MESENCHYMAL,0.0783,EMT_SCORE_A,0.1501,0.45888570622894376,-0.13298495,EMT_B_MESENCHYMAL,0.981,0.10447202192208001,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 16+,DR 16,+,EMT_A_HYBRID,-0.0196,EMT_SCORE_B,0.0864,0.3947075326226229,-0.3415117,EMT_A_EPITHELIAL,0.0,1.0,False,False,False,False,hybrid,epithelial,neither,False,none
DR 16-,DR 16,-,EMT_B_EPITHELIAL,0.1978,EMT_B_EPITHELIAL,0.1978,0.6052924673773771,0.3415117,EMT_C_EPITHELIAL,1.0761,0.08392667159662336,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 17+,DR 17,+,EMT_A_EPITHELIAL,0.1327,EMT_A_EPITHELIAL,0.1327,0.5020247610800337,-0.056955617,EMT_A_EPITHELIAL,1.0492,0.08928941960649826,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 17-,DR 17,-,EMT_C_MESENCHYMAL,0.1321,EMT_SCORE_C,0.1746,0.4979752389199663,0.056955617,EMT_C_MESENCHYMAL,0.4676,0.3407218616593573,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 18+,DR 18,+,EMT_B_EPITHELIAL,0.1258,EMT_B_EPITHELIAL,0.1258,0.5188865407899206,0.02370243,EMT_C_EPITHELIAL,0.4676,0.3407218616593573,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 18-,DR 18,-,EMT_A_MESENCHYMAL,0.0978,EMT_SCORE_A,0.1451,0.4811134592100794,-0.02370243,EMT_A_MESENCHYMAL,0.1789,0.6623690022431074,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 19+,DR 19,+,EMT_B_EPITHELIAL,0.1724,EMT_B_EPITHELIAL,0.1724,0.535524765704534,0.13014415,EMT_B_EPITHELIAL,1.6314,0.023366840816727314,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 19-,DR 19,-,EMT_B_MESENCHYMAL,0.0221,EMT_SCORE_B,0.1394,0.464475234295466,-0.13014415,EMT_B_MESENCHYMAL,0.2516,0.560273394793797,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 20+,DR 20,+,EMT_A_MESENCHYMAL,0.0875,EMT_SCORE_B,0.1487,0.480969589931581,-0.029867532,EMT_C_MESENCHYMAL,0.843,0.1435489433353656,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 20-,DR 20,-,EMT_B_EPITHELIAL,0.1399,EMT_B_EPITHELIAL,0.1399,0.519030410068419,0.029867532,EMT_B_EPITHELIAL,1.6314,0.023366840816727314,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 21+,DR 21,+,EMT_A_MESENCHYMAL,0.0474,EMT_SCORE_A,0.1252,0.4632435642550651,-0.10645818,EMT_B_HYBRID,-0.0,1.0,False,False,False,False,mesenchymal,hybrid,neither,False,mesenchymal_may_be_ambient_or_doublet
