# cycle_confound_by_dimension | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,rho_S,rho_G2M,cycle_loading,best_focus_axis,best_other,convergent
DR 32,-0.0428,-0.0562,0.0562,0.0881,0.0985,False
DR 3,0.0431,-0.0258,0.0431,0.1013,0.1209,False
DR 62,0.0021,-0.143,0.143,0.1675,0.1513,False
DR 23,-0.0238,-0.038,0.038,0.0392,0.0265,False
DR 25,0.0238,0.0916,0.0916,0.0077,0.0732,False
DR 10,-0.1437,-0.091,0.1437,0.0892,0.0605,False
DR 38,0.0209,0.0724,0.0724,0.0684,0.1186,False
DR 64,-0.1098,-0.0537,0.1098,0.1894,0.1492,False
DR 60,-0.0422,0.019,0.0422,0.0208,0.0391,False
DR 56,-0.1,-0.0654,0.1,0.0138,0.1114,False
DR 48,0.0267,0.0001,0.0267,0.0549,0.0556,False
DR 20,-0.0247,-0.0041,0.0247,0.1399,0.1487,False
DR 21,-0.0273,0.0327,0.0327,0.1613,0.1252,False
DR 45,0.046,0.0344,0.046,0.3971,0.3126,True
DR 51,0.0433,0.0976,0.0976,0.1385,0.0864,False
DR 6,-0.0794,-0.1037,0.1037,0.0414,0.0718,False
DR 63,-0.0155,0.0815,0.0815,0.129,0.1138,False
DR 5,0.034,0.0445,0.0445,0.1352,0.1855,False
DR 29,0.046,0.0831,0.0831,0.0235,0.1662,False
DR 14,0.5287,0.4588,0.5287,0.1415,0.0872,False
DR 2,0.0394,0.1425,0.1425,0.165,0.2806,True
DR 4,0.1513,0.1988,0.1988,0.0375,0.1041,False
DR 40,0.0308,-0.0491,0.0491,0.1272,0.0917,False
DR 11,-0.3146,-0.6914,0.6914,0.127,0.0983,False
DR 57,-0.1124,-0.2816,0.2816,0.1365,0.0961,False
DR 27,-0.0054,0.1046,0.1046,0.0466,0.0347,False
DR 42,-0.0266,-0.0106,0.0266,0.0965,0.0703,False
DR 41,0.0337,0.1794,0.1794,0.1124,0.0904,False
DR 24,0.0496,0.0249,0.0496,0.095,0.1851,False
DR 36,0.0228,0.0055,0.0228,0.0163,0.0448,False
DR 44,-0.1384,-0.2873,0.2873,0.0584,0.0532,False
DR 26,-0.2059,-0.1501,0.2059,0.04,0.102,False
DR 49,-0.0171,-0.0285,0.0285,0.1713,0.1771,False
DR 47,0.0595,0.1212,0.1212,0.0279,0.031,False
DR 54,-0.1266,-0.1203,0.1266,0.1607,0.1508,False
DR 31,-0.0709,-0.143,0.143,0.1213,0.0991,False
DR 37,0.063,0.0721,0.0721,0.0348,0.1521,False
DR 43,0.0161,-0.0181,0.0181,0.0477,0.0411,False
DR 8,-0.0558,-0.0733,0.0733,0.2108,0.1766,True
DR 22,0.0797,0.1195,0.1195,0.0515,0.0686,False
DR 46,0.0338,0.0478,0.0478,0.0827,0.0715,False
DR 17,0.062,0.1118,0.1118,0.1327,0.1746,False
DR 19,-0.1283,-0.1411,0.1411,0.1724,0.1394,False
DR 52,0.0591,0.2645,0.2645,0.1177,0.1087,False
DR 28,-0.1256,-0.0779,0.1256,0.0975,0.1365,False
DR 12,-0.0227,0.0562,0.0562,0.175,0.2162,False
DR 30,0.0455,0.0574,0.0574,0.0752,0.052,False
DR 16,0.0076,0.1598,0.1598,0.1978,0.1055,False
DR 13,-0.1053,-0.118,0.118,0.0375,0.0546,False
DR 18,0.0348,-0.0212,0.0348,0.1258,0.1451,False
DR 61,-0.1926,-0.1193,0.1926,0.078,0.0818,False
DR 33,0.0239,0.0687,0.0687,0.0175,0.027,False
DR 55,-0.0111,0.0221,0.0221,0.1254,0.1019,False
DR 59,0.0536,0.1335,0.1335,0.1065,0.0986,False
DR 53,-0.0282,-0.0085,0.0282,0.215,0.2385,False
DR 50,0.0129,0.0311,0.0311,0.0596,0.0648,False
DR 1,0.2723,0.2673,0.2723,0.1208,0.1436,False
DR 9,0.0797,0.1701,0.1701,0.1063,0.1049,False
DR 34,0.0281,0.0477,0.0477,0.013,0.061,False
DR 15,-0.0257,-0.1662,0.1662,0.1468,0.1501,False
DR 58,-0.2156,-0.1383,0.2156,0.0405,0.0936,False
DR 35,0.0848,0.0403,0.0848,0.0073,0.0882,False
DR 7,0.127,0.0291,0.127,0.0347,0.1455,False
DR 39,-0.0853,-0.0317,0.0853,0.1337,0.1034,False
