# dim_geneset_signed_significance | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,EMT_B_EPITHELIAL,EMT_A_EPITHELIAL,EMT_C_EPITHELIAL,EMT_B_HYBRID,EMT_A_HYBRID,EMT_C_HYBRID,EMT_B_MESENCHYMAL,EMT_A_MESENCHYMAL,EMT_C_MESENCHYMAL
DR 32,0.9329,1.0492,0.4676,0.3905,0.3905,0.3947,-0.5704,-0.4942,-0.4676
DR 3,2.6484,1.0492,1.9658,0.0551,0.0551,-0.0,-0.5704,-0.981,-0.4676
DR 62,0.9329,0.2474,0.4676,0.0,0.0,0.1031,-0.0,-0.0,0.0363
DR 23,0.3905,0.0,0.4676,-0.0551,-0.0551,-0.1031,0.5704,0.4942,0.4676
DR 25,-0.9329,-1.0492,-0.4676,-0.0551,-0.0551,-0.3947,-0.0551,0.0,-0.0363
DR 10,0.0551,0.0,0.0765,-0.9329,-0.9329,-0.7889,-0.0551,-0.1789,-0.0363
DR 38,-0.0551,0.0,-0.0765,0.0,0.0,-0.1031,-0.2516,-0.4942,-0.4676
DR 64,0.9329,1.0492,-1.0761,0.0,0.0,-0.1031,0.0,0.0,0.0
DR 60,-0.9329,0.2474,-1.0761,0.0,0.0,0.0,-0.0551,0.0,-0.0363
DR 56,-1.6314,-1.0492,-1.0761,-0.0551,-0.0551,-0.0,0.0551,0.1789,0.0363
DR 48,-0.9329,-1.0492,-0.4676,-0.9329,-0.9329,-1.2545,-0.0551,-0.0,0.0363
DR 20,-1.6314,-1.0492,-1.0761,0.0551,0.0551,0.1031,0.5704,0.1789,0.843
DR 21,-0.9329,0.0,-1.0761,0.0,0.0,0.0,-0.0,0.0,-0.0363
DR 45,-2.6484,-1.0492,-1.9658,-0.3905,-0.3905,-0.7889,0.981,0.4942,0.843
DR 51,-0.3905,0.0,-0.4676,-0.0551,-0.0551,0.0,-0.0551,0.0,-0.2026
DR 6,1.6314,1.0492,1.0761,0.0,0.0,-0.0,-0.0,0.0,-0.0363
DR 63,-0.9329,-0.2474,-0.4676,0.0,0.0,0.0,0.0551,-0.0,0.0363
DR 5,0.9329,1.0492,0.4676,-0.9329,-0.9329,-1.917,-0.2516,-0.4942,-0.2026
DR 29,0.3905,0.2474,-0.4676,0.9329,0.9329,1.917,0.5704,0.4942,0.843
DR 14,-1.6314,-0.2474,-1.9658,-0.0551,-0.0551,0.0,-0.0551,0.0,-0.4676
DR 2,-1.6314,-1.0492,-1.0761,0.3905,0.3905,0.7889,2.0627,2.3233,1.8206
DR 4,-2.6484,-1.0492,-1.9658,0.0,0.0,0.0,0.0551,0.1789,-0.2026
DR 40,2.6484,1.0492,1.9658,0.0551,0.0551,-0.0,0.0,0.0,-0.0
DR 11,0.9329,0.0,1.0761,0.0,0.0,0.0,-0.0551,0.0,0.0363
DR 57,0.9329,1.0492,0.4676,-0.0551,-0.0551,-0.3947,-0.0551,0.0,-0.2026
DR 27,-0.3905,-1.0492,-0.0765,-1.6314,-1.6314,-1.2545,-0.0,0.0,-0.2026
DR 42,0.3905,0.0,0.4676,0.0551,0.0551,0.1031,-0.0,0.0,0.2026
DR 41,-0.3905,0.0,-0.4676,-0.3905,-0.3905,0.7889,2.8392,2.3233,2.4545
DR 24,-0.3905,-0.2474,-0.0765,-0.0551,-0.0551,-0.3947,-0.2516,-0.4942,-0.843
