# dim_signature_spearman | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,EMT_B_EPITHELIAL,EMT_B_HYBRID,EMT_B_MESENCHYMAL,EMT_A_EPITHELIAL,EMT_A_HYBRID,EMT_A_MESENCHYMAL,EMT_C_EPITHELIAL,EMT_C_HYBRID,EMT_C_MESENCHYMAL,EMT_SCORE_B,EMT_SCORE_A,EMT_SCORE_C
DR 32,0.081,-0.0388,-0.0693,0.0881,-0.0001,-0.0649,0.0655,-0.0137,-0.05,-0.0985,-0.0966,-0.0758
DR 3,0.1013,0.0432,-0.0337,0.0889,-0.0218,-0.0858,0.0822,0.0044,0.0121,-0.0985,-0.1209,-0.054
DR 62,0.1675,0.0829,-0.0094,0.1647,0.0189,-0.0472,0.1289,0.0353,0.063,-0.1298,-0.1513,-0.0535
DR 23,0.0374,-0.0066,0.0058,0.0229,-0.0214,0.025,0.0392,-0.0189,0.0127,-0.0265,-0.0013,-0.0225
DR 25,-0.0072,-0.0258,-0.0594,-0.0045,-0.0667,-0.0732,-0.0077,-0.0482,-0.0676,-0.0353,-0.0446,-0.0419
DR 10,-0.0892,-0.0266,-0.0605,-0.0761,-0.0027,-0.0244,-0.0782,-0.0498,-0.0374,0.0247,0.0385,0.0319
DR 38,0.0612,0.0142,-0.0854,0.0684,-0.0079,-0.1161,0.0487,0.0319,-0.1088,-0.0981,-0.1186,-0.1078
DR 64,-0.1894,-0.0607,0.0096,-0.1703,0.0302,0.0439,-0.1767,-0.0304,0.0039,0.142,0.1492,0.1292
DR 60,-0.0208,0.0062,-0.0247,-0.0163,0.0391,-0.002,0.0011,0.031,-0.0192,0.0055,0.0143,-0.0077
DR 56,-0.0085,-0.0213,0.0425,-0.0138,0.035,0.1114,0.0005,0.0029,0.0168,0.0338,0.0778,0.0109
DR 48,-0.0366,-0.0303,-0.0183,-0.0549,-0.0556,-0.0008,-0.0162,-0.0441,-0.0085,0.0127,0.0369,0.0053
