# dim_signature_spearman | collection emt (epithelial-mesenchymal transition (EMT)) | Harmony run harmony_epi_50 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,EMT_B_EPITHELIAL,EMT_B_HYBRID,EMT_B_MESENCHYMAL,EMT_A_EPITHELIAL,EMT_A_HYBRID,EMT_A_MESENCHYMAL,EMT_C_EPITHELIAL,EMT_C_HYBRID,EMT_C_MESENCHYMAL,EMT_SCORE_B,EMT_SCORE_A,EMT_SCORE_C
HD 1,0.0188,0.0713,0.1579,0.0148,0.0506,0.1574,0.0292,0.0957,0.1355,0.0905,0.0877,0.0698
HD 2,0.2888,0.0407,-0.0188,0.2553,0.0359,-0.0717,0.2176,0.0536,0.097,-0.2173,-0.2215,-0.0892
HD 3,-0.0349,0.0817,0.1297,-0.0209,0.0506,0.1526,-0.053,0.0588,0.1562,0.1076,0.1067,0.1406
HD 4,0.2122,0.0718,0.2153,0.1791,0.0525,0.2275,0.1723,0.1437,0.2318,-0.0095,0.0191,0.0332
HD 5,0.0317,0.0152,-0.0324,0.0526,-0.0052,-0.022,0.01,-0.0337,-0.0474,-0.041,-0.0504,-0.036
HD 6,-0.0137,-0.0176,0.0169,-0.0099,-0.0095,0.0627,0.0047,-0.0117,0.0254,0.0243,0.049,0.0184
HD 7,0.2854,-0.036,-0.1387,0.2617,-0.0216,-0.1427,0.2375,-0.0352,-0.1134,-0.2956,-0.2751,-0.2466
HD 8,-0.2267,-0.0268,0.0293,-0.1834,-0.0025,0.0385,-0.2237,-0.0524,0.0137,0.1816,0.1536,0.1713
HD 9,-0.2144,0.007,0.1103,-0.1896,0.1132,0.1778,-0.2031,0.03,0.0854,0.2269,0.2457,0.2032
HD 10,0.1163,-0.0378,-0.0247,0.0982,-0.0754,-0.0881,0.0931,-0.0341,-0.008,-0.0969,-0.1205,-0.0696
HD 11,-0.0883,0.0665,0.2053,-0.0813,0.0392,0.2499,-0.0774,0.1071,0.1912,0.2003,0.2161,0.1855
HD 12,-0.0113,0.0303,0.089,-0.0191,0.0514,0.1141,0.0256,0.0497,0.0824,0.0628,0.0834,0.0315
HD 13,0.165,-0.0551,-0.0052,0.1394,-0.0588,0.0126,0.128,-0.0539,-0.0154,-0.1221,-0.0927,-0.1031
HD 14,-0.179,-0.0512,0.0606,-0.1402,0.0389,0.0909,-0.1743,-0.0677,0.076,0.1669,0.1546,0.1757
HD 15,-0.0096,0.03,-0.0965,0.0047,-0.0016,-0.1152,-0.0621,-0.0227,-0.0681,-0.0609,-0.0825,-0.0035
HD 16,0.1661,-0.0311,-0.0428,0.1378,0.0041,-0.0923,0.1411,0.0291,0.0013,-0.1473,-0.1538,-0.1025
HD 17,-0.0196,-0.0203,0.017,-0.0261,-0.0347,0.0158,-0.0369,-0.0311,0.0221,0.0257,0.0259,0.0414
HD 18,0.022,0.0567,0.154,0.0363,0.046,0.1295,0.0179,0.0535,0.15,0.0853,0.0546,0.0875
HD 19,0.0016,0.0021,0.0872,-0.006,0.0078,0.1493,0.0011,0.0086,0.0813,0.0566,0.0976,0.0542
HD 20,-0.0161,-0.0647,-0.0262,0.0276,-0.0127,-0.0021,-0.0106,0.0253,-0.0657,-0.0014,-0.0144,-0.0325
HD 21,0.106,0.0104,0.0452,0.0086,-0.0033,0.09,0.143,-0.0085,0.0434,-0.0447,0.0506,-0.0723
HD 22,-0.0573,-0.0611,-0.0749,-0.0794,-0.0881,-0.0388,-0.0016,-0.1133,-0.0989,-0.0156,0.0243,-0.0718
HD 23,-0.0748,0.0484,0.0359,-0.0177,0.0736,0.071,-0.0842,0.0542,0.0157,0.0744,0.0522,0.0678
HD 24,-0.1221,-0.013,-0.1116,-0.0705,-0.0042,-0.1463,-0.1411,-0.0622,-0.114,0.0105,-0.046,0.02
HD 25,0.1304,0.0053,-0.0338,0.1179,0.0122,-0.0312,0.1136,0.0075,-0.0016,-0.116,-0.1004,-0.0837
HD 26,0.0245,0.0355,0.0205,0.0447,0.04,-0.0326,0.0098,0.0533,0.009,-0.0053,-0.055,-0.0027
HD 27,0.1506,0.0663,0.043,0.0945,0.0346,0.0219,0.1557,0.0932,0.0747,-0.075,-0.0453,-0.0584
HD 28,-0.04,0.0197,0.0166,-0.0428,0.0119,0.002,-0.0213,-0.0152,0.0182,0.0375,0.0288,0.0274
HD 29,0.0064,0.023,0.1205,0.0291,0.005,0.1607,0.0077,0.0317,0.1026,0.0744,0.0792,0.0612
HD 30,0.1297,-0.0257,-0.064,0.1058,-0.0098,-0.09,0.0943,-0.0157,-0.0539,-0.1399,-0.1349,-0.1101
HD 31,-0.0521,0.0025,-0.0744,-0.0362,-0.038,-0.1188,-0.0292,-0.0076,-0.0527,-0.0135,-0.0517,-0.0153
HD 32,0.0721,0.0003,0.0162,-0.0284,0.0141,0.0166,0.0955,0.0043,0.0416,-0.0377,0.0329,-0.0357
HD 33,0.0734,0.0059,0.0337,0.0595,0.0136,0.0222,0.0534,0.0348,0.0204,-0.0268,-0.024,-0.0216
HD 34,0.052,-0.0019,-0.0492,0.1052,0.0379,-0.062,0.009,-0.0255,-0.0283,-0.0692,-0.1132,-0.0252
HD 35,0.0161,-0.0321,0.0431,0.0169,-0.02,0.0381,-0.0094,0.0067,0.0471,0.0172,0.015,0.0383
HD 36,0.1405,0.0023,-0.0349,0.1018,0.0268,-0.0065,0.141,-0.0071,-0.0097,-0.1232,-0.0759,-0.1086
HD 37,-0.0424,0.054,-0.0012,-0.0353,0.0609,-0.0087,-0.0294,0.0491,-0.0181,0.0297,0.0199,0.0101
HD 38,-0.0574,0.0214,-0.0438,-0.0267,0.0285,-0.0444,-0.0263,0.0045,-0.04,0.0104,-0.012,-0.0083
HD 39,-0.0474,0.0308,0.0003,-0.0422,0.0309,-0.0367,-0.0258,0.0164,0.003,0.0321,0.0073,0.0201
HD 40,0.0031,0.0167,0.011,0.0514,-0.0037,-0.0178,-0.032,-0.0005,0.0227,0.0078,-0.0442,0.04
HD 41,-0.0232,0.009,-0.0318,-0.0084,0.0036,-0.0584,0.0067,0.0577,-0.0167,-0.0015,-0.0267,-0.0142
HD 42,-0.0101,0.0082,-0.0,0.0109,-0.0002,-0.0107,-0.0051,-0.0207,0.0023,0.0045,-0.0166,0.0039
HD 43,-0.0052,0.0146,-0.0264,0.0327,0.0071,-0.01,-0.0221,-0.0336,-0.0269,-0.0152,-0.0305,-0.003
HD 44,-0.024,0.001,-0.0289,-0.0526,0.0112,-0.0157,0.0157,0.021,-0.0052,-0.003,0.0273,-0.0162
HD 45,-0.0584,-0.0286,0.0297,-0.006,-0.0363,0.0585,-0.0764,-0.0134,0.0186,0.0624,0.0427,0.0697
HD 46,-0.0377,-0.0071,-0.091,-0.0562,0.0047,-0.1093,-0.0127,-0.0378,-0.0823,-0.035,-0.0286,-0.0483
HD 47,-0.095,-0.0306,-0.0404,-0.0616,-0.0601,-0.0504,-0.0725,-0.0256,-0.0486,0.0415,0.0121,0.0207
HD 48,0.0834,-0.0154,-0.0585,0.0821,-0.012,-0.088,0.0489,0.0074,-0.0276,-0.0967,-0.1109,-0.0519
HD 49,-0.0101,0.0214,-0.0364,-0.0022,0.0175,-0.0451,-0.0141,0.0302,-0.0513,-0.0159,-0.0252,-0.0243
HD 50,0.0251,0.0353,0.0454,0.0183,0.0117,0.0645,0.0147,0.0559,0.0499,0.0116,0.028,0.0232
