# dim_target_effect_size | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,auroc_target_vs_rest,standardised_mean_difference,abs_auroc_from_half
DR 45,0.35334753592645196,-0.57151365,0.14665246407354804
DR 8,0.37716384561396266,-0.44009578,0.12283615438603734
DR 24,0.37875466724999896,-0.5306924,0.12124533275000104
DR 16,0.3947075326226229,-0.3415117,0.10529246737737707
DR 29,0.5954556197464871,0.3758679,0.09545561974648709
DR 10,0.4109112717569294,-0.28129774,0.08908872824307063
DR 57,0.5872071997661509,0.29565403,0.08720719976615088
DR 37,0.5846353129851021,0.36417332,0.08463531298510207
DR 14,0.4179385806139658,-0.28623095,0.08206141938603417
DR 64,0.4254438520065277,-0.2708327,0.07455614799347232
DR 59,0.5745122754670692,0.26414567,0.07451227546706918
DR 40,0.5708050932310007,0.13173868,0.0708050932310007
DR 7,0.43114945718046155,-0.1996889,0.06885054281953845
DR 25,0.43296244411076346,-0.24561729,0.06703755588923654
DR 56,0.56639002906122,0.22667462,0.06639002906122005
DR 51,0.4359894806600173,-0.16479315,0.0640105193399827
DR 26,0.5633196684728029,0.22393091,0.0633196684728029
DR 55,0.4468632272860142,-0.21277536,0.053136772713985814
DR 11,0.55120995209663,0.1204292,0.05120995209663004
DR 42,0.5496928062779635,0.17230424,0.049692806277963464
DR 39,0.5491348355861102,0.18358342,0.049134835586110204
DR 62,0.5489211406555734,0.17925684,0.0489211406555734
DR 4,0.5486655929222346,0.1064568,0.0486655929222346
DR 2,0.5470502657366905,0.24208328,0.047050265736690466
DR 28,0.4535049603680328,-0.15951177,0.04649503963196722
DR 15,0.5411142937710562,0.13298495,0.04111429377105624
DR 13,0.46293078671783305,-0.18283224,0.037069213282166946
DR 21,0.4632435642550651,-0.10645818,0.03675643574493492
DR 63,0.46336557793025,-0.08507134,0.03663442206974998
DR 22,0.5365446766517156,0.06175651,0.03654467665171557
DR 61,0.5362716977787988,0.138582,0.036271697778798795
DR 19,0.535524765704534,0.13014415,0.035524765704534
DR 49,0.5320166434688829,0.13550472,0.03201664346888289
DR 48,0.4703950936418284,-0.15776354,0.02960490635817159
DR 1,0.5290037406829763,0.07741245,0.029003740682976287
DR 46,0.47113996727574564,-0.110242985,0.02886003272425436
DR 31,0.5287262792712046,0.29886103,0.028726279271204636
DR 35,0.5280417521392615,0.109499946,0.028041752139261522
DR 41,0.47258677767188023,-0.045266863,0.02741322232811977
DR 53,0.5269280240628881,0.09547952,0.02692802406288808
DR 30,0.5261182955769774,0.10321622,0.026118295576977424
DR 54,0.525151527666019,0.094313264,0.025151527666019025
DR 52,0.4753181709950914,-0.08848564,0.024681829004908618
DR 38,0.4760242848640537,-0.076486506,0.02397571513594632
DR 27,0.47872935295067853,-0.080378324,0.021270647049321467
DR 20,0.480969589931581,-0.029867532,0.01903041006841899
DR 9,0.48098811374377826,-0.055672854,0.019011886256221744
DR 18,0.5188865407899206,0.02370243,0.01888654078992058
DR 3,0.5186101914091411,0.03316128,0.018610191409141108
DR 32,0.5184040161311173,0.05602721,0.018404016131117307
DR 23,0.5183341410076807,0.020830074,0.018334141007680715
DR 44,0.5153862565444745,0.04219999,0.015386256544474453
DR 58,0.48848187765895323,-0.035984322,0.011518122341046766
DR 33,0.5076997477603975,0.025558721,0.007699747760397502
DR 12,0.49244224805776365,0.018980939,0.007557751942236346
DR 6,0.4946022639402333,-0.01884218,0.005397736059766678
DR 36,0.5044264597987891,-0.01083129,0.004426459798789084
DR 34,0.4958475665772095,-0.015968889,0.00415243342279048
DR 43,0.49734087363477764,-0.029220974,0.002659126365222364
DR 17,0.5020247610800337,-0.056955617,0.002024761080033688
DR 47,0.4987644066626358,0.011057029,0.001235593337364227
DR 5,0.4988543994376608,0.0099452855,0.0011456005623391996
DR 60,0.49970830158022406,0.006328571,0.00029169841977594313
DR 50,0.4999512276542535,-0.015191919,4.877234574651723e-05
