# dim_target_effect_size | collection emt (epithelial-mesenchymal transition (EMT)) | Harmony run harmony_epi_50 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,auroc_target_vs_rest,standardised_mean_difference,abs_auroc_from_half
HD 4,0.6760761932662545,0.575393,0.17607619326625445
HD 1,0.6167061039746827,0.39909816,0.11670610397468273
HD 8,0.3862142249197757,-0.43238413,0.1137857750802243
HD 24,0.39130996175430743,-0.40254006,0.10869003824569257
HD 21,0.5823780169755726,0.2800676,0.08237801697557257
HD 18,0.5820982626720449,0.2829961,0.0820982626720449
HD 27,0.5813559873619937,0.2880281,0.08135598736199368
HD 22,0.42410666807767694,-0.27498245,0.07589333192232306
HD 7,0.5742391890476347,0.24633262,0.07423918904763471
HD 12,0.5705456351062806,0.22963786,0.07054563510628065
HD 2,0.5688567331970935,0.22664578,0.06885673319709351
HD 13,0.5627971171510671,0.22420903,0.06279711715106706
HD 19,0.5625505366463683,0.20445095,0.06255053664636834
HD 31,0.43765748197896776,-0.22116666,0.062342518021032245
HD 46,0.4380400313949794,-0.20834094,0.06195996860502062
HD 29,0.5614736389504233,0.22337991,0.06147363895042335
HD 11,0.5574887156816374,0.19770744,0.05748871568163738
HD 47,0.4427114154820955,-0.20009674,0.05728858451790447
HD 15,0.4492514719354136,-0.1762532,0.05074852806458641
HD 33,0.5478717189439534,0.17594801,0.04787171894395337
HD 36,0.5477609998040502,0.17579451,0.04776099980405024
HD 38,0.4546408795928547,-0.16675806,0.04535912040714529
HD 3,0.5453481829263019,0.14842947,0.04534818292630194
HD 25,0.5440644453148542,0.14808978,0.044064445314854206
HD 35,0.5354299182797031,0.11206828,0.0354299182797031
HD 50,0.5263212078936562,0.09787711,0.026321207893656218
HD 39,0.4738056948462203,-0.10071491,0.026194305153779684
HD 14,0.4753427475253009,-0.08939457,0.024657252474699076
HD 43,0.4760100155920941,-0.08269355,0.023989984407905895
HD 17,0.4767024194309885,-0.08539692,0.02329758056901149
HD 23,0.5230942789339388,0.08847278,0.023094278933938783
HD 6,0.5229581874195955,0.082719766,0.022958187419595544
HD 32,0.5202995944851005,0.07757083,0.020299594485100547
HD 26,0.5193134531444558,0.071735285,0.01931345314445576
HD 20,0.4823975624796871,-0.056657776,0.017602437520312875
HD 16,0.517542196413926,0.0517576,0.01754219641392596
HD 40,0.51621900858888,0.050400306,0.016219008588880035
HD 30,0.5159366215466007,0.05312115,0.015936621546600693
HD 45,0.4850863716837762,-0.054464582,0.014913628316223781
HD 48,0.5133404163469846,0.047175504,0.013340416346984574
HD 10,0.5119403327618312,0.03839059,0.011940332761831152
HD 49,0.4882104990782188,-0.038608335,0.011789500921781215
HD 9,0.4886572774254912,-0.06664471,0.011342722574508801
HD 28,0.49035579614428526,-0.049800653,0.00964420385571474
HD 5,0.4917556216177964,-0.0047118748,0.008244378382203599
HD 34,0.4930520389636731,-0.018073764,0.0069479610363268884
HD 37,0.4953960239192059,-0.0108853895,0.004603976080794103
HD 44,0.4958191334288776,-0.017403945,0.004180866571122377
HD 42,0.49860610249054077,-0.014506914,0.0013938975094592299
HD 41,0.4991736598789758,0.0047355397,0.0008263401210242272
