# quadrant_per_patient | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
cohort,list B,list A,list C,n_cells_in_cohort,consensus,pct_consensus
Patient02,15,13,17,209,13,6.220095693779904
Patient03,13,19,14,234,12,5.128205128205129
Patient05,23,16,22,376,15,3.9893617021276597
Patient07,11,11,17,257,9,3.501945525291829
Patient09,22,26,22,471,20,4.246284501061571
Patient10,99,101,88,1649,81,4.912067919951486
Patient11,63,52,57,1193,44,3.6881810561609387
Patient12,18,9,18,241,13,5.394190871369295
Patient15,29,25,31,549,21,3.8251366120218577
Patient16,505,466,597,8028,428,5.331340308918784
Patient17,164,122,176,3038,109,3.5878867676102697
Patient18,77,39,73,1148,51,4.442508710801394
Patient19,83,73,89,1399,65,4.6461758398856325
Patient20,15,11,14,218,13,5.963302752293578
Patient26,110,89,107,5815,81,1.3929492691315564
Patient39,72,78,80,1633,51,3.1230863441518677
Patient42,37,43,47,619,36,5.815831987075929
Patient43,336,306,359,5394,264,4.89432703003337
Patient45,198,208,190,2434,169,6.943303204601479
Patient46,198,179,197,2950,164,5.559322033898305
Patient47,241,242,221,3922,188,4.79347271800102
Patient48,103,77,111,1192,81,6.795302013422819
Patient52,501,488,535,9243,356,3.8515633452342315
Patient53,374,397,398,5488,334,6.08600583090379
Patient56,298,282,346,6745,243,3.6026686434395847
Patient57,104,100,100,1509,79,5.235255135851557
Patient63,372,320,408,7771,298,3.8347702998327113
Patient64,22,19,33,502,14,2.7888446215139444
Patient66,18,17,15,214,14,6.542056074766355
