# signature_gene_contribution | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
EMT_A_EPITHELIAL,epithelial,KRT18,0.683373,1.304822,0.160811,0.155842,0.577566,1
EMT_A_EPITHELIAL,epithelial,CLDN4,0.58316,1.018464,0.125519,0.153581,0.618171,2
EMT_A_EPITHELIAL,epithelial,CD24,0.729249,1.486312,0.183179,0.14691,0.514956,3
EMT_A_EPITHELIAL,epithelial,KRT8,0.651939,1.13047,0.139324,0.145443,0.591316,4
EMT_A_EPITHELIAL,epithelial,LMNA,0.597668,0.932901,0.114974,0.08915,0.377898,5
EMT_A_EPITHELIAL,epithelial,CLDN3,0.373867,0.471166,0.058068,0.082755,0.478115,6
EMT_A_EPITHELIAL,epithelial,EPCAM,0.484478,0.61558,0.075866,0.068849,0.381751,7
EMT_A_EPITHELIAL,epithelial,DSP,0.434975,0.531795,0.06554,0.068643,0.410954,8
EMT_A_EPITHELIAL,epithelial,CDH1,0.245429,0.219233,0.027019,0.035071,0.340742,9
EMT_A_EPITHELIAL,epithelial,ESRP1,0.17446,0.131733,0.016235,0.015922,0.236017,10
EMT_A_EPITHELIAL,epithelial,TJP1,0.167112,0.116657,0.014377,0.014257,0.197908,11
EMT_A_EPITHELIAL,epithelial,OCLN,0.104942,0.073331,0.009038,0.012542,0.235065,12
EMT_A_EPITHELIAL,epithelial,GRHL2,0.07418,0.049093,0.00605,0.00589,0.154547,13
EMT_A_EPITHELIAL,epithelial,OVOL2,0.04159,0.024369,0.003003,0.00369,0.130422,14
EMT_A_EPITHELIAL,epithelial,GRHL3,0.013178,0.008064,0.000994,0.001451,0.08766,15
EMT_A_HYBRID,hybrid,CD44,0.375922,0.442847,0.308389,0.291135,0.488173,1
EMT_A_HYBRID,hybrid,CDH3,0.165917,0.152255,0.106027,0.14069,0.391686,2
EMT_A_HYBRID,hybrid,NFE2L2,0.309964,0.271252,0.188894,0.133086,0.338688,3
EMT_A_HYBRID,hybrid,TNC,0.127188,0.115674,0.080553,0.114653,0.347402,4
EMT_A_HYBRID,hybrid,ITGB4,0.163606,0.138166,0.096216,0.108801,0.34,5
EMT_A_HYBRID,hybrid,LAMC2,0.087546,0.072476,0.050471,0.087586,0.315336,6
EMT_A_HYBRID,hybrid,ITGAV,0.154418,0.113077,0.078745,0.062741,0.223375,7
EMT_A_HYBRID,hybrid,BMI1,0.116361,0.079303,0.055225,0.029837,0.115645,8
EMT_A_HYBRID,hybrid,VCAM1,0.017302,0.01701,0.011845,0.013653,0.12991,9
EMT_A_HYBRID,hybrid,PDPN,0.014293,0.012616,0.008786,0.00852,0.108412,10
EMT_A_HYBRID,hybrid,ALDH1A1,0.016066,0.013336,0.009287,0.006369,0.086761,11
EMT_A_HYBRID,hybrid,HOTAIR,0.014522,0.007989,0.005563,0.002926,0.028946,12
EMT_A_MESENCHYMAL,mesenchymal,VIM,0.586035,1.284394,0.46794,0.380072,0.746058,1
EMT_A_MESENCHYMAL,mesenchymal,S100A4,0.238404,0.343722,0.125227,0.13699,0.417013,2
EMT_A_MESENCHYMAL,mesenchymal,SPARC,0.189909,0.279248,0.101738,0.136401,0.434789,3
EMT_A_MESENCHYMAL,mesenchymal,FN1,0.207413,0.337602,0.122998,0.132006,0.336724,4
EMT_A_MESENCHYMAL,mesenchymal,ACTA2,0.132118,0.182277,0.066408,0.076858,0.244854,5
EMT_A_MESENCHYMAL,mesenchymal,MMP14,0.141911,0.107632,0.039213,0.035644,0.193407,6
EMT_A_MESENCHYMAL,mesenchymal,MMP2,0.049932,0.048946,0.017832,0.02751,0.218821,7
EMT_A_MESENCHYMAL,mesenchymal,ZEB2,0.027968,0.026657,0.009712,0.017788,0.182952,8
EMT_A_MESENCHYMAL,mesenchymal,CDH11,0.038353,0.025731,0.009374,0.012962,0.181349,9
EMT_A_MESENCHYMAL,mesenchymal,SNAI2,0.027713,0.021118,0.007694,0.010941,0.155017,10
EMT_A_MESENCHYMAL,mesenchymal,ZEB1,0.019908,0.013478,0.00491,0.007941,0.156947,11
EMT_A_MESENCHYMAL,mesenchymal,SNAI1,0.039038,0.0259,0.009436,0.006746,0.085051,12
EMT_A_MESENCHYMAL,mesenchymal,MMP9,0.010478,0.011193,0.004078,0.006678,0.067817,13
