# embedding_comparison | collection emt (epithelial-mesenchymal transition (EMT)) | run epi_embeddings | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
embedding,readout,space,axis,n_dimensions,max_abs_rho,rho_at_best,best_dimension,n_dims_abs_rho_ge_0.2,pct_dims_abs_rho_ge_0.2,effective_n_dims,share_of_rho2_top_dimension,effective_rank_of_space,mean_abs_dim_correlation
drvi,EMT_B_EPITHELIAL,DRVI,epithelial,64,0.3756,-0.3756,DR 45,3,4.6875,21.216132719049625,0.1577024532145552,30.704229730821595,0.09407336155187777
drvi,EMT_A_EPITHELIAL,DRVI,epithelial,64,0.3971,-0.3971,DR 45,1,1.5625,15.833276592749113,0.20768432370432596,30.704229730821595,0.09407336155187777
drvi,EMT_C_EPITHELIAL,DRVI,epithelial,64,0.2966,-0.2966,DR 45,2,3.125,24.087784533438136,0.12955011108831796,30.704229730821595,0.09407336155187777
drvi,EMT_B_HYBRID,DRVI,hybrid,64,0.1557,0.1557,DR 29,0,0.0,17.522399334539994,0.17978122782861045,30.704229730821595,0.09407336155187777
drvi,EMT_A_HYBRID,DRVI,hybrid,64,0.1538,0.1538,DR 29,0,0.0,12.24913736558931,0.19717380029551346,30.704229730821595,0.09407336155187777
drvi,EMT_C_HYBRID,DRVI,hybrid,64,0.139,0.139,DR 29,0,0.0,19.956433359136227,0.1552318209405244,30.704229730821595,0.09407336155187777
drvi,EMT_B_MESENCHYMAL,DRVI,mesenchymal,64,0.1886,0.1886,DR 2,0,0.0,17.852684588472265,0.13800548445353084,30.704229730821595,0.09407336155187777
drvi,EMT_A_MESENCHYMAL,DRVI,mesenchymal,64,0.2525,0.2525,DR 2,1,1.5625,16.967751954599642,0.1545611568603651,30.704229730821595,0.09407336155187777
drvi,EMT_C_MESENCHYMAL,DRVI,mesenchymal,64,0.1455,-0.1455,DR 7,0,0.0,20.30352568545985,0.08696292453231279,30.704229730821595,0.09407336155187777
drvi,EMT_SCORE_B,DRVI,emt_score,64,0.3076,0.3076,DR 45,4,6.25,22.1222163077565,0.1279058426330756,30.704229730821595,0.09407336155187777
drvi,EMT_SCORE_A,DRVI,emt_score,64,0.3126,0.3126,DR 45,4,6.25,21.218227771049442,0.12339129649481435,30.704229730821595,0.09407336155187777
drvi,EMT_SCORE_C,DRVI,emt_score,64,0.2476,0.2476,DR 45,1,1.5625,20.75187235411734,0.12293917503050777,30.704229730821595,0.09407336155187777
harmony,EMT_B_EPITHELIAL,Harmony,epithelial,50,0.2888,0.2888,HD 2,5,10.0,13.295987079011615,0.14393890209393284,43.57847646279131,0.036820349382287496
harmony,EMT_A_EPITHELIAL,Harmony,epithelial,50,0.2617,0.2617,HD 7,2,4.0,12.108058442573856,0.1636202391252702,43.57847646279131,0.036820349382287496
harmony,EMT_C_EPITHELIAL,Harmony,epithelial,50,0.2375,0.2375,HD 7,4,8.0,14.680658567052456,0.12229155307892976,43.57847646279131,0.036820349382287496
harmony,EMT_B_HYBRID,Harmony,hybrid,50,0.0817,0.0817,HD 3,0,0.0,19.6980814551625,0.10008756869419182,43.57847646279131,0.036820349382287496
harmony,EMT_A_HYBRID,Harmony,hybrid,50,0.1132,0.1132,HD 9,0,0.0,14.111129063334648,0.17558171830363337,43.57847646279131,0.036820349382287496
harmony,EMT_C_HYBRID,Harmony,hybrid,50,0.1437,0.1437,HD 4,0,0.0,14.014633386869525,0.1720936283398541,43.57847646279131,0.036820349382287496
harmony,EMT_B_MESENCHYMAL,Harmony,mesenchymal,50,0.2153,0.2153,HD 4,2,4.0,13.270009301659272,0.155448766477834,43.57847646279131,0.036820349382287496
harmony,EMT_A_MESENCHYMAL,Harmony,mesenchymal,50,0.2499,0.2499,HD 11,2,4.0,16.32388427746052,0.1394804529288054,43.57847646279131,0.036820349382287496
harmony,EMT_C_MESENCHYMAL,Harmony,mesenchymal,50,0.2318,0.2318,HD 4,1,2.0,12.516168995683406,0.18635170521748107,43.57847646279131,0.036820349382287496
harmony,EMT_SCORE_B,Harmony,emt_score,50,0.2956,-0.2956,HD 7,4,8.0,12.154487478015731,0.18632030084573362,43.57847646279131,0.036820349382287496
harmony,EMT_SCORE_A,Harmony,emt_score,50,0.2751,-0.2751,HD 7,4,8.0,12.891274240816847,0.1607142549978931,43.57847646279131,0.036820349382287496
harmony,EMT_SCORE_C,Harmony,emt_score,50,0.2466,-0.2466,HD 7,2,4.0,12.279655192123208,0.1763646411451546,43.57847646279131,0.036820349382287496
