# convergence | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 1+,DR 1,+,MP18_INTERFERON_MHC_II_2,0.1689,MP18_INTERFERON_MHC_II_2,0.1689,MP18_INTERFERON_MHC_II_2,8.1266,7.471365798284319e-09,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
DR 1-,DR 1,-,MP5_STRESS,0.2897,MP5_STRESS,0.2897,MP5_STRESS,18.3286,4.692453741364385e-19,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 2+,DR 2,+,MP12_EMT_1,0.3665,MP12_EMT_1,0.3665,MP12_EMT_1,29.2929,5.094481623274441e-30,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 2-,DR 2,-,MP3_CELL_CYCLE_HMG_RICH,0.1442,MP3_CELL_CYCLE_HMG_RICH,0.1442,MP14_EMT_3,7.765,1.7179083871575893e-08,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 3+,DR 3,+,MP3_CELL_CYCLE_HMG_RICH,0.2042,MP3_CELL_CYCLE_HMG_RICH,0.2042,MP6_HYPOXIA,2.8427,0.00143648137689049,True,True,False,False,cell_cycle,stress,both_routes_different_family,False,"depth,cell_cycle"
DR 3-,DR 3,-,MP17_INTERFERON_MHC_II_1,0.19,MP17_INTERFERON_MHC_II_1,0.19,MP18_INTERFERON_MHC_II_2,1.4098,0.038922434816444154,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
DR 4+,DR 4,+,MP16_MES_GLIOMA,0.115,MP16_MES_GLIOMA,0.115,MP25_ASTROCYTES,2.0349,0.00922783881535078,False,True,False,False,emt,neural,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 4-,DR 4,-,MP30_PDAC_CLASSICAL,0.0991,MP30_PDAC_CLASSICAL,0.0991,MP18_INTERFERON_MHC_II_2,3.4447,0.0003591699547871438,False,True,False,False,epithelial_lineage,immune,factor_only_candidate_patient_or_technical,False,none
DR 5+,DR 5,+,MP14_EMT_3,0.1521,MP14_EMT_3,0.1521,MP14_EMT_3,5.0843,8.235690171536104e-06,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 5-,DR 5,-,MP12_EMT_1,0.228,MP12_EMT_1,0.228,MP12_EMT_1,6.4605,3.463378846082797e-07,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 6+,DR 6,+,MP5_STRESS,0.192,MP5_STRESS,0.192,MP23_SECRETED_2,8.5477,2.8333485277843668e-09,False,True,False,False,stress,secreted,factor_only_candidate_patient_or_technical,False,none
DR 6-,DR 6,-,MP34_PLATELET_ACTIVATION,0.1568,MP34_PLATELET_ACTIVATION,0.1568,MP6_HYPOXIA,5.0678,8.554605763414556e-06,False,True,False,False,other_lineage,stress,factor_only_candidate_patient_or_technical,False,none
DR 7+,DR 7,+,MP3_CELL_CYCLE_HMG_RICH,0.2618,MP3_CELL_CYCLE_HMG_RICH,0.2618,MP14_EMT_3,7.765,1.7179083871575893e-08,True,True,False,False,cell_cycle,emt,both_routes_different_family,False,"depth,cell_cycle"
DR 7-,DR 7,-,MP41_UNASSIGNED,0.5342,MP41_UNASSIGNED,0.5342,MP16_MES_GLIOMA,2.8882,0.0012935999794524249,True,True,False,False,unassigned,emt,both_routes_different_family,False,depth
DR 8+,DR 8,+,MP15_EMT_4,0.1271,MP15_EMT_4,0.1271,MP3_CELL_CYCLE_HMG_RICH,3.139,0.0007261059574351551,False,True,False,False,emt,cell_cycle,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 8-,DR 8,-,MP14_EMT_3,0.3342,MP14_EMT_3,0.3342,MP19_EPITHELIAL_SENESCENCE,17.0864,8.195963204818438e-18,True,True,False,False,emt,senescence,both_routes_different_family,False,mesenchymal_may_be_ambient_or_doublet
DR 9+,DR 9,+,MP2_CELL_CYCLE_G1_S,0.0786,MP2_CELL_CYCLE_G1_S,0.0786,MP14_EMT_3,6.8176,1.5219486509036537e-07,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 9-,DR 9,-,MP41_UNASSIGNED,0.3347,MP41_UNASSIGNED,0.3347,MP5_STRESS,2.4937,0.003208484902035953,True,True,False,False,unassigned,stress,both_routes_different_family,False,depth
DR 10+,DR 10,+,MP38_GLUTATHIONE,0.1945,MP38_GLUTATHIONE,0.1945,MP10_PROTEIN_MATURATION,2.6384,0.0022993230870212242,False,True,False,False,detoxification,proteostasis,factor_only_candidate_patient_or_technical,False,depth
DR 10-,DR 10,-,MP14_EMT_3,0.1656,MP14_EMT_3,0.1656,MP14_EMT_3,6.8176,1.5219486509036537e-07,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 11+,DR 11,+,MP5_STRESS,0.2067,MP5_STRESS,0.2067,MP23_SECRETED_2,1.8167,0.015251058958433395,True,True,False,False,stress,secreted,both_routes_different_family,False,cell_cycle
DR 11-,DR 11,-,MP2_CELL_CYCLE_G1_S,0.3679,MP2_CELL_CYCLE_G1_S,0.3679,MP2_CELL_CYCLE_G1_S,16.1484,7.105587633694756e-17,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 12+,DR 12,+,MP12_EMT_1,0.2176,MP12_EMT_1,0.2176,MP12_EMT_1,6.4605,3.463378846082797e-07,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 12-,DR 12,-,MP8_PROTEASOMAL_DEGRADATION,0.2024,MP8_PROTEASOMAL_DEGRADATION,0.2024,MP14_EMT_3,4.3109,4.887648886615807e-05,True,True,False,False,proteostasis,emt,both_routes_different_family,False,none
DR 13+,DR 13,+,MP7_STRESS_IN_VITRO,0.0714,MP7_STRESS_IN_VITRO,0.0714,MP41_UNASSIGNED,0.7354,0.1839077368328081,False,False,False,False,stress,unassigned,neither,False,cell_cycle
DR 13-,DR 13,-,MP23_SECRETED_2,0.1401,MP23_SECRETED_2,0.1401,MP14_EMT_3,13.5505,2.815140015133303e-14,False,True,False,False,secreted,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 14+,DR 14,+,MP2_CELL_CYCLE_G1_S,0.5793,MP2_CELL_CYCLE_G1_S,0.5793,MP2_CELL_CYCLE_G1_S,25.8313,1.4746875033173517e-26,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 14-,DR 14,-,MP15_EMT_4,0.1817,MP15_EMT_4,0.1817,MP6_HYPOXIA,4.2503,5.619530077001323e-05,False,True,False,False,emt,stress,factor_only_candidate_patient_or_technical,False,none
DR 15+,DR 15,+,MP11_TRANSLATION_INITIATION,0.1284,MP11_TRANSLATION_INITIATION,0.1284,MP14_EMT_3,4.3109,4.887648886615807e-05,False,True,False,False,proteostasis,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 15-,DR 15,-,MP33_RBCS,0.1663,MP33_RBCS,0.1663,MP12_EMT_1,10.9761,1.0565741960029275e-11,False,True,False,False,other_lineage,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 16+,DR 16,+,MP30_PDAC_CLASSICAL,0.117,MP30_PDAC_CLASSICAL,0.117,MP14_EMT_3,5.9215,1.198119123190034e-06,False,True,False,False,epithelial_lineage,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 16-,DR 16,-,MP5_STRESS,0.2233,MP5_STRESS,0.2233,MP5_STRESS,2.4937,0.003208484902035953,True,True,True,True,stress,stress,convergent,False,cell_cycle
