# dim_geneset_signed_significance | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 32,-0.0463,-0.3006,0.2137,3.6704,-1.2757,0.5711,-0.6445,0.0,0.4015,-0.6445,-0.5005,-0.826,-1.854,0.9329,0.5179,1.051,4.7865,4.1344,-0.5233,0.0,0.9719,-0.373,1.4992,8.5477,-0.5028,0.5233,-2.6384,-0.1823,2.0817,-0.2573,2.4801,0.7012,0.2517,-0.0877,0.0725,0.0321,0.273,0.0,0.3219,0.0372
DR 3,0.1801,0.3006,0.0,-0.1771,2.8427,0.0725,0.6445,0.0,0.7582,1.4144,0.3006,-0.5655,2.3619,0.4015,0.0973,-1.051,-1.4098,0.6744,1.1694,-0.4869,0.5711,1.2193,-0.4518,1.4144,0.5028,1.166,0.7582,0.5028,-0.0,0.0216,0.6791,0.1605,-0.2517,-1.051,-0.5711,-1.1694,-1.2193,0.0,-1.3733,0.0
DR 62,0.3785,0.7354,0.0,-0.5655,-0.3508,-0.0725,-0.1487,0.0,0.7582,0.1487,1.6865,-0.06,3.5923,0.4015,0.273,4.0793,6.3708,-1.3391,-0.5233,0.4869,-0.5711,1.2193,-0.0,0.3508,-0.5028,-1.5528,0.7582,-0.1823,0.5711,-0.0216,-1.4144,0.0216,-0.1067,0.3006,0.0725,0.187,0.8186,-0.0,-0.0,0.0372
DR 23,0.1801,0.7354,0.2137,-1.5359,2.2369,0.5711,0.6445,-0.4869,0.7582,0.6445,-0.3006,-3.6704,2.9497,-1.2757,-1.2193,-21.6707,-3.4447,-0.975,0.5233,0.4869,0.2741,2.606,-3.2778,-3.9106,0.5028,2.5938,0.7582,0.5028,0.5711,0.6445,-0.0,-0.4015,-1.0285,-0.6332,0.0,0.187,-0.5179,-0.0,0.3219,0.3006
DR 25,0.3785,0.3006,0.0,-0.0,0.1568,0.0725,0.6445,0.0,-1.2617,0.6445,-0.5005,-2.4937,-3.5923,-1.6865,-2.239,-0.7527,-3.4447,-3.4518,0.5233,0.0,-1.4537,-0.5953,-0.4518,-9.5063,0.1823,-1.166,1.8808,0.1823,-0.9719,0.0216,-0.6791,-0.7012,-3.5923,-0.6332,0.0725,-0.4413,-0.0973,-0.0,-0.3219,0.0
DR 10,0.0,-0.3006,0.2137,0.3508,-0.0372,0.0725,0.1487,0.0,2.6384,-0.1487,-0.724,-1.9839,-6.8176,0.4015,-3.604,-2.8427,-3.4447,-0.975,-1.1694,0.0,1.4537,-2.0781,-2.0175,-1.4144,0.1823,-0.789,-0.4015,-0.1823,0.9719,-0.2573,2.4801,1.0881,-1.0285,-1.5842,-0.0725,-0.7545,0.0973,0.0,-0.1284,1.3312
DR 38,1.3437,0.7354,0.0,1.166,-2.2369,-0.5711,-0.6445,0.4869,-3.5572,0.6445,-0.9962,1.166,6.8176,-3.3143,1.2193,-11.2294,-9.0908,-0.975,2.1005,0.4869,-0.9719,-2.606,2.0175,-3.9106,-0.1823,-3.8891,1.2617,-0.1823,-2.8303,0.0216,-0.2015,-1.0881,0.2517,-0.6332,0.5711,1.1694,-0.5179,-0.0,0.3219,-0.3006
DR 64,0.0,0.3006,0.0,0.5655,0.5897,0.2741,0.6445,0.0,0.1284,0.6445,-0.724,-0.826,5.9215,0.4015,0.273,1.4098,2.8427,3.4518,1.1694,0.4869,-0.9719,2.606,0.7251,0.7824,0.9478,0.789,0.4015,0.1823,-0.5711,-0.6445,1.9105,-0.4015,-0.47,1.5842,0.2741,-0.7545,0.8186,-0.0,-0.0,0.0
DR 60,-0.0,0.7354,-0.2137,1.9839,-1.2757,0.9719,0.1487,0.4869,0.4015,-1.4144,-0.3006,-0.0,3.5923,0.9329,-0.0973,2.8427,3.4447,1.3391,-1.1694,0.0,0.5711,-1.2193,-0.0697,0.5463,-0.9478,-1.166,1.2617,0.5028,0.5711,0.6445,3.1152,0.4015,0.1067,0.6332,0.0725,0.0321,0.5179,-0.0,-0.5953,-0.0372
DR 56,0.0,0.3006,0.0,0.1771,0.9056,-0.5711,0.0,0.0,-1.2617,-0.6445,0.06,-0.0,4.3109,-1.2757,-0.0973,-1.8256,-3.4447,-1.3391,-0.5233,0.0,0.9719,1.2193,-0.0,-0.7824,1.5163,0.789,0.7582,0.5028,2.8303,-0.6445,-1.0148,0.1605,0.47,0.6332,-0.2741,0.187,-0.8186,-0.0,-0.1284,0.0
