# factor_first_hallmark_significant | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,hallmark,gs_ind_0,Coagulation,12/52,0.0040114791797537,0.057497868243137,2.8825686871663883,15.90772981557226,+,DR 1,0.040932010762411535,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,28/114,2.6301966850554e-06,0.0001130984574573,3.274742397587333,42.07537027649923,+,DR 1,0.0001231701862269846,True
DR 1+,hallmark,gs_ind_0,Myogenesis,15/47,2.4747288817396623e-05,0.000532066709574,4.546838067592785,48.227377542811446,+,DR 1,0.0007963373384815896,True
DR 1-,hallmark,gs_ind_0,Androgen Response,10/25,6.840173852509236e-05,0.0004690404927434,6.349250698501397,60.8900273250398,-,DR 1,0.0017787540131130111,True
DR 1-,hallmark,gs_ind_0,Apoptosis,17/59,3.1696002737503654e-05,0.0002535680219,3.94598493348293,40.87772056868248,-,DR 1,0.0009608893461474792,True
DR 1-,hallmark,gs_ind_0,Estrogen Response Early,30/49,4.500282524747776e-19,2.1601356118789325e-17,16.342807729904504,690.4015299451424,-,DR 1,1.4400904079192883e-16,True
DR 1-,hallmark,gs_ind_0,Estrogen Response Late,25/64,2.9542058703548787e-10,4.726729392567807e-09,6.479606188466948,142.17954318691525,-,DR 1,3.6204735772859785e-08,True
DR 1-,hallmark,gs_ind_0,Hypoxia,15/61,0.0006459320302324,0.0038755921813948,3.152740341419587,23.15629857389903,-,DR 1,0.010539854091044262,True
DR 1-,hallmark,gs_ind_0,TGF-beta Signaling,4/8,0.0049190181961412,0.0262347637127535,9.142493638676845,48.58912019089625,-,DR 1,0.04663957993378323,True
DR 1-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,36/93,2.7643051306697274e-14,6.634332313607345e-13,6.727923880005286,210.0417602857842,-,DR 1,5.8971842787620854e-12,True
DR 1-,hallmark,gs_ind_0,UV Response Up,14/32,5.968869982019467e-07,7.162643978423361e-06,7.491123831606405,107.3593260367618,-,DR 1,3.359468900387647e-05,True
DR 1-,hallmark,gs_ind_0,p53 Pathway,14/41,1.9595327397435125e-05,0.0001881151430153,5.014038508408482,54.35327760264868,-,DR 1,0.0006664157027141196,True
DR 2+,hallmark,gs_ind_0,Adipogenesis,9/27,0.0007892992037056,0.0058408141074221,4.779832051372521,34.14886524442345,+,DR 2,0.012287468684714207,True
DR 2+,hallmark,gs_ind_0,Angiogenesis,7/17,0.0007324907256175,0.0058408141074221,6.609449981543005,47.71401518022149,+,DR 2,0.0115751620838321,True
DR 2+,hallmark,gs_ind_0,Coagulation,21/52,4.3233137730312154e-09,5.3320869867384984e-08,6.728434363531856,129.5845568014155,+,DR 2,4.257934270263995e-07,True
DR 2+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,63/114,9.100606838084657e-37,3.3672245300913217e-35,15.68836716681377,1301.9353477975235,+,DR 2,1.164877675274836e-33,True
DR 2+,hallmark,gs_ind_0,Myogenesis,21/47,4.454650607381848e-10,8.241103623656417e-09,8.02054974509907,172.69769349709023,+,DR 2,5.2904716491792674e-08,True
DR 2+,hallmark,gs_ind_0,UV Response Dn,9/32,0.0030264629626589,0.0186631882697303,3.7522915393589247,21.76464430625097,+,DR 2,0.03434960919195126,True
DR 2-,hallmark,gs_ind_0,Androgen Response,9/25,0.0004113385210392,0.0037020466893534,5.36521876730754,41.82775000316536,-,DR 2,0.007644597061781674,True
DR 2-,hallmark,gs_ind_0,DNA Repair,5/11,0.0026594995775354,0.0170967829984424,7.766869958685816,46.054566494324,-,DR 2,0.030454706891856673,True
DR 2-,hallmark,gs_ind_0,Estrogen Response Early,17/49,1.8550635918236e-06,4.1738930816031e-05,5.189478096835045,68.48861244153905,-,DR 2,8.941561748036767e-05,True
DR 2-,hallmark,gs_ind_0,Estrogen Response Late,19/64,6.480151748330988e-06,9.72022762249648e-05,4.14521841794569,49.521957069251535,-,DR 2,0.0002556553018519623,True
DR 2-,hallmark,gs_ind_0,Glycolysis,13/40,7.132734685467942e-05,0.0008024326521151,4.643345454545455,44.33573388785754,-,DR 2,0.0018259800794797932,True
DR 2-,hallmark,gs_ind_0,Myc Targets V1,5/12,0.004192769000148,0.0235843256258327,6.727536231884058,36.82918333740776,-,DR 2,0.04236903410675874,True
DR 2-,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,5/10,0.001577726486878,0.0118329486515851,9.184143222506394,59.25398339743649,-,DR 2,0.02058124275223391,True
DR 2-,hallmark,gs_ind_0,mTORC1 Signaling,17/48,1.3276367579910216e-06,4.1738930816031e-05,5.357250983953981,72.49490998712832,-,DR 2,6.678766572950467e-05,True
DR 3+,hallmark,gs_ind_0,E2F Targets,12/53,0.0047382490925697,0.0445395414701561,2.8115112971781024,15.047454754456218,+,DR 3,0.04580062861067469,True
DR 3+,hallmark,gs_ind_0,Estrogen Response Early,15/49,4.320330277245632e-05,0.0016761926510849,4.278409312863784,42.996274902517925,+,DR 3,0.0012536575514828633,True
DR 3+,hallmark,gs_ind_0,Estrogen Response Late,15/64,0.0011107953964648,0.0130518459084617,2.956601050940673,20.11280772356416,+,DR 3,0.01591587433740609,True
DR 3+,hallmark,gs_ind_0,Glycolysis,13/40,7.132734685467942e-05,0.0016761926510849,4.643345454545455,44.33573388785754,+,DR 3,0.0018259800794797932,True
DR 3+,hallmark,gs_ind_0,p53 Pathway,12/41,0.0004154095278364,0.0065080826027709,3.98215168817156,31.00601149959369,+,DR 3,0.007644597061781674,True
DR 3-,hallmark,gs_ind_0,Allograft Rejection,26/89,1.5635978652050002e-07,2.8144761573690007e-06,4.1552918349389705,65.11801947663723,-,DR 3,1.0234458754069093e-05,True
DR 3-,hallmark,gs_ind_0,Complement,14/66,0.0044090504991344,0.0317451635937683,2.589378271415805,14.04503611479543,-,DR 3,0.044282704228446636,True
DR 3-,hallmark,gs_ind_0,Inflammatory Response,25/82,1.0929188834879965e-07,2.8144761573690007e-06,4.405722779635823,70.62040392912445,-,DR 3,7.584593697458866e-06,True
DR 3-,hallmark,gs_ind_0,KRAS Signaling Up,22/83,9.22032280037151e-06,0.0001106438736044,3.5652797704447634,41.33621200524255,-,DR 3,0.00034825612675501574,True
DR 3-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,22/93,6.461196396966755e-05,0.000581507675727,3.049009813715696,29.4141360018817,-,DR 3,0.0017071784975471794,True
DR 4+,hallmark,gs_ind_0,p53 Pathway,12/41,0.0004154095278364,0.0182780192248034,3.98215168817156,31.00601149959369,+,DR 4,0.007644597061781674,True
DR 4-,hallmark,gs_ind_0,Apoptosis,13/59,0.0042671553818756,0.0358441052077557,2.716645161290322,14.824210670745018,-,DR 4,0.042969956293013034,True
DR 4-,hallmark,gs_ind_0,Estrogen Response Early,14/49,0.0001808341096007,0.0075950326032333,3.8665936638598346,33.32203534510104,-,DR 4,0.003975589585114627,True
DR 4-,hallmark,gs_ind_0,Estrogen Response Late,14/64,0.0032686442862646,0.0343207650057783,2.695007034215486,15.42454928240058,-,DR 4,0.03599883573400401,True
