# factor_first_significant | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,MP10_PROTEIN_MATURATION,6/13,0.0008738731352655,0.0051854297468064,7.991602399314481,56.281462040462216,+,DR 1,0.013159501331056941,True
DR 1+,lab,gs_ind_0,MP12_EMT_1,16/47,5.057843930604054e-06,4.172721242748344e-05,5.023744999354755,61.26241139381469,+,DR 1,0.00021904647398706276,True
DR 1+,lab,gs_ind_0,MP14_EMT_3,10/33,0.0009428054085102,0.0051854297468064,4.16904004020774,29.04424550712454,+,DR 1,0.013996286476852454,True
DR 1+,lab,gs_ind_0,MP18_INTERFERON_MHC_II_2,20/39,5.058600851559426e-11,1.6693382810146102e-09,10.375949996448613,245.986237572334,+,DR 1,7.471164334610844e-09,True
DR 1+,lab,gs_ind_0,MP25_ASTROCYTES,16/31,4.3743990424534714e-09,7.217758420048228e-08,10.301862050878574,198.2850557075752,+,DR 1,4.257934270263995e-07,True
DR 1+,lab,gs_ind_0,MP27_OLIGO_PROGENITOR,5/11,0.0026594995775354,0.0125376408655244,7.766869958685816,46.054566494324,+,DR 1,0.030454706891856673,True
DR 1+,lab,gs_ind_0,MP28_OLIGO_NORMAL,6/16,0.003151482837803,0.0129998667059375,5.698739135757131,32.82406608056813,+,DR 1,0.035179343305707905,True
DR 1+,lab,gs_ind_0,MP39_METAL_RESPONSE,16/36,6.731188405582003e-08,7.404307246140202e-07,7.767400356930398,128.27029826205302,+,DR 1,4.939063084860171e-06,True
DR 1+,hallmark,gs_ind_0,Coagulation,12/52,0.0040114791797537,0.057497868243137,2.8825686871663883,15.90772981557226,+,DR 1,0.040932010762411535,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,28/114,2.6301966850554e-06,0.0001130984574573,3.274742397587333,42.07537027649923,+,DR 1,0.0001231701862269846,True
DR 1+,hallmark,gs_ind_0,Myogenesis,15/47,2.4747288817396623e-05,0.000532066709574,4.546838067592785,48.227377542811446,+,DR 1,0.0007963373384815896,True
DR 1-,lab,gs_ind_0,MP14_EMT_3,9/33,0.0038078345454647,0.0251317080000673,3.5971119518303403,20.038412169513247,-,DR 1,0.03892302924911566,True
DR 1-,lab,gs_ind_0,MP22_SECRETED_1,12/26,1.9872335795739027e-06,3.2789354062969394e-05,8.170218604225738,107.2648967813464,-,DR 1,9.499141426013013e-05,True
