# shared_genes | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
MP2_CELL_CYCLE_G1_S,49,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP3_CELL_CYCLE_HMG_RICH,7,46,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MP4_CHROMATIN,1,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6
MP5_STRESS,0,0,0,49,2,6,0,1,0,0,1,1,1,2,1,0,0,0,0,0,0,4,5,1,0,3,0,0,0,1,0,0,0,0,0,0,2,3,0,0
MP6_HYPOXIA,0,0,0,2,49,5,2,2,1,1,3,3,3,2,3,0,3,1,2,0,0,7,2,1,0,3,1,0,0,0,0,0,3,1,0,0,0,1,0,0
MP7_STRESS_IN_VITRO,0,0,0,6,5,44,2,6,3,4,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,3,0,0
MP8_PROTEASOMAL_DEGRADATION,0,0,0,0,2,2,50,4,4,1,0,0,1,0,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
MP9_UNFOLDED_PROTEIN_RESPONSE,0,0,0,1,2,6,4,47,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,0,3
MP10_PROTEIN_MATURATION,0,0,0,0,1,3,4,11,49,0,1,1,0,2,0,2,2,1,0,0,3,0,0,2,1,1,0,0,0,0,1,2,0,1,1,1,0,1,0,3
MP11_TRANSLATION_INITIATION,0,1,0,0,1,4,1,0,0,45,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
