# signature_concentration | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,primary,n_mapped,effective_n_genes,effective_n_fraction,top_gene,top_gene_share_of_variance,top_gene_share_of_mean_signal,top_gene_detection_rate,top_gene_spearman_with_score,share_top3_of_variance,median_detection_rate,n_genes_below_noise_floor,frac_genes_below_noise_floor,frac_cells_all_zero,gini_of_mean_signal,flags
MP2_CELL_CYCLE_G1_S,cell_cycle,True,49,27.2422,0.556,HMGB2,0.0552,0.0607,0.2707,0.3329,0.1478,0.0937,0,0.0,0.1437,0.4359,undetectable_in_many_cells
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,True,46,33.9213,0.7374,STMN1,0.0423,0.0247,0.5211,0.5945,0.1183,0.5222,0,0.0,0.0005,0.3313,none
MP4_CHROMATIN,chromatin,True,45,36.3616,0.808,GOLGA4,0.0471,0.0482,0.3265,0.3125,0.132,0.1671,0,0.0,0.0949,0.2747,none
MP5_STRESS,stress,True,49,31.486,0.6426,FOS,0.0645,0.076,0.7571,0.7469,0.1715,0.362,0,0.0,0.0136,0.3948,none
MP6_HYPOXIA,stress,True,49,20.353,0.4154,S100A10,0.0834,0.1005,0.7551,0.5274,0.225,0.1615,1,0.0204,0.0036,0.5634,none
MP7_STRESS_IN_VITRO,stress,True,44,27.8572,0.6331,XBP1,0.0844,0.0784,0.5933,0.5254,0.206,0.2622,0,0.0,0.0087,0.4034,none
MP8_PROTEASOMAL_DEGRADATION,proteostasis,True,50,34.9346,0.6987,PRDX1,0.059,0.0762,0.786,0.5883,0.1426,0.3661,0,0.0,0.0033,0.3365,none
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,True,47,32.4418,0.6903,PPIB,0.0604,0.067,0.7307,0.5147,0.1588,0.3829,0,0.0,0.0058,0.3587,none
MP10_PROTEIN_MATURATION,proteostasis,True,49,28.6383,0.5845,HLA-C,0.0571,0.0584,0.737,0.5437,0.1538,0.3997,0,0.0,0.0069,0.4111,none
MP11_TRANSLATION_INITIATION,proteostasis,True,45,30.5701,0.6793,ZFAS1,0.0536,0.0665,0.5659,0.3852,0.1493,0.2405,0,0.0,0.0154,0.3793,none
MP12_EMT_1,emt,True,48,14.6938,0.3061,VIM,0.0641,0.0853,0.586,0.467,0.1734,0.1291,0,0.0,0.0093,0.566,none
MP13_EMT_2,emt,True,50,20.1319,0.4026,LGALS1,0.0913,0.0842,0.5555,0.5622,0.2152,0.1334,0,0.0,0.0109,0.5725,none
MP14_EMT_3,emt,True,50,34.3973,0.6879,S100A6,0.0569,0.0493,0.7776,0.6291,0.1514,0.4949,0,0.0,0.0001,0.3748,none
MP15_EMT_4,emt,True,49,13.4674,0.2748,CD74,0.1147,0.086,0.6183,0.5223,0.2494,0.1899,3,0.0612,0.001,0.6032,none
MP16_MES_GLIOMA,emt,True,49,17.1487,0.35,ANXA1,0.1106,0.0591,0.366,0.5894,0.3055,0.1299,8,0.1633,0.0204,0.6278,none
MP17_INTERFERON_MHC_II_1,immune,True,48,24.3761,0.5078,HLA-B,0.05,0.0625,0.6957,0.7519,0.1411,0.2824,0,0.0,0.0087,0.4705,none
MP18_INTERFERON_MHC_II_2,immune,True,50,25.3651,0.5073,CD74,0.0762,0.0635,0.6183,0.6687,0.2005,0.2462,1,0.02,0.0023,0.5128,none
MP19_EPITHELIAL_SENESCENCE,senescence,True,50,23.0678,0.4614,KRT7,0.0667,0.0779,0.5829,0.5441,0.1965,0.1417,9,0.18,0.0182,0.5651,none
MP20_MYC,metabolic,True,49,32.6193,0.6657,ENO1,0.0485,0.0475,0.5982,0.4778,0.1444,0.3339,0,0.0,0.0045,0.3902,none
MP21_RESPIRATION,metabolic,True,47,36.4726,0.776,RPS21,0.0418,0.0604,0.8584,0.5824,0.1181,0.5203,0,0.0,0.0018,0.2918,none
MP38_GLUTATHIONE,detoxification,True,48,5.9729,0.1244,AZGP1,0.3901,0.3813,0.5267,0.6378,0.5158,0.0248,18,0.375,0.1557,0.7506,"dominated_by_one_gene,low_effective_n,undetectable_in_many_cells"
MP39_METAL_RESPONSE,detoxification,True,50,19.0728,0.3815,S100A6,0.1292,0.1362,0.7776,0.6102,0.306,0.1632,0,0.0,0.0061,0.5835,none
MP22_SECRETED_1,secreted,True,49,23.5225,0.4801,TM4SF1,0.0799,0.1186,0.6503,0.4743,0.2078,0.1997,2,0.0408,0.0442,0.4884,none
MP23_SECRETED_2,secreted,True,50,19.1448,0.3829,RARRES1,0.0967,0.0546,0.3663,0.5049,0.2379,0.1364,2,0.04,0.0109,0.604,none
MP24_CILIA,cilia,True,39,16.6896,0.4279,TUBA1A,0.1333,0.1368,0.3737,0.3081,0.3125,0.0777,4,0.1026,0.1377,0.5629,undetectable_in_many_cells
MP25_ASTROCYTES,neural,False,49,14.908,0.3042,VIM,0.115,0.0927,0.586,0.5193,0.2629,0.0929,8,0.1633,0.0066,0.6851,none
MP26_NPC_GLIOMA,neural,False,49,9.962,0.2033,STMN1,0.1495,0.1265,0.5211,0.491,0.4131,0.0241,19,0.3878,0.0394,0.7758,low_effective_n
MP27_OLIGO_PROGENITOR,neural,False,48,11.5105,0.2398,APOD,0.2188,0.1599,0.2505,0.441,0.4295,0.0237,16,0.3333,0.1514,0.7202,undetectable_in_many_cells
MP28_OLIGO_NORMAL,neural,False,47,16.1522,0.3437,S100A1,0.1461,0.1123,0.3394,0.4649,0.3692,0.0911,8,0.1702,0.073,0.6359,none
