# confounders | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
MP2_CELL_CYCLE_G1_S,cell_cycle,-0.21615183660201195,0.0,-0.07206598704379552,2.7507147733405742e-86,0.648244190328037,0.0,0.5835308334774418,0.0
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,0.3610318246613496,0.0,-0.10618302855563995,1.4299129940348256e-185,0.39382248974186507,0.0,0.3516606149500633,0.0
MP4_CHROMATIN,chromatin,0.20506556652907548,0.0,0.3114831489178491,0.0,-0.08310348401051226,3.350711347757312e-114,-0.09947918200293272,5.105788928782635e-163
MP5_STRESS,stress,0.1756099412514328,0.0,0.2841483629367375,0.0,-0.27623761193587876,0.0,-0.3041714571823763,0.0
MP6_HYPOXIA,stress,0.24024688042802037,0.0,-0.13891888955243745,0.0,0.13724388680373698,9.0534803243171e-310,0.0843134586772427,1.6648883071876433e-117
MP7_STRESS_IN_VITRO,stress,0.16383412671062683,0.0,0.1665746801173679,0.0,-0.26700343438195856,0.0,-0.3105016797346505,0.0
MP8_PROTEASOMAL_DEGRADATION,proteostasis,0.26072853625438525,0.0,-0.15941638271480413,0.0,0.25372616088756905,0.0,0.1797991057406225,0.0
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,0.36101361084005357,0.0,0.15806534002551678,0.0,0.044162339177614696,1.8280414253684433e-33,-0.013130693213227029,0.0003401176008951167
MP10_PROTEIN_MATURATION,proteostasis,0.4200963781883537,0.0,0.30558497994297856,0.0,-0.07667042726597587,1.9099317201912658e-97,-0.2103413196913132,0.0
MP11_TRANSLATION_INITIATION,proteostasis,0.27927954632733243,0.0,-0.001785014713766835,0.6262488015162384,0.024298663349633563,3.345851852155374e-11,-0.1739933182477136,0.0
MP12_EMT_1,emt,-0.08358050528484616,1.6920938058876988e-115,-0.1075503178456622,2.3519926330459936e-190,0.09316612570894506,3.7964268266405215e-143,0.05483003632648704,1.1399253665302178e-50
MP13_EMT_2,emt,0.11761656368804572,1.6740148128789075e-227,-0.09132308301698099,1.3532629281962236e-137,0.12015539570966552,2.0741918654542603e-237,0.07479516309146333,8.118297817972303e-93
MP14_EMT_3,emt,0.24488594905906982,0.0,-0.11605670505023095,1.595534874465032e-221,0.11069066141722181,1.403648530080248e-201,0.019367422227277418,1.2598609146489677e-07
MP15_EMT_4,emt,0.20442405534809696,0.0,0.0535986999586927,1.70269536424847e-48,-0.10149183233884816,1.2431188309017364e-169,-0.25500247456491604,0.0
MP17_INTERFERON_MHC_II_1,immune,0.033376650328330704,8.327569382845513e-20,-0.12964624696833613,2.2544176171307336e-276,0.019501434424965585,1.0310528106123213e-07,-0.05578439970565883,2.176768210993105e-52
MP18_INTERFERON_MHC_II_2,immune,0.2072636923755493,0.0,-0.07738472879866075,3.0736241903329452e-99,0.05980645543210592,5.856569159306153e-60,-0.06792623068150953,7.566141373160176e-77
MP19_EPITHELIAL_SENESCENCE,senescence,0.2721215259209621,0.0,-0.010987015493331918,0.0027200385006921307,-0.08224034721182993,7.118619542187783e-112,-0.19520617792732314,0.0
MP20_MYC,metabolic,0.24828913666771812,0.0,-0.15224008379573334,0.0,0.3633330510173506,0.0,0.2850784275075553,0.0
MP21_RESPIRATION,metabolic,0.3006672557504422,0.0,-0.08038693098612971,5.845807921949536e-107,0.1386836379347042,0.0,0.1019719846578864,3.139152749107818e-171
MP38_GLUTATHIONE,detoxification,-0.15815519141337434,0.0,0.09980101918617604,4.56628482816087e-164,-0.1653626318091452,0.0,-0.1725816254559347,0.0
MP39_METAL_RESPONSE,detoxification,0.18532639547458293,0.0,-0.03615636166100973,5.734229656025189e-23,0.10688573245213087,5.063979091483906e-188,0.03430480851439966,7.80340377569949e-21
MP22_SECRETED_1,secreted,0.22913922809149842,0.0,0.13510315635055456,3.6795192123205096e-300,-0.17809823709559006,0.0,-0.19076169903570905,0.0
MP23_SECRETED_2,secreted,0.16435282230044704,0.0,0.020754729222088045,1.4856727275462343e-08,-0.12637934189237587,1.286244334206014e-262,-0.266661381875416,0.0
MP25_ASTROCYTES,neural,0.14925976374500324,0.0,0.0486999778532002,2.47778640415235e-40,0.03529507375256495,5.817788461752897e-22,-0.05605387367492198,7.031686658830815e-53
MP33_RBCS,other_lineage,0.2386232296588293,0.0,-0.014011687067334718,0.00013180832778500015,0.09064930106785074,1.3583850584292679e-135,0.03608629011159027,6.937991268702125e-23
MP36_IG,other_lineage,0.19661916821738973,0.0,0.1399252430908099,0.0,-0.16816173488213895,0.0,-0.22168183113932954,0.0
MP41_UNASSIGNED,unassigned,0.35830829215443033,0.0,0.4464433792747456,0.0,-0.20552816225971554,0.0,-0.22835372404003673,0.0
