# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 1+,DR 1,+,MP18_INTERFERON_MHC_II_2,0.1689,MP18_INTERFERON_MHC_II_2,0.1689,MP18_INTERFERON_MHC_II_2,8.1773,6.6481376047399925e-09,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
DR 1-,DR 1,-,MP5_STRESS,0.2897,MP5_STRESS,0.2897,MP5_STRESS,18.3964,4.014209182043213e-19,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 2+,DR 2,+,MP12_EMT_1,0.3665,MP12_EMT_1,0.3665,MP12_EMT_1,29.3607,4.3581281856072894e-30,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 2-,DR 2,-,MP3_CELL_CYCLE_HMG_RICH,0.1442,MP3_CELL_CYCLE_HMG_RICH,0.1442,MP14_EMT_3,7.8123,1.5406358517478752e-08,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 3+,DR 3,+,MP3_CELL_CYCLE_HMG_RICH,0.2042,MP3_CELL_CYCLE_HMG_RICH,0.2042,MP6_HYPOXIA,2.8752,0.001332907464231338,True,True,False,False,cell_cycle,stress,both_routes_different_family,False,"depth,cell_cycle"
DR 3-,DR 3,-,MP17_INTERFERON_MHC_II_1,0.19,MP17_INTERFERON_MHC_II_1,0.19,MP18_INTERFERON_MHC_II_2,1.4269,0.03741967403366643,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
DR 4+,DR 4,+,MP22_SECRETED_1,0.106,MP22_SECRETED_1,0.106,MP25_ASTROCYTES,2.0672,0.008566432555816553,False,True,False,False,secreted,neural,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 4-,DR 4,-,MP17_INTERFERON_MHC_II_1,0.0901,MP17_INTERFERON_MHC_II_1,0.0901,MP18_INTERFERON_MHC_II_2,3.4804,0.00033082627885569786,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
DR 5+,DR 5,+,MP14_EMT_3,0.1521,MP14_EMT_3,0.1521,MP14_EMT_3,5.1287,7.435325746482752e-06,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 5-,DR 5,-,MP12_EMT_1,0.228,MP12_EMT_1,0.228,MP12_EMT_1,6.5089,3.0981325884844056e-07,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 6+,DR 6,+,MP5_STRESS,0.192,MP5_STRESS,0.192,MP23_SECRETED_2,8.5967,2.5310457771974365e-09,False,True,False,False,stress,secreted,factor_only_candidate_patient_or_technical,False,none
DR 6-,DR 6,-,MP8_PROTEASOMAL_DEGRADATION,0.1404,MP8_PROTEASOMAL_DEGRADATION,0.1404,MP6_HYPOXIA,5.1125,7.717915155850127e-06,False,True,False,False,proteostasis,stress,factor_only_candidate_patient_or_technical,False,none
DR 7+,DR 7,+,MP3_CELL_CYCLE_HMG_RICH,0.2618,MP3_CELL_CYCLE_HMG_RICH,0.2618,MP14_EMT_3,7.8123,1.5406358517478752e-08,True,True,False,False,cell_cycle,emt,both_routes_different_family,False,"depth,cell_cycle"
DR 7-,DR 7,-,MP41_UNASSIGNED,0.5342,MP41_UNASSIGNED,0.5342,MP5_STRESS,1.5624,0.027390502512868647,True,True,False,False,unassigned,stress,both_routes_different_family,False,depth
DR 8+,DR 8,+,MP15_EMT_4,0.1271,MP15_EMT_4,0.1271,MP3_CELL_CYCLE_HMG_RICH,3.1772,0.0006649668571246756,False,True,False,False,emt,cell_cycle,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 8-,DR 8,-,MP14_EMT_3,0.3342,MP14_EMT_3,0.3342,MP19_EPITHELIAL_SENESCENCE,17.1541,7.012938009624128e-18,True,True,False,False,emt,senescence,both_routes_different_family,False,mesenchymal_may_be_ambient_or_doublet
DR 9+,DR 9,+,MP2_CELL_CYCLE_G1_S,0.0786,MP2_CELL_CYCLE_G1_S,0.0786,MP14_EMT_3,6.865,1.3645831365889239e-07,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 9-,DR 9,-,MP41_UNASSIGNED,0.3347,MP41_UNASSIGNED,0.3347,MP5_STRESS,2.5258,0.00297988840281942,True,True,False,False,unassigned,stress,both_routes_different_family,False,depth
DR 10+,DR 10,+,MP38_GLUTATHIONE,0.1945,MP38_GLUTATHIONE,0.1945,MP10_PROTEIN_MATURATION,2.6666,0.0021547654333634635,False,True,False,False,detoxification,proteostasis,factor_only_candidate_patient_or_technical,False,depth
