# coverage | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,primary,provenance,n_genes,n_mapped,mapped_fraction,n_in_hvg_background,hvg_fraction_of_mapped
MP2_CELL_CYCLE_G1_S,cell_cycle,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP2 (Cell Cycle - G1/S), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,28,0.5714285714285714
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP3 (Cell Cycle - HMG-rich), the published gene list as exported to datasets/GAVISH.csv",50,46,0.92,8,0.17391304347826086
MP4_CHROMATIN,chromatin,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP4 (Chromatin), the published gene list as exported to datasets/GAVISH.csv",50,45,0.9,3,0.06666666666666667
MP5_STRESS,stress,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP5 (Stress), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,37,0.7551020408163265
MP6_HYPOXIA,stress,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP6 (Hypoxia), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,29,0.5918367346938775
MP7_STRESS_IN_VITRO,stress,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP7 (Stress (in vitro)), the published gene list as exported to datasets/GAVISH.csv; derived from cultured cells, so a high score on fresh tissue is a dissociation readout before it is a biological one",50,44,0.88,16,0.36363636363636365
MP8_PROTEASOMAL_DEGRADATION,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP8 (Proteasomal degradation), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,4,0.08
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP9 (Unfolded protein response), the published gene list as exported to datasets/GAVISH.csv",48,47,0.9791666666666666,1,0.02127659574468085
MP10_PROTEIN_MATURATION,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP10 (Protein maturation), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,13,0.2653061224489796
MP11_TRANSLATION_INITIATION,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP11 (Translation initiation), the published gene list as exported to datasets/GAVISH.csv; ribosomal-protein heavy, so it tracks library complexity as readily as a programme - read it next to rho_n_genes_by_counts in the confounder table",50,45,0.9,4,0.08888888888888889
