# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP25_ASTROCYTES,MP33_RBCS,MP36_IG,MP41_UNASSIGNED
DR 32,-0.0427,-0.2997,0.2139,3.7093,-1.2986,0.5732,-0.6543,0.0,0.3979,-0.6543,-0.4976,-0.8369,-1.8782,0.939,1.0721,4.8328,4.175,-0.5309,0.0,0.9835,-0.3701,1.5206,8.5967,0.5309,0.0656,0.0,0.0359
DR 3,0.1728,0.2997,0.0,-0.1703,2.8752,0.0656,0.6543,0.0,0.7661,1.4307,0.2997,-0.5688,2.391,0.4015,-1.0721,-1.4269,0.6821,1.187,-0.4893,0.5732,1.2377,-0.4543,1.4307,1.1865,-0.5732,0.0,0.0
DR 62,0.375,0.7445,0.0,-0.5688,-0.3513,-0.0656,-0.1429,0.0,0.7661,0.1429,1.7125,-0.056,3.6277,0.4015,4.1207,6.4204,-1.3588,-0.5309,0.4893,-0.5732,1.2377,-0.0,0.3513,-1.5791,0.0656,-0.0,0.0359
DR 23,0.1728,0.7445,0.2139,-1.5624,2.2647,0.5732,0.6543,-0.4893,0.7661,0.6543,-0.2997,-3.7093,2.9832,-1.2986,-21.7385,-3.4804,-0.9912,0.5309,0.4893,0.2744,2.6361,-3.3147,-3.9528,2.624,0.0,-0.0,0.2997
DR 25,0.375,0.2997,0.0,-0.0,0.1488,0.0656,0.6543,0.0,-1.283,0.6543,-0.4976,-2.5258,-3.6277,-1.7125,-0.7597,-3.4804,-3.4861,0.5309,0.0,-1.473,-0.6,-0.4543,-9.5602,-1.1865,0.0656,-0.0,0.0
DR 10,0.0,-0.2997,0.2139,0.3513,-0.0359,0.0656,0.1429,0.0,2.6666,-0.1429,-0.7338,-2.0173,-6.865,0.4015,-2.8752,-3.4804,-0.9912,-1.187,0.0,1.473,-2.1098,-2.0505,-1.4307,-0.7986,-0.0656,0.0,1.3519
DR 38,1.3627,0.7445,0.0,1.1865,-2.2647,-0.5732,-0.6543,0.4893,-3.5905,0.6543,-1.0119,1.1865,6.865,-3.3505,-11.289,-9.145,-0.9912,2.1321,0.4893,-0.9835,-2.6361,2.0505,-3.9528,-3.9316,0.5732,-0.0,-0.2997
DR 64,0.0,0.2997,0.0,0.5688,0.5948,0.2744,0.6543,0.0,0.1215,0.6543,-0.7338,-0.8369,5.9697,0.4015,1.4269,2.8752,3.4861,1.187,0.4893,-0.9835,2.6361,0.7344,0.7928,0.7986,0.2744,-0.0,0.0
DR 60,-0.0,0.7445,-0.2139,2.0173,-1.2986,0.9835,0.1429,0.4893,0.3979,-1.4307,-0.2997,-0.0,3.6277,0.939,2.8752,3.4804,1.3588,-1.187,0.0,0.5732,-1.2377,-0.0633,0.5502,-1.1865,0.0656,-0.0,-0.0359
DR 56,0.0,0.2997,0.0,0.1703,0.9134,-0.5732,0.0,0.0,-1.283,-0.6543,0.056,-0.0,4.3505,-1.2986,-1.8507,-3.4804,-1.3588,-0.5309,0.0,0.9835,1.2377,-0.0,-0.7928,0.7986,-0.2744,-0.0,0.0
DR 48,-0.0,0.2997,0.0,-14.42,-0.5948,-1.473,0.6543,-0.4893,0.1215,0.1429,0.2997,-3.7093,2.391,-0.4015,-1.0721,0.1398,-1.7917,0.5309,0.4893,0.5732,1.2377,-15.9769,-5.3298,0.7986,0.2744,-0.0,0.0
DR 20,0.0427,0.7445,0.0,0.8369,-4.2901,2.1128,1.4307,0.0,1.9056,0.6543,1.0119,3.0982,1.8782,0.6471,0.2979,0.5053,-2.2803,1.187,0.4893,-0.9835,1.2377,1.0971,-5.3298,1.5791,-0.0656,0.0,-0.0359
DR 21,0.0,-0.2997,0.0,0.0,-1.7471,-0.0656,-0.1429,0.0,-0.7661,-0.1429,-1.0119,-0.1703,-2.9832,-0.2139,0.0,-2.8752,-0.9912,-0.5309,0.0,-0.9835,-2.6361,-0.0633,-1.1038,-1.5791,0.0,0.0727,0.0359
DR 45,-0.0427,-0.2997,0.0,-13.2056,1.7471,-3.6965,-0.6543,-0.4893,-0.7661,0.6543,2.613,-3.0982,-6.865,1.2986,0.5053,2.8752,-3.4861,0.5309,0.4893,0.0656,2.1098,-7.8279,-1.1038,7.3711,-0.0656,0.0,0.0
DR 51,-0.375,-1.3519,0.0,-2.5258,-0.5948,-0.5732,-1.4307,0.0,1.9056,-1.4307,0.7338,-0.3513,-6.865,0.6471,0.1398,4.1207,0.2291,-2.1321,0.4893,0.9835,-2.6361,0.0633,3.3517,0.5309,0.2744,0.0,0.0359
DR 6,-0.1728,-0.7445,0.0,6.8498,-5.1125,-0.5732,-0.6543,0.0,-1.9056,1.4307,-0.7338,-1.5624,-2.9832,0.6471,-0.7597,-2.3167,1.7917,1.187,-0.4893,0.2744,-2.6361,2.0505,8.5967,1.1865,0.0656,-0.0,-0.0359
DR 63,-0.1728,-1.3519,0.0,-0.3513,1.2986,-0.2744,-0.6543,0.0,0.3979,0.1429,0.1488,-0.3513,-8.8117,0.6471,-0.7597,-1.4269,-0.9912,0.5309,-0.4893,0.2744,-1.2377,0.4543,0.7928,-0.7986,0.5732,-0.0,-0.0359
