# quadrant_per_patient | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
cohort,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,EMP,LIM_STEM,FMASC,n_cells_in_cohort,consensus,pct_consensus
Patient02,12,14,17,9,13,13,209,14,6.698564593301436
Patient03,14,12,14,15,13,11,234,11,4.700854700854701
Patient05,34,30,43,42,14,18,376,26,6.914893617021277
Patient07,9,10,7,11,13,21,257,8,3.11284046692607
Patient09,29,24,25,32,34,32,471,27,5.732484076433121
Patient10,153,148,160,106,100,89,1649,137,8.308065494238933
Patient11,74,55,67,63,69,74,1193,57,4.777870913663034
Patient12,11,12,13,22,16,17,241,12,4.979253112033195
Patient15,32,37,52,34,23,32,549,26,4.735883424408015
Patient16,445,428,452,388,523,503,8028,430,5.356253114100648
Patient17,137,132,136,189,201,242,3038,132,4.3449637919684
Patient18,63,76,56,80,120,116,1148,61,5.313588850174216
Patient19,77,76,86,80,82,80,1399,74,5.289492494639028
Patient20,11,13,13,12,23,18,218,13,5.963302752293578
Patient26,545,597,654,308,418,544,5815,578,9.93981083404987
Patient39,82,58,70,123,127,115,1633,74,4.53153704837722
Patient42,36,31,49,33,25,30,619,27,4.361873990306947
Patient43,298,258,270,342,345,459,5394,280,5.190952910641453
Patient45,134,135,152,179,167,197,2434,139,5.710764174198849
Patient46,162,154,168,179,199,205,2950,140,4.745762711864407
Patient47,286,274,312,264,236,290,3922,270,6.884242733299337
Patient48,57,50,62,101,90,68,1192,49,4.110738255033557
Patient52,423,374,287,554,608,756,9243,306,3.3106134371957157
Patient53,237,248,339,283,290,238,5488,224,4.081632653061225
Patient56,454,492,559,355,297,385,6745,410,6.078576723498888
Patient57,75,56,50,106,89,128,1509,52,3.4459907223326707
Patient63,491,469,503,458,296,486,7771,403,5.185947754471754
Patient64,24,21,31,49,64,19,502,27,5.378486055776892
Patient66,14,11,7,20,21,20,214,10,4.672897196261682
