# convergence | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 1+,DR 1,+,KEGG_APM,0.0996,CytoTRACE2,0.1239,0.5458106376441896,0.1797659,FMASC,1.9952,0.010111137119549066,False,True,False,False,immune,stemness,factor_only_candidate_patient_or_technical,False,none
DR 1-,DR 1,-,HALLMARK_IFNG,0.0209,HALLMARK_IFNG,0.0209,0.4541893623558104,-0.1797659,HALLMARK_IFNG,0.0,1.0,False,False,False,False,immune,immune,neither,False,none
DR 2+,DR 2,+,LIM_STEM,0.2652,LIM_STEM,0.2652,0.3993165004283798,-0.26295835,LIM_STEM,16.6677,2.1493146554191766e-17,True,True,True,True,stemness,stemness,convergent,False,none
DR 2-,DR 2,-,ESC_ASSOU,0.2375,ESC_ASSOU,0.2375,0.6006834995716201,0.26295835,HALLMARK_IFNA,0.9733,0.10634081880996964,True,False,False,False,stemness,immune,cell_only_state_not_on_one_axis,False,"depth,cell_cycle"
DR 3+,DR 3,+,ESC_ASSOU,0.3208,ESC_ASSOU,0.3208,0.70089274057808,0.537469,ESC_ASSOU,1.9887,0.010263606662641497,True,True,True,True,stemness,stemness,convergent,False,"depth,cell_cycle"
DR 3-,DR 3,-,IMMUNOGENIC_CONSENSUS,0.183,IMMUNOGENIC_CONSENSUS,0.183,0.29910725942191996,-0.537469,KEGG_APM,5.0605,8.699614330652673e-06,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,depth
DR 4+,DR 4,+,LIM_STEM,0.1141,CytoTRACE2,0.1185,0.6075985839921706,0.3458455,LIM_STEM,1.6452,0.022636016404497493,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,none
DR 4-,DR 4,-,HALLMARK_IFNA,0.1102,HALLMARK_IFNA,0.1102,0.3924014160078294,-0.3458455,HALLMARK_IFNA,0.687,0.20558905959841414,False,False,False,False,immune,immune,neither,False,none
DR 5+,DR 5,+,ESC_WONG,0.1076,ESC_WONG,0.1076,0.5471251909725725,0.01880532,HALLMARK_IFNA,1.6979,0.020049336272477257,False,True,False,False,stemness,immune,factor_only_candidate_patient_or_technical,False,none
DR 5-,DR 5,-,LIM_STEM,0.3106,LIM_STEM,0.3106,0.4528748090274275,-0.01880532,LIM_STEM,51.0213,9.521382230214108e-52,True,True,True,True,stemness,stemness,convergent,False,none
DR 6+,DR 6,+,FMASC,0.0631,FMASC,0.0631,0.4563746624132069,-0.08703096,FMASC,0.2145,0.6102390566446633,False,False,False,False,stemness,stemness,neither,False,none
DR 6-,DR 6,-,ESC_WONG,0.0661,ESC_WONG,0.0661,0.5436253375867931,0.08703096,ESC_ASSOU,1.4348,0.03674514791999399,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 7+,DR 7,+,ESC_WONG,0.2443,ESC_WONG,0.2443,0.4998344824291505,-0.014282209,ESC_ASSOU,2.2806,0.005240829125640289,True,True,False,True,stemness,stemness,convergent,False,"depth,cell_cycle"
DR 7-,DR 7,-,FMASC,0.3226,FMASC,0.3226,0.5001655175708495,0.014282209,FMASC,0.2145,0.6102390566446633,True,False,False,False,stemness,stemness,cell_only_state_not_on_one_axis,False,none
DR 8+,DR 8,+,FMASC,0.1298,FMASC,0.1298,0.4812713117428793,-0.06853636,ESC_WONG,2.4351,0.003671977403587995,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 8-,DR 8,-,LIM_STEM,0.0141,LIM_STEM,0.0141,0.5187286882571207,0.06853636,IMMUNOGENIC_CONSENSUS,0.0968,0.8002026771193327,False,False,False,False,stemness,immune,neither,False,none
DR 9+,DR 9,+,LIM_STEM,0.0434,LIM_STEM,0.0434,0.4470279749679556,-0.148596,ESC_ASSOU,2.2806,0.005240829125640289,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 9-,DR 9,-,ESC_ASSOU,0.1742,ESC_ASSOU,0.1742,0.5529720250320445,0.148596,KEGG_APM,0.2145,0.6102390566446633,False,False,False,False,stemness,immune,neither,False,"depth,cell_cycle"
DR 10+,DR 10,+,FMASC,0.0306,FMASC,0.0306,0.4467166857278881,-0.20765533,ISDS,-0.0646,1.0,False,False,False,False,stemness,immune,neither,False,none
DR 10-,DR 10,-,ESC_ASSOU,0.1123,CytoTRACE2,0.1421,0.5532833142721119,0.20765533,IMMUNOGENIC_CONSENSUS,1.835,0.014621771744567183,False,True,False,False,stemness,immune,factor_only_candidate_patient_or_technical,False,none
DR 11+,DR 11,+,HALLMARK_IFNG,0.1233,HALLMARK_IFNG,0.1233,0.3222477126877447,-0.80901724,HALLMARK_IFNA,0.2417,0.573191841158763,False,False,False,False,immune,immune,neither,False,none
DR 11-,DR 11,-,BENPORATH_ES1,0.2205,BENPORATH_ES1,0.2205,0.6777522873122552,0.80901724,ESC_ASSOU,25.0765,8.384940786218085e-26,True,True,False,True,stemness,stemness,convergent,False,"depth,cell_cycle"
DR 12+,DR 12,+,LIM_STEM,0.2079,LIM_STEM,0.2079,0.3638424416045032,-0.37933302,LIM_STEM,4.7347,1.842044001002505e-05,True,True,True,True,stemness,stemness,convergent,False,none
DR 12-,DR 12,-,ESC_ASSOU,0.2762,ESC_ASSOU,0.2762,0.6361575583954968,0.37933302,ESC_ASSOU,4.6983,2.0030878652699935e-05,True,True,True,True,stemness,stemness,convergent,False,"depth,cell_cycle"
