# cycle_confound_by_readout | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
readout,axis,n_genes,n_cycle_genes,n_cycle_expected,cycle_fold_enrichment,cycle_hypergeom_p,cycle_share_of_variance,n_broad_prolif_genes,n_broad_expected,broad_fold_enrichment,broad_hypergeom_p,broad_share_of_variance,r2_cycle_on_score,has_gene_list
HALLMARK_IFNA,immune,96,0.0,0.3531,0.0,1.0,0.0,0.0,1.8493,0.0,1.0,0.0,0.0073,True
HALLMARK_IFNG,immune,197,0.0,0.7246,0.0,1.0,0.0,6.0,3.7949,1.5811,0.1813,0.0183,0.0113,True
ISDS,immune,27,0.0,0.0993,0.0,1.0,0.0,0.0,0.5201,0.0,1.0,0.0,0.0093,True
KEGG_APM,immune,67,0.0,0.2464,0.0,1.0,0.0,1.0,1.2907,0.7748,0.7288,0.0162,0.0059,True
IMMUNOGENIC_CONSENSUS,immune,25,0.0,0.092,0.0,1.0,0.0,0.0,0.4816,0.0,1.0,0.0,0.0095,True
BENPORATH_ES1,stemness,369,28.0,1.3573,20.6294,0.0,0.1102,63.0,7.1083,8.8629,0.0,0.2946,0.1494,True
ESC_ASSOU,stemness,802,48.0,2.95,16.2713,0.0,0.0811,114.0,15.4494,7.3789,0.0,0.2164,0.1159,True
ESC_WONG,stemness,297,38.0,1.0925,34.7842,0.0,0.0905,92.0,5.7213,16.0803,0.0,0.2256,0.0989,True
LIM_STEM,stemness,465,0.0,1.7104,0.0,1.0,0.0,8.0,8.9576,0.8931,0.6754,0.0439,0.0046,True
FMASC,stemness,1698,70.0,6.2457,11.2077,0.0,0.0748,181.0,32.7096,5.5335,0.0,0.178,0.1138,True
CytoTRACE2,stemness,0,,,,,,,,,,,0.0703,False
