# dim_geneset_signed_significance | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC
DR 32,0.0968,0.447,0.0646,0.7284,0.7223,-0.8594,-2.6188,-2.4351,-0.9982,-0.9279
DR 3,0.0968,-0.6262,0.0646,-5.0605,-4.5855,0.8594,1.9887,0.1104,-0.0,-0.0
DR 62,0.447,0.6262,0.2638,4.1855,5.8005,0.0628,-0.6464,-0.0342,-0.0,0.0342
DR 23,-22.8383,-38.7569,-10.8596,-0.2145,-0.358,0.2638,1.4348,0.0342,-0.0743,0.2773
DR 25,-0.2417,-0.038,-0.0646,-0.0,-0.0968,1.1235,1.2062,1.5734,-0.0743,-0.447
DR 10,-0.2417,-0.3001,-0.0646,-1.1235,-1.835,-0.2638,-0.48,-0.1104,-0.6725,-0.2145
DR 38,-2.6645,-3.0206,-1.5568,-5.0605,-4.5855,0.6317,1.6979,0.6581,-0.028,-0.0
DR 64,0.9733,0.3001,0.2638,0.447,0.7223,-0.1507,-1.6979,-0.1104,-0.4104,0.0342
DR 60,0.9733,0.6262,1.0117,1.1235,1.2152,-1.1235,-2.2806,-0.447,-0.1212,-0.2145
DR 56,-0.447,-0.038,-0.5999,-2.0714,-2.5717,-0.0,0.6464,-0.0,0.0743,-0.0
DR 48,-0.687,-5.0605,-0.5999,0.0,-0.0968,-0.0,0.8058,0.0342,-0.1212,0.2773
DR 20,0.687,0.8058,0.5999,-0.0,0.0,0.447,0.48,0.2473,0.6725,-0.2145
