# dim_signature_spearman | collection scie (stemness x immunogenicity (SCIE)) | Harmony run harmony_epi_50 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC,CytoTRACE2
HD 1,0.4425,0.4058,0.3972,0.368,0.4097,0.0763,0.1115,0.1272,0.0932,-0.1473,0.1251
HD 2,0.1424,0.2441,0.1313,0.2929,0.2098,0.1148,0.1758,0.0739,-0.0543,0.0815,0.1012
HD 3,-0.0605,-0.0616,-0.0716,0.0522,-0.01,0.1416,0.1897,0.1593,0.1216,0.1756,0.2458
HD 4,0.099,0.2009,0.0918,0.1811,0.1234,0.0621,0.1009,0.0167,0.2414,0.0073,0.1398
HD 5,-0.2807,-0.2277,-0.2631,-0.1779,-0.2344,0.0846,0.0251,-0.0187,-0.0343,0.143,-0.0287
HD 6,0.0602,-0.0065,0.0612,0.1364,0.158,-0.1359,-0.1479,-0.1401,0.0255,0.0045,-0.1143
HD 7,-0.1383,-0.069,-0.1071,0.0163,-0.0347,0.0217,-0.0141,-0.0546,-0.1706,0.0152,0.0095
HD 8,0.2786,0.3091,0.2901,0.3105,0.3728,-0.0243,-0.0736,-0.0798,0.0288,0.0837,-0.0299
HD 9,0.037,0.0401,0.1044,-0.0481,0.0093,-0.3225,-0.4401,-0.449,0.2413,0.0284,-0.2558
HD 10,0.1938,0.2146,0.1965,0.0132,0.0588,0.0054,0.1053,0.137,-0.1969,-0.1643,-0.031
HD 11,-0.0615,-0.075,-0.055,-0.1235,-0.1896,-0.0365,0.0081,0.0023,0.2936,0.0281,0.0343
HD 12,0.1179,0.0907,0.116,0.108,0.2068,-0.2166,-0.2249,-0.1628,0.0053,-0.2508,-0.2303
HD 13,0.13,0.1174,0.1206,0.1883,0.1144,0.149,0.0864,0.0566,-0.1119,0.1044,0.0736
HD 14,0.1315,0.083,0.1364,-0.0159,-0.0185,-0.0969,-0.1583,-0.1945,0.068,0.0587,-0.0624
HD 15,-0.1001,-0.0484,-0.0797,-0.0729,-0.0718,0.1101,0.088,0.0788,-0.0516,0.1095,0.0689
HD 16,0.0969,0.1801,0.1211,0.0592,0.0445,-0.0302,0.0007,-0.0437,-0.0376,-0.0705,-0.0333
HD 17,0.087,0.1038,0.0644,-0.0225,-0.0466,0.1157,0.1126,0.089,-0.0382,0.1218,0.0452
HD 18,0.2139,0.1971,0.187,0.3741,0.3558,0.2479,0.2416,0.1424,0.0585,0.2226,0.1632
HD 19,-0.0118,0.0124,0.0465,0.144,0.1619,-0.0432,-0.0333,-0.0494,0.0902,-0.0094,-0.0791
HD 20,0.1508,0.0608,0.1562,0.0482,0.1032,-0.0774,-0.1532,-0.13,0.0876,-0.0412,-0.1035
HD 21,0.0126,0.0142,0.0163,0.0686,0.0619,-0.1041,-0.1209,-0.124,0.0589,-0.0981,-0.0944
HD 22,0.0497,-0.003,0.0621,0.0741,0.0438,-0.0668,-0.0474,0.0211,-0.1205,-0.2308,-0.0795
HD 23,0.1567,0.1597,0.1201,0.0967,0.0818,-0.0274,-0.0563,-0.03,0.106,-0.1699,0.0126
HD 24,0.0841,0.1116,0.1035,0.0849,0.1045,0.0379,0.0379,0.0629,-0.0853,-0.0009,0.0217
HD 25,-0.2435,-0.189,-0.2203,-0.0638,-0.0819,0.0209,0.0596,0.0508,-0.067,-0.0029,0.0423
HD 26,0.1204,0.1872,0.1325,0.0219,0.1198,-0.0541,-0.0334,-0.0487,-0.0191,-0.0713,-0.0772
HD 27,0.0661,0.0649,0.0322,0.0907,0.0479,0.1629,0.169,0.1437,-0.0756,0.0249,0.077
HD 28,-0.1026,-0.097,-0.1013,-0.1102,-0.0414,-0.0557,-0.0135,-0.0109,0.0001,-0.0082,0.0172
HD 29,-0.0678,-0.0442,-0.0676,-0.1219,-0.1175,0.025,0.0381,0.0402,0.0511,0.0611,0.0374
HD 30,-0.0285,-0.0417,-0.0069,-0.0613,-0.0426,-0.0049,-0.0091,0.0039,0.0337,-0.0554,-0.0508
HD 31,0.1075,0.0677,0.0432,-0.0231,-0.0193,0.0614,0.0748,0.0841,-0.0366,0.0249,0.0328
HD 32,0.0739,0.0679,0.0512,-0.0946,-0.0783,0.0232,0.0195,0.0041,-0.0441,0.0553,-0.0176
HD 33,0.0138,0.0644,0.023,0.0827,0.0698,0.0049,0.0102,0.0128,-0.0145,0.0013,-0.0077
HD 34,0.0343,0.0286,0.0153,0.092,0.0517,0.008,-0.0144,-0.0535,-0.033,-0.0149,-0.0503
HD 35,0.0335,0.0629,0.0346,0.0923,0.0435,-0.0282,0.0058,0.0244,0.0157,-0.0173,0.0115
HD 36,-0.0266,0.0082,-0.008,0.0774,0.0216,-0.0223,-0.0641,-0.0952,0.0007,-0.009,-0.0632
HD 37,-0.1131,-0.1159,-0.095,-0.0737,-0.0644,-0.0574,-0.0662,-0.0616,0.0372,0.008,-0.022
HD 38,-0.0087,-0.0179,-0.0161,0.0248,0.0068,0.0028,0.0207,0.0291,-0.0178,-0.017,0.0216
HD 39,-0.0563,-0.0409,-0.1342,0.0094,-0.0838,0.0982,0.1172,0.1103,-0.035,0.0562,0.0742
HD 40,-0.0161,-0.0001,-0.0425,0.0794,0.0393,-0.0204,0.0106,-0.0093,-0.0296,-0.0126,0.0053
HD 41,-0.0615,-0.0507,-0.0811,-0.0626,0.0284,-0.0283,-0.0111,-0.0245,-0.0039,0.0255,-0.0193
HD 42,0.0755,0.0493,0.0445,-0.0063,-0.0623,0.0953,0.0744,0.0556,-0.0325,0.0461,0.057
HD 43,0.0861,0.0536,0.0492,0.0106,-0.03,0.0142,0.007,0.008,0.0138,-0.0289,0.0242
HD 44,-0.1244,-0.0832,-0.115,-0.0548,-0.0528,-0.057,-0.0483,-0.0207,-0.0161,0.0151,-0.0473
HD 45,0.051,0.0718,0.0308,0.0498,0.0692,-0.029,-0.0288,-0.0194,0.0384,-0.0173,0.0074
HD 46,-0.0898,-0.0891,-0.085,-0.0217,-0.0568,-0.0389,-0.0495,-0.0341,0.0159,0.0137,-0.0437
HD 47,0.0074,-0.0167,-0.0085,-0.0817,-0.0563,-0.0073,0.0178,0.0358,-0.1031,-0.0145,0.0009
HD 48,0.0236,0.0367,0.0229,0.0339,0.0225,0.0499,0.0406,0.0106,-0.0102,0.084,0.0191
HD 49,-0.0207,-0.0197,-0.0004,-0.0424,-0.0458,-0.0434,-0.0345,-0.0479,0.0245,-0.0339,-0.0293
HD 50,-0.0371,-0.0472,-0.0505,-0.0166,-0.0057,-0.0155,0.0227,0.0341,-0.0027,-0.0511,0.0056
