# dim_target_effect_size | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,auroc_target_vs_rest,standardised_mean_difference,abs_auroc_from_half
DR 27,0.7322684806332636,0.68819046,0.23226848063326355
DR 3,0.70089274057808,0.537469,0.20089274057808004
DR 14,0.6814767912983637,0.8610409,0.1814767912983637
DR 11,0.32224771268774477,-0.80901724,0.17775228731225523
DR 58,0.33402714772329944,-0.59973085,0.16597285227670056
DR 64,0.3357401214207357,-0.5993113,0.16425987857926427
DR 56,0.35460188645003177,-0.5158359,0.14539811354996823
DR 12,0.3638424416045032,-0.37933302,0.1361575583954968
DR 18,0.6338042302732831,0.33195534,0.13380423027328314
DR 21,0.37314647296017817,-0.30696586,0.12685352703982183
DR 23,0.6217612808866262,0.34850374,0.12176128088662619
DR 36,0.6209620171700627,0.34270617,0.12096201717006272
DR 62,0.6203971182755312,0.44670543,0.12039711827553123
DR 25,0.6187960460286286,0.32328856,0.11879604602862859
DR 26,0.3856075577296926,-0.5707788,0.11439244227030743
DR 38,0.609763614770861,0.3517548,0.10976361477086105
DR 4,0.6075985839921706,0.3458455,0.1075985839921706
DR 32,0.3952740096916393,-0.32568353,0.10472599030836072
DR 2,0.39931650042837985,-0.26295835,0.10068349957162015
DR 61,0.4045220002325511,-0.35478437,0.09547799976744892
DR 44,0.4056053804810621,-0.4390243,0.0943946195189379
DR 43,0.593969829525276,0.22680452,0.093969829525276
DR 50,0.5923423687778703,0.20083775,0.09234236877787028
DR 40,0.5875030373030232,0.20695627,0.08750303730302322
DR 53,0.5801774742488184,0.28221977,0.08017747424881838
DR 46,0.5783621623153955,0.4057669,0.0783621623153955
DR 54,0.5779793300032137,0.30688417,0.07797933000321366
DR 57,0.4336989868655348,-0.248697,0.06630101313446518
DR 16,0.4360510811906448,-0.19258994,0.06394891880935522
DR 60,0.44185046639932907,-0.21747826,0.05814953360067093
DR 37,0.5533046234410056,0.21854727,0.053304623441005616
DR 10,0.44671668572788814,-0.20765533,0.05328331427211186
DR 9,0.4470279749679556,-0.148596,0.0529720250320444
DR 48,0.5476469361403093,0.15054092,0.04764693614030935
DR 5,0.5471251909725725,0.01880532,0.047125190972572506
DR 30,0.5464981800892122,0.13451378,0.04649818008921225
DR 1,0.5458106376441896,0.1797659,0.04581063764418958
DR 31,0.4561292346010109,-0.1267023,0.0438707653989891
DR 15,0.5437750508859795,0.18246806,0.04377505088597955
DR 6,0.45637466241320696,-0.08703096,0.043625337586793045
DR 22,0.5408331775214041,0.13133356,0.04083317752140414
DR 59,0.46222949813595393,-0.16637622,0.03777050186404607
DR 29,0.5358447659478314,0.20150325,0.03584476594783137
DR 28,0.5341062857689621,0.12302023,0.03410628576896213
DR 13,0.5329245449502314,0.08644632,0.03292454495023145
DR 63,0.4696892276162436,-0.11029138,0.0303107723837564
DR 35,0.5298462023004431,0.028510615,0.029846202300443103
DR 51,0.47079662829849395,-0.08857008,0.029203371701506053
DR 49,0.526392016567407,-0.09745221,0.026392016567406973
DR 34,0.5257917476785738,0.17466109,0.02579174767857384
DR 52,0.5231168704096398,0.05090191,0.023116870409639834
DR 20,0.47889599491957013,-0.1802489,0.021104005080429866
DR 19,0.48066211798793124,-0.06433822,0.019337882012068763
DR 8,0.4812713117428793,-0.06853636,0.018728688257120707
DR 41,0.4850455708708844,0.14709334,0.014954429129115598
DR 42,0.4860532399065788,-0.079972886,0.013946760093421218
DR 55,0.5119827215552968,0.0531126,0.011982721555296783
DR 24,0.5106402542109375,-0.016772859,0.010640254210937505
DR 33,0.5088281185757609,0.094568394,0.008828118575760935
DR 39,0.5077384286305174,0.03896786,0.0077384286305174355
DR 17,0.5056816150709534,0.034391455,0.0056816150709534385
DR 45,0.49507862015975734,-0.005947023,0.004921379840242657
DR 47,0.4958267233382795,0.006583583,0.004173276661720515
DR 7,0.4998344824291505,-0.014282209,0.0001655175708494827
