# confounders | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
HALLMARK_IFNA,immune,0.10127992666749272,6.268790181765931e-169,-0.14209715139035328,0.0,0.04801557780764238,2.968890698801788e-39,-0.04785648941135149,5.261697332652664e-39
HALLMARK_IFNG,immune,0.15987210922427073,0.0,-0.11707885315301914,1.968448533098267e-225,0.0036959947756518177,0.3132638084675483,-0.08922290621367052,2.0938434017056726e-131
ISDS,immune,0.04536547502427684,3.2051810048770665e-35,-0.12805851149628097,1.213142444802386e-269,0.008002291055321065,0.02901125025701735,-0.0495924570800208,9.22230012020356e-42
KEGG_APM,immune,0.31588527324370475,0.0,0.010387046601775089,0.004596674557903412,0.04017509770040567,5.594851337476116e-28,-0.09309406004571681,6.28897921355282e-143
IMMUNOGENIC_CONSENSUS,immune,0.1763372531692634,0.0,-0.059226411744139625,7.79576466282888e-59,0.019206962207501795,1.5988232756104212e-07,-0.08445670304898334,6.715399428097859e-118
BENPORATH_ES1,stemness,0.4840598941491293,0.0,0.0013848724549206295,0.7055489013517975,0.36144410048202386,0.0,0.2611045796148945,0.0
ESC_ASSOU,stemness,0.6422595167190086,0.0,0.02625394057183295,7.823776294930164e-13,0.3206726690377321,0.0,0.1599433917150795,0.0
ESC_WONG,stemness,0.502640073018742,0.0,-0.07734857909283872,3.791515637143575e-99,0.334620478465498,0.0,0.19966167729459228,0.0
LIM_STEM,stemness,-0.23713749304475648,0.0,-0.09465080906750761,1.0593789236309303e-147,0.0814551540161597,8.875391486715007e-110,0.1267354948740109,4.238559354297007e-264
FMASC,stemness,0.07430737134531193,1.2430929225039723e-91,0.22790318418635339,0.0,0.1042144574358338,8.575934699354329e-179,0.2044085162932852,0.0
CytoTRACE2,stemness (independent),0.44491223252035217,0.0,-0.015700220319938656,1.8371069996984572e-05,0.26195859490506396,0.0,0.1544768659815193,0.0
