# cycle_confound_by_dimension | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,rho_S,rho_G2M,cycle_loading,best_focus_axis,best_other,convergent
DR 32,-0.0428,-0.0562,0.0562,0.0979,0.1634,False
DR 3,0.0431,-0.0258,0.0431,0.3208,0.183,True
DR 62,0.0021,-0.143,0.143,0.3363,0.1556,False
DR 23,-0.0238,-0.038,0.038,0.067,0.4142,True
DR 25,0.0238,0.0916,0.0916,0.0707,0.1885,False
DR 10,-0.1437,-0.091,0.1437,0.1421,0.1082,False
DR 38,0.0209,0.0724,0.0724,0.0834,0.222,True
DR 64,-0.1098,-0.0537,0.1098,0.3124,0.093,True
DR 60,-0.0422,0.019,0.0422,0.0972,0.0606,False
DR 56,-0.1,-0.0654,0.1,0.3514,0.0889,False
DR 48,0.0267,0.0001,0.0267,0.0581,0.1577,False
DR 20,-0.0247,-0.0041,0.0247,0.1654,0.122,False
DR 21,-0.0273,0.0327,0.0327,0.2905,0.0971,True
DR 45,0.046,0.0344,0.046,0.099,0.0516,False
DR 51,0.0433,0.0976,0.0976,0.0999,0.0419,False
DR 6,-0.0794,-0.1037,0.1037,0.0661,0.0497,False
DR 63,-0.0155,0.0815,0.0815,0.174,0.05,False
DR 5,0.034,0.0445,0.0445,0.3106,0.0715,True
DR 29,0.046,0.0831,0.0831,0.2322,0.0675,True
DR 14,0.5287,0.4588,0.5287,0.2666,0.1125,True
DR 2,0.0394,0.1425,0.1425,0.2652,0.0716,True
DR 4,0.1513,0.1988,0.1988,0.1185,0.1102,False
DR 40,0.0308,-0.0491,0.0491,0.2265,0.1085,False
DR 11,-0.3146,-0.6914,0.6914,0.2205,0.1233,True
DR 57,-0.1124,-0.2816,0.2816,0.1918,0.2615,True
DR 27,-0.0054,0.1046,0.1046,0.036,0.6281,True
DR 42,-0.0266,-0.0106,0.0266,0.1152,0.1219,False
DR 41,0.0337,0.1794,0.1794,0.1273,0.1079,False
DR 24,0.0496,0.0249,0.0496,0.1199,0.071,False
DR 36,0.0228,0.0055,0.0228,0.054,0.5122,True
DR 44,-0.1384,-0.2873,0.2873,0.1586,0.0674,False
DR 26,-0.2059,-0.1501,0.2059,0.1532,0.0997,False
DR 49,-0.0171,-0.0285,0.0285,0.1334,0.0852,False
DR 47,0.0595,0.1212,0.1212,0.0195,0.0593,False
DR 54,-0.1266,-0.1203,0.1266,0.2897,0.1446,False
DR 31,-0.0709,-0.143,0.143,0.1813,0.0914,False
DR 37,0.063,0.0721,0.0721,0.1989,0.0551,False
DR 43,0.0161,-0.0181,0.0181,0.2014,0.1318,True
DR 8,-0.0558,-0.0733,0.0733,0.1298,0.0801,False
DR 22,0.0797,0.1195,0.1195,0.0858,0.0401,False
DR 46,0.0338,0.0478,0.0478,0.1013,0.1453,False
DR 17,0.062,0.1118,0.1118,0.1553,0.0766,False
DR 19,-0.1283,-0.1411,0.1411,0.0978,0.1692,False
DR 52,0.0591,0.2645,0.2645,0.1541,0.2409,True
DR 28,-0.1256,-0.0779,0.1256,0.2142,0.1101,False
DR 12,-0.0227,0.0562,0.0562,0.2762,0.1197,True
DR 30,0.0455,0.0574,0.0574,0.0698,0.1153,False
DR 16,0.0076,0.1598,0.1598,0.2305,0.2166,False
DR 13,-0.1053,-0.118,0.118,0.0316,0.0506,False
DR 18,0.0348,-0.0212,0.0348,0.2729,0.0988,False
DR 61,-0.1926,-0.1193,0.1926,0.1986,0.1098,False
DR 33,0.0239,0.0687,0.0687,0.0527,0.0653,False
DR 55,-0.0111,0.0221,0.0221,0.129,0.1468,False
DR 59,0.0536,0.1335,0.1335,0.0925,0.0841,False
DR 53,-0.0282,-0.0085,0.0282,0.2687,0.1204,False
DR 50,0.0129,0.0311,0.0311,0.1537,0.1991,False
DR 1,0.2723,0.2673,0.2723,0.1239,0.0996,False
DR 9,0.0797,0.1701,0.1701,0.1742,0.0969,False
DR 34,0.0281,0.0477,0.0477,0.0734,0.0767,False
DR 15,-0.0257,-0.1662,0.1662,0.2,0.1269,False
DR 58,-0.2156,-0.1383,0.2156,0.3531,0.1174,False
DR 35,0.0848,0.0403,0.0848,0.115,0.0666,False
DR 7,0.127,0.0291,0.127,0.3226,0.0489,True
DR 39,-0.0853,-0.0317,0.0853,0.0945,0.0426,False
