# factor_first_significant | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,BENPORATH_ES1,14/64,0.0032686442862646012,0.008171610715661503,2.695007034215486,15.42454928240058,+,DR 1,0.03873948783721009,True
DR 1+,lab,gs_ind_0,ESC_ASSOU,23/128,0.002985621727876167,0.008171610715661503,2.127721780922502,12.370462239045958,+,DR 1,0.03674611357386051,True
DR 1+,lab,gs_ind_0,FMASC,47/300,0.0005265784165854055,0.003596405442431942,1.8890259494118176,14.260465248077454,+,DR 1,0.010110305598439786,True
DR 1+,lab,gs_ind_0,LIM_STEM,29/160,0.0007192810884863885,0.003596405442431942,2.183828664545666,15.804932200303254,+,DR 1,0.012385826815191622,True
DR 1+,hallmark,gs_ind_0,Coagulation,12/52,0.004011479179753746,0.057497868243137025,2.8825686871663883,15.90772981557226,+,DR 1,0.04653800619412201,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,28/114,2.6301966850553997e-06,0.00011309845745738219,3.2747423975873335,42.07537027649923,+,DR 1,0.00013648588203530722,True
DR 1+,hallmark,gs_ind_0,Myogenesis,15/47,2.4747288817396626e-05,0.0005320667095740274,4.546838067592785,48.227377542811446,+,DR 1,0.0009408870203841885,True
DR 1-,hallmark,gs_ind_0,Androgen Response,10/25,6.840173852509236e-05,0.00046904049274349043,6.349250698501397,60.890027325039796,-,DR 1,0.0021529727535766776,True
DR 1-,hallmark,gs_ind_0,Apoptosis,17/59,3.1696002737503654e-05,0.00025356802190002923,3.94598493348293,40.87772056868248,-,DR 1,0.0010965103649730992,True
DR 1-,hallmark,gs_ind_0,Estrogen Response Early,30/49,4.500282524747776e-19,2.1601356118789325e-17,16.342807729904504,690.4015299451424,-,DR 1,9.87490565430369e-17,True
DR 1-,hallmark,gs_ind_0,Estrogen Response Late,25/64,2.954205870354879e-10,4.726729392567807e-09,6.479606188466948,142.17954318691525,-,DR 1,3.336514865341981e-08,True
DR 1-,hallmark,gs_ind_0,Hypoxia,15/61,0.0006459320302324772,0.0038755921813948633,3.152740341419587,23.15629857389903,-,DR 1,0.011644971812641843,True
DR 1-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,36/93,2.764305130669727e-14,6.634332313607345e-13,6.727923880005286,210.0417602857842,-,DR 1,4.422888209071563e-12,True
DR 1-,hallmark,gs_ind_0,UV Response Up,14/32,5.968869982019467e-07,7.162643978423361e-06,7.491123831606405,107.35932603676179,-,DR 1,3.4430377785067424e-05,True
DR 1-,hallmark,gs_ind_0,p53 Pathway,14/41,1.9595327397435125e-05,0.0001881151430153772,5.014038508408482,54.35327760264868,-,DR 1,0.000783813095897405,True
