# quadrant_per_patient | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
cohort,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC,CytoTRACE2,n_cells_in_cohort,consensus,pct_consensus
Patient02,12,14,17,13,13,19,209,14,6.698564593301436
Patient03,14,12,14,13,11,13,234,12,5.128205128205129
Patient05,34,30,43,14,18,12,376,19,5.053191489361702
Patient07,9,10,7,13,21,13,257,10,3.8910505836575875
Patient09,29,24,25,34,32,27,471,25,5.307855626326964
Patient10,153,148,160,100,89,175,1649,148,8.97513644633111
Patient11,74,55,67,69,74,56,1193,54,4.526404023470243
Patient12,11,12,13,16,17,19,241,14,5.809128630705394
Patient15,32,37,52,23,32,25,549,31,5.646630236794171
Patient16,445,428,452,523,503,604,8028,459,5.7174887892376685
Patient17,137,132,136,201,242,129,3038,116,3.8183015141540486
Patient18,63,76,56,120,116,73,1148,70,6.097560975609756
Patient19,77,76,86,82,80,65,1399,73,5.218012866333095
Patient20,11,13,13,23,18,16,218,12,5.504587155963303
Patient26,545,597,654,418,544,646,5815,634,10.902837489251935
Patient39,82,58,70,127,115,103,1633,73,4.470300061236987
Patient42,36,31,49,25,30,28,619,26,4.20032310177706
Patient43,298,258,270,345,459,330,5394,273,5.061179087875417
Patient45,134,135,152,167,197,176,2434,140,5.751848808545604
Patient46,162,154,168,199,205,108,2950,137,4.6440677966101696
Patient47,286,274,312,236,290,309,3922,278,7.088220295767465
Patient48,57,50,62,90,68,65,1192,50,4.194630872483222
Patient52,423,374,287,608,756,257,9243,271,2.9319485015687548
Patient53,237,248,339,290,238,271,5488,228,4.154518950437318
Patient56,454,492,559,297,385,582,6745,479,7.101556708673091
Patient57,75,56,50,89,128,64,1509,49,3.2471835652750167
Patient63,491,469,503,296,486,408,7771,409,5.2631578947368425
Patient64,24,21,31,64,19,44,502,29,5.776892430278885
Patient66,14,11,7,21,20,14,214,12,5.607476635514018
