# embedding_comparison | collection scie (stemness x immunogenicity (SCIE)) | run epi_embeddings | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
embedding,readout,space,axis,n_dimensions,max_abs_rho,rho_at_best,best_dimension,n_dims_abs_rho_ge_0.2,pct_dims_abs_rho_ge_0.2,effective_n_dims,share_of_rho2_top_dimension,effective_rank_of_space,mean_abs_dim_correlation
drvi,HALLMARK_IFNA,DRVI,immune,64,0.4971,-0.4971,DR 36,4,6.25,7.597302149906289,0.26691417586301963,30.704229730821595,0.09407336155187777
drvi,HALLMARK_IFNG,DRVI,immune,64,0.4206,-0.4206,DR 36,4,6.25,8.788956269712765,0.19963638409707543,30.704229730821595,0.09407336155187777
drvi,ISDS,DRVI,immune,64,0.5122,-0.5122,DR 36,3,4.6875,7.218561132428829,0.2987419044258305,30.704229730821595,0.09407336155187777
drvi,KEGG_APM,DRVI,immune,64,0.5301,-0.5301,DR 27,5,7.8125,8.667627626990877,0.3050917033388642,30.704229730821595,0.09407336155187777
drvi,IMMUNOGENIC_CONSENSUS,DRVI,immune,64,0.6281,-0.6281,DR 27,5,7.8125,5.457930803773978,0.4055614348823189,30.704229730821595,0.09407336155187777
drvi,BENPORATH_ES1,DRVI,stemness,64,0.2958,-0.2958,DR 56,11,17.1875,24.350192002911047,0.08387484875518984,30.704229730821595,0.09407336155187777
drvi,ESC_ASSOU,DRVI,stemness,64,0.3514,-0.3514,DR 56,15,23.4375,23.061109194410033,0.0765105919357914,30.704229730821595,0.09407336155187777
drvi,ESC_WONG,DRVI,stemness,64,0.3531,-0.3531,DR 58,13,20.3125,22.1288965020293,0.09039918958337641,30.704229730821595,0.09407336155187777
drvi,LIM_STEM,DRVI,stemness,64,0.3106,-0.3106,DR 5,6,9.375,16.777176605913887,0.1393755613279509,30.704229730821595,0.09407336155187777
drvi,FMASC,DRVI,stemness,64,0.3226,-0.3226,DR 7,4,6.25,17.539852831908206,0.1652934429553178,30.704229730821595,0.09407336155187777
drvi,CytoTRACE2,DRVI,stemness,64,0.2883,0.2883,DR 62,9,14.0625,24.1058546254172,0.08135861799033602,30.704229730821595,0.09407336155187777
harmony,HALLMARK_IFNA,Harmony,immune,50,0.4425,0.4425,HD 1,5,10.0,10.492772546945634,0.24310655679544635,43.57847646279131,0.036820349382287496
harmony,HALLMARK_IFNG,Harmony,immune,50,0.4058,0.4058,HD 1,6,12.0,11.535055489769078,0.21030263997092427,43.57847646279131,0.036820349382287496
harmony,ISDS,Harmony,immune,50,0.3972,0.3972,HD 1,4,8.0,11.540410049674465,0.2174933613781424,43.57847646279131,0.036820349382287496
harmony,KEGG_APM,Harmony,immune,50,0.3741,0.3741,HD 18,4,8.0,10.180071193934692,0.17872154951695465,43.57847646279131,0.036820349382287496
harmony,IMMUNOGENIC_CONSENSUS,Harmony,immune,50,0.4097,0.4097,HD 1,6,12.0,9.295370033146702,0.2019529778778025,43.57847646279131,0.036820349382287496
harmony,BENPORATH_ES1,Harmony,stemness,50,0.3225,-0.3225,HD 9,3,6.0,9.741609262829504,0.236515310057714,43.57847646279131,0.036820349382287496
harmony,ESC_ASSOU,Harmony,stemness,50,0.4401,-0.4401,HD 9,3,6.0,7.511989497340542,0.31781428490862507,43.57847646279131,0.036820349382287496
harmony,ESC_WONG,Harmony,stemness,50,0.449,-0.449,HD 9,1,2.0,5.734405194845262,0.3911037757099261,43.57847646279131,0.036820349382287496
harmony,LIM_STEM,Harmony,stemness,50,0.2936,0.2936,HD 11,3,6.0,9.710892867553078,0.2073967641171986,43.57847646279131,0.036820349382287496
harmony,FMASC,Harmony,stemness,50,0.2508,-0.2508,HD 12,3,6.0,12.068755114091072,0.15586895276433257,43.57847646279131,0.036820349382287496
harmony,CytoTRACE2,Harmony,stemness,50,0.2558,-0.2558,HD 9,3,6.0,10.086523119518684,0.18165279467674492,43.57847646279131,0.036820349382287496
