# dim_target_effect_size | collection scie (stemness x immunogenicity (SCIE)) | Harmony run harmony_epi_50 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,auroc_target_vs_rest,standardised_mean_difference,abs_auroc_from_half
HD 12,0.31517188801364227,-0.6450513,0.18482811198635773
HD 6,0.3341749974569022,-0.5827596,0.1658250025430978
HD 9,0.3637522491486285,-0.46485496,0.13624775085137147
HD 8,0.36812847942795196,-0.43791643,0.13187152057204804
HD 3,0.6231081463144027,0.4571461,0.1231081463144027
HD 5,0.6189798594892142,0.42629072,0.11897985948921419
HD 26,0.3893387369184903,-0.37999448,0.1106612630815097
HD 15,0.5973759023192365,0.31467614,0.09737590231923654
HD 21,0.4079612963168119,-0.2992688,0.09203870368318812
HD 20,0.4139161931562733,-0.28095207,0.08608380684372668
HD 2,0.41735156477046986,-0.2863642,0.08264843522953014
HD 39,0.5821290941643559,0.27389547,0.08212909416435588
HD 17,0.5791772611914492,0.2609393,0.07917726119144919
HD 10,0.43040991716159266,-0.22002289,0.06959008283840734
HD 29,0.5679423785521516,0.23264515,0.06794237855215157
HD 14,0.4323289933190316,-0.21120949,0.06767100668096843
HD 1,0.43463423081004493,-0.23320307,0.06536576918995507
HD 36,0.4392569974313683,-0.21313705,0.06074300256863169
HD 25,0.557826117456386,0.19849457,0.057826117456385995
HD 42,0.5571282052813242,0.1873717,0.05712820528132423
HD 11,0.5549614465002926,0.16886155,0.054961446500292555
HD 19,0.44716219802172386,-0.19019985,0.052837801978276144
HD 45,0.4482478502415359,-0.18934642,0.051752149758464094
HD 34,0.4506795956934406,-0.16250606,0.04932040430655937
HD 41,0.4540878821150282,-0.15806995,0.04591211788497179
HD 22,0.4584318895264594,-0.12430408,0.04156811047354059
HD 16,0.46171782583191556,-0.12405279,0.03828217416808444
HD 40,0.4617990007581932,-0.121555686,0.03820099924180681
HD 32,0.5359986902874806,0.124640316,0.035998690287480595
HD 23,0.4662566273265569,-0.11242074,0.03374337267344307
HD 27,0.5323521437456337,0.11878607,0.032352143745633666
HD 24,0.5281122489042716,0.10902797,0.028112248904271553
HD 33,0.47507003300055484,-0.06575707,0.024929966999445163
HD 47,0.5239821002294897,0.07820116,0.023982100229489656
HD 18,0.5231484240412727,0.08504493,0.023148424041272708
HD 7,0.5222035482425993,0.061678987,0.02220354824259929
HD 4,0.48324379810178514,-0.022841804,0.016756201898214862
HD 31,0.5163705776696383,0.05139684,0.016370577669638342
HD 46,0.4845138712427875,-0.053023964,0.015486128757212503
HD 49,0.48489613213016325,-0.04849844,0.015103867869836751
HD 50,0.5141663879898243,0.04890284,0.01416638798982428
HD 35,0.4875426063258545,-0.038554862,0.0124573936741455
HD 13,0.5116214266387331,0.016912427,0.011621426638733112
HD 48,0.508102524043428,0.029084008,0.008102524043428039
HD 43,0.5071785798957584,0.022247292,0.00717857989575843
HD 37,0.505144326462096,-0.0069231787,0.0051443264620959495
HD 38,0.5049483895292737,0.020636704,0.004948389529273678
HD 30,0.49614936728688047,-0.022733806,0.0038506327131195284
HD 28,0.5022431804138776,0.028012471,0.00224318041387761
HD 44,0.5004554272864165,-0.012177592,0.00045542728641645436
