# shared_genes | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,EMP,LIM_STEM,FMASC
HALLMARK_IFNA,96,72,27,7,7,1,5,0,0,1,4
HALLMARK_IFNG,72,197,25,14,13,5,10,1,0,8,15
ISDS,27,25,27,2,2,1,2,0,0,0,0
KEGG_APM,7,14,2,67,25,3,5,1,0,0,1
IMMUNOGENIC_CONSENSUS,7,13,2,25,25,0,1,0,0,0,0
BENPORATH_ES1,1,5,1,3,0,369,298,61,0,11,94
ESC_ASSOU,5,10,2,5,1,298,802,131,3,33,183
ESC_WONG,0,1,0,1,0,61,131,297,3,9,69
EMP,0,0,0,0,0,0,3,3,13,3,7
LIM_STEM,1,8,0,0,0,11,33,9,3,465,72
FMASC,4,15,0,1,0,94,183,69,7,72,1698
