cohort,n_stromal,null_source,cut_score,cut_corr,Q,n_epi,n_malignant,frac_malignant
Patient01,1000,own,0.0019810304040656598,0.19064452345675728,0.95,542,354,0.6531365313653137
Patient02,492,own,0.0021892850983272595,0.21993105798407003,0.95,209,26,0.12440191387559808
Patient03,375,own,0.0021612604866325805,0.1654632107669283,0.95,234,89,0.3803418803418803
Patient04,387,own,0.0027873541760737096,0.405628827843762,0.95,192,8,0.041666666666666664
Patient05,991,own,0.00220413889116885,0.216478793920929,0.95,376,89,0.23670212765957446
Patient07,421,own,0.0023118420577127,0.312344919659829,0.95,257,21,0.08171206225680934
Patient09,446,own,0.0017652033196737002,0.17926206241523227,0.95,471,447,0.9490445859872612
Patient10,963,own,0.0030463333902836297,0.7671403794081492,0.95,1649,102,0.061855670103092786
Patient11,208,own,0.002202390525288788,0.25100159540674316,0.95,1193,1071,0.8977367979882649
Patient12,1000,own,0.00157960025796048,0.2874252240225452,0.95,241,28,0.11618257261410789
Patient15,528,own,0.0019538069387657446,0.3664239331910107,0.95,549,23,0.04189435336976321
Patient16,1000,own,0.0029652264435180197,0.3348915187816714,0.95,8028,7658,0.9539113104135526
Patient17,1000,own,0.0019387884344596396,0.22586816627644365,0.95,3038,2219,0.7304147465437788
Patient18,1000,own,0.0017067744932156644,0.25521730548989424,0.95,1148,480,0.4181184668989547
Patient19,1000,own,0.0017691414982799994,0.19780590995028152,0.95,1399,842,0.6018584703359543
Patient20,261,own,0.0024534883917151,0.182928132929793,0.95,218,201,0.9220183486238532
Patient23,681,own,0.001924905095043,0.383088767745557,0.95,176,7,0.03977272727272727
Patient26,1000,own,0.00149354639961103,0.3227980774416309,0.95,5815,4009,0.6894239036973345
Patient30,227,own,0.0021162609148372797,0.14300201145399458,0.95,87,85,0.9770114942528736
Patient39,1000,own,0.0019862988088975497,0.2530641234242804,0.95,1633,69,0.04225352112676056
Patient42,1000,own,0.0017538911917792594,0.325363834851131,0.95,619,139,0.2245557350565428
Patient43,1000,own,0.0022738753579447644,0.41021664094062754,0.95,5394,2071,0.3839451242120875
Patient45,1000,own,0.002167677634403329,0.19154810259906518,0.95,2434,1909,0.7843056696795399
Patient46,1000,own,0.0018721345708855599,0.2917156766059911,0.95,2950,1540,0.5220338983050847
Patient47,1000,own,0.00251066623451389,0.39849613219878205,0.95,3922,2036,0.5191228964813871
Patient48,1000,own,0.0016418518341396893,0.20043236768966607,0.95,1192,480,0.40268456375838924
Patient52,1000,own,0.001682658117914025,0.4104872236223503,0.95,9243,385,0.041653142918965706
Patient53,1000,own,0.0017037699123683145,0.40366995481789897,0.95,5488,2988,0.5444606413994169
Patient56,1000,own,0.0014946099407215799,0.36386133824036615,0.95,6745,5504,0.8160118606375093
Patient57,1000,own,0.0023102356809869243,0.47814315735885754,0.95,1509,66,0.0437375745526839
Patient63,1000,own,0.0019725310833580397,0.5521639567704382,0.95,7771,1673,0.21528760777248745
Patient64,341,own,0.0021142400227864,0.34715904774935,0.95,502,325,0.647410358565737
Patient66,253,own,0.00217105432980046,0.3949648014584381,0.95,214,70,0.32710280373831774
