cohort,n_epi,frac_cell_rule,n_clustered,frac_malig_cluster,stromal_rate,ref_rate,pass
Patient01,542,0.6531365313653137,0,,0.009,0.0015,True
Patient02,209,0.12440191387559808,209,0.49760765550239233,0.0020325203252032522,0.0005,True
Patient03,234,0.3717948717948718,234,0.4658119658119658,0.0026666666666666666,0.0005,True
Patient04,192,0.041666666666666664,0,,0.00516795865633075,0.0,False
Patient05,376,0.23670212765957446,376,0.22074468085106383,0.0,0.0,True
Patient07,257,0.08171206225680934,257,0.20622568093385213,0.0,0.0,True
Patient09,471,0.9490445859872612,471,0.9532908704883227,0.002242152466367713,0.0035,True
Patient10,1649,0.061855670103092786,1649,0.24014554275318375,0.01142263759086189,0.0,True
Patient11,1193,0.892707460184409,1193,0.9597652975691534,0.009615384615384616,0.0005,True
Patient12,241,0.11618257261410789,241,0.35269709543568467,0.007,0.0005,True
Patient15,549,0.04189435336976321,549,0.34790528233151186,0.020833333333333332,0.0,True
Patient16,8028,0.9539113104135526,8028,0.9605132037867464,0.006,0.0,True
Patient17,3038,0.728439763001975,3038,0.7992100065832785,0.006,0.0,True
Patient18,1148,0.4146341463414634,1148,0.695993031358885,0.003,0.001,True
Patient19,1399,0.5982844889206577,1399,0.6654753395282345,0.003,0.001,True
Patient20,218,0.9220183486238532,218,0.9403669724770642,0.0038314176245210726,0.001,True
Patient23,176,0.03977272727272727,0,,0.0,0.0,False
Patient26,5815,0.6889079965606191,5815,0.8385210662080825,0.012,0.0625,True
Patient30,87,0.9770114942528736,0,,0.004405286343612335,0.002,True
Patient39,1633,0.04225352112676056,1633,0.08879363135333741,0.003,0.0,False
Patient42,619,0.22294022617124395,619,0.505654281098546,0.004,0.0,True
Patient43,5394,0.38116425658138675,5394,0.6147571375602522,0.022,0.0005,True
Patient45,2434,0.7822514379622021,2434,0.8923582580115037,0.008,0.0,True
Patient46,2950,0.5203389830508475,2950,0.9054237288135594,0.01,0.0,True
Patient47,3922,0.5191228964813871,3922,0.7348291687914329,0.006,0.001,True
Patient48,1192,0.401006711409396,1192,0.42953020134228187,0.004,0.004723346828609987,True
Patient52,9243,0.040787623066104076,9243,0.03018500486854917,0.008,0.0,False
Patient53,5488,0.5384475218658892,5488,0.8642492711370262,0.012,0.002,True
Patient56,6745,0.8148257968865826,6745,0.9558191252779837,0.014,0.0005,True
Patient57,1509,0.04108681245858184,1509,0.07488402915838303,0.009,0.001,False
Patient63,7771,0.214901557071162,7771,0.413460301119547,0.011,0.0,True
Patient64,502,0.647410358565737,502,0.9302788844621513,0.002932551319648094,0.0007861635220125787,True
Patient66,214,0.32710280373831774,214,0.8411214953271028,0.0,0.0,True
