epi_cluster,n,median_nullpos,n_cohorts,frac_cell_rule,z,call
3,5708,0.179,28,0.004905395935529082,-2.064093417481688,normal
1,211,0.292,2,0.0,-1.6748227962960287,normal
7,1452,0.29595015576323985,28,0.01997245179063361,-1.6612150123337588,normal
2,18530,0.398,28,0.02854830005396654,-1.309666284387357,normal
19,635,0.494,8,0.02204724409448819,-0.9789585000172393,normal
10,25,0.559,1,0.0,-0.7550417710166385,normal
15,845,0.7227414330218068,2,0.11834319526627218,-0.19097336972257853,normal
13,17,0.877,1,0.17647058823529413,0.34042776470937647,borderline
18,2722,0.946,2,0.4742836149889787,0.5781239847253984,malignant
4,2988,0.957,5,0.5381526104417671,0.6160175850178078,malignant
16,2018,0.96,7,0.5673934588701685,0.626352203279374,malignant
11,261,0.9618768328445748,2,0.6551724137931034,0.6328176536091908,malignant
6,1586,0.973,1,0.6443883984867591,0.6711355490794941,malignant
5,1626,0.98,13,0.7164821648216482,0.6952496583564819,malignant
9,4549,0.988,13,0.7159815344031655,0.7228086403873251,malignant
0,16478,0.99,29,0.7514261439495085,0.7296983858950359,malignant
12,4839,0.995,7,0.8214507129572226,0.7469227496643128,malignant
14,19,0.995,1,0.8947368421052632,0.7469227496643128,malignant
17,2322,1.0,4,0.921619293712317,0.7641471134335899,malignant
8,7610,1.0,8,0.99526938239159,0.7641471134335899,malignant
