sub_id,cohort,subcluster,n,median_nullpos,frac_cell_rule,too_small,call
Patient01|epi_s2,Patient01,epi_s2,173,0.2880820836621942,0.023121387283236993,False,normal
Patient01|epi_s1,Patient01,epi_s1,335,0.9992107340173638,0.9253731343283582,False,malignant
Patient01|epi_s3,Patient01,epi_s3,34,1.0,0.9705882352941176,False,malignant
Patient02|epi_s1,Patient02,epi_s1,209,0.5487804878048781,0.11961722488038277,False,normal
Patient03|epi_s2,Patient03,epi_s2,145,0.7386666666666667,0.041379310344827586,False,normal
Patient03|epi_s1,Patient03,epi_s1,89,0.9973333333333333,0.9550561797752809,False,malignant
Patient04|epi_s1,Patient04,epi_s1,192,0.417312661498708,0.041666666666666664,False,normal
Patient05|epi_s2,Patient05,epi_s2,282,0.2961654894046418,0.010638297872340425,False,normal
Patient05|epi_s1,Patient05,epi_s1,94,0.9959636730575177,0.9148936170212766,False,malignant
Patient07|epi_s1,Patient07,epi_s1,238,0.4691211401425178,0.09663865546218488,False,normal
Patient07|epi_s2,Patient07,epi_s2,19,0.6365795724465558,0.0,True,undecided
Patient09|epi_s1,Patient09,epi_s1,471,0.9932735426008968,0.9511677282377919,False,malignant
Patient10|epi_s1,Patient10,epi_s1,395,0.2751817237798546,0.0,False,normal
Patient10|epi_s5,Patient10,epi_s5,259,0.5659397715472482,0.0,False,normal
Patient10|epi_s8,Patient10,epi_s8,262,0.608515057113188,0.0,False,normal
Patient10|epi_s2,Patient10,epi_s2,73,0.656282450674974,0.0,False,normal
Patient10|epi_s4,Patient10,epi_s4,235,0.6593977154724818,0.0,False,normal
Patient10|epi_s3,Patient10,epi_s3,226,0.8369678089304258,0.11504424778761062,False,borderline
Patient10|epi_s7,Patient10,epi_s7,143,0.9293873312564901,0.4125874125874126,False,malignant
Patient10|epi_s6,Patient10,epi_s6,56,0.9314641744548287,0.4107142857142857,False,malignant
Patient11|epi_s8,Patient11,epi_s8,2,0.6129807692307693,0.5,True,undecided
Patient11|epi_s6,Patient11,epi_s6,76,0.7836538461538461,0.23684210526315788,False,borderline
Patient11|epi_s2,Patient11,epi_s2,35,0.9903846153846154,1.0,False,malignant
Patient11|epi_s3,Patient11,epi_s3,308,0.9903846153846154,0.8831168831168831,False,malignant
Patient11|epi_s5,Patient11,epi_s5,1,0.9903846153846154,1.0,True,undecided
Patient11|epi_s7,Patient11,epi_s7,1,0.9903846153846154,1.0,True,undecided
Patient11|epi_s1,Patient11,epi_s1,491,0.9951923076923077,0.9714867617107943,False,malignant
Patient11|epi_s4,Patient11,epi_s4,279,1.0,0.989247311827957,False,malignant
Patient12|epi_s1,Patient12,epi_s1,241,0.664,0.11618257261410789,False,normal
Patient15|epi_s2,Patient15,epi_s2,316,0.23863636363636365,0.00949367088607595,False,normal
