cohort,malignant,borderline,non_malignant,not_tested,old_malignant,keep_200
Patient01,354,0,188,0,354,True
Patient02,104,1,104,0,26,False
Patient03,109,4,121,0,89,False
Patient04,0,0,0,192,8,False
Patient05,83,51,242,0,89,False
Patient07,53,0,204,0,21,False
Patient09,449,8,14,0,447,True
Patient10,396,100,1153,0,102,True
Patient11,1145,0,48,0,1071,True
Patient12,85,11,145,0,28,False
Patient15,191,9,349,0,23,False
Patient16,7711,1,316,0,7658,True
Patient17,2428,5,605,0,2219,True
Patient18,799,3,346,0,480,True
Patient19,931,25,443,0,842,True
Patient20,205,1,12,0,201,True
Patient23,0,0,0,176,7,False
Patient26,4876,23,916,0,4009,True
Patient30,85,0,2,0,85,False
Patient39,0,0,0,1633,69,False
Patient42,313,2,304,0,139,True
Patient43,3316,11,2067,0,2071,True
Patient45,2172,5,257,0,1909,True
Patient46,2671,1,278,0,1540,True
Patient47,2882,2,1038,0,2036,True
Patient48,512,8,672,0,480,True
Patient52,0,0,0,9243,385,False
Patient53,4743,1,744,0,2988,True
Patient56,6447,16,282,0,5504,True
Patient57,0,0,0,1509,66,False
Patient63,3213,13,4545,0,1673,True
Patient64,467,1,34,0,325,True
Patient66,180,0,34,0,70,False
