cohort,n_epi,n_fibro,frac_fibro,n_endo,frac_endo,n_pvl,frac_pvl,frac_pooled,spread,unstable_null
Patient01,542,214,0.6586715867158671,558,0.6568265682656826,228,0.6309963099630996,0.6531365313653137,0.027675276752767486,False
Patient02,209,332,0.19617224880382775,115,0.09090909090909091,45,0.1339712918660287,0.12440191387559808,0.10526315789473684,False
Patient03,234,131,0.47435897435897434,180,0.3717948717948718,64,0.33760683760683763,0.3717948717948718,0.1367521367521367,False
Patient04,192,54,0.041666666666666664,245,0.052083333333333336,88,0.036458333333333336,0.041666666666666664,0.015625,False
Patient05,376,230,0.26063829787234044,536,0.22872340425531915,225,0.2393617021276596,0.23670212765957446,0.031914893617021295,False
Patient07,257,137,0.08949416342412451,237,0.07392996108949416,47,0.08560311284046693,0.08171206225680934,0.01556420233463035,False
Patient09,471,336,0.9575371549893843,63,0.9044585987261147,47,0.940552016985138,0.9490445859872612,0.05307855626326963,False
Patient10,1649,537,0.036385688295936934,273,0.4881746513038205,153,0.2862340812613705,0.061855670103092786,0.45178896300788357,True
Patient11,1193,57,0.8843252305113161,85,0.9304274937133278,66,0.9321039396479464,0.892707460184409,0.04777870913663029,False
Patient12,241,660,0.11618257261410789,252,0.15352697095435686,88,0.07883817427385892,0.11618257261410789,0.07468879668049794,False
Patient15,549,154,0.04007285974499089,305,0.051001821493624776,69,0.03825136612021858,0.04189435336976321,0.012750455373406196,False
Patient16,8028,789,0.9545341305430991,117,0.9501743896362731,94,0.9539113104135526,0.9539113104135526,0.004359740906826004,False
Patient17,3038,692,0.7452271231073074,174,0.7225148123765636,134,0.7129690585911784,0.728439763001975,0.032258064516129004,False
Patient18,1148,398,0.49825783972125437,412,0.36846689895470386,190,0.3667247386759582,0.4146341463414634,0.1315331010452962,False
Patient19,1399,710,0.6554681915654038,139,0.5325232308791994,151,0.5604002859185132,0.5982844889206577,0.12294496068620442,False
Patient20,218,151,0.926605504587156,53,0.8807339449541285,57,0.9357798165137615,0.9220183486238532,0.05504587155963303,False
Patient23,176,253,0.10227272727272728,331,0.022727272727272728,97,0.022727272727272728,0.03977272727272727,0.07954545454545456,False
Patient26,5815,145,0.7141874462596732,530,0.695786758383491,325,0.6627687016337059,0.6889079965606191,0.051418744625967294,False
Patient30,87,184,0.9885057471264368,18,,25,,0.9770114942528736,0.0,False
Patient39,1633,330,0.04409063074096754,538,0.043478260869565216,132,0.04102878138395591,0.04225352112676056,0.003061849357011634,False
Patient42,619,432,0.22778675282714056,439,0.2455573505654281,129,0.1147011308562197,0.22294022617124395,0.1308562197092084,False
Patient43,5394,688,0.360771227289581,250,0.4868372265480163,62,0.44271412680756395,0.38116425658138675,0.1260659992584353,False
Patient45,2434,751,0.8245686113393591,185,0.6733771569433032,64,0.6902218570254725,0.7822514379622021,0.15119145439605586,True
Patient46,2950,721,0.6013559322033898,113,0.3511864406779661,166,0.3566101694915254,0.5203389830508475,0.25016949152542367,True
Patient47,3922,540,0.5321264660887303,219,0.5471698113207547,241,0.4676185619581846,0.5191228964813871,0.07955124936257013,False
Patient48,1192,295,0.401006711409396,435,0.4077181208053691,270,0.3959731543624161,0.401006711409396,0.011744966442953031,False
Patient52,9243,369,0.022287136211186845,459,0.07573298712539218,172,0.04295142269825814,0.040787623066104076,0.05344585091420534,False
Patient53,5488,776,0.5581268221574344,128,0.48487609329446063,96,0.5475583090379009,0.5384475218658892,0.07325072886297374,False
Patient56,6745,600,0.829058561897702,216,0.7951074870274277,184,0.8075611564121572,0.8148257968865826,0.03395107487027427,False
Patient57,1509,434,0.03512259774685222,411,0.0682571239231279,155,0.030483764082173626,0.04108681245858184,0.03777335984095427,False
Patient63,7771,319,0.12765409857161242,641,0.31797709432505467,40,0.19752927551151717,0.214901557071162,0.19032299575344225,True
Patient64,502,39,0.5338645418326693,204,0.647410358565737,98,0.7330677290836654,0.647410358565737,0.19920318725099606,True
Patient66,214,113,0.32710280373831774,115,0.3411214953271028,25,,0.32710280373831774,0.014018691588785048,False
