subcluster,n,median_nullpos,positive,cohort,resolution
epi_s1,131,0.999,True,Patient16,0.005
epi_s10,2,0.9982500000000001,True,Patient16,0.005
epi_s100,1,0.999,True,Patient16,0.005
epi_s101,1,0.9975,True,Patient16,0.005
epi_s102,1,0.984,True,Patient16,0.005
epi_s103,1,0.9995,True,Patient16,0.005
epi_s104,1,1.0,True,Patient16,0.005
epi_s105,2,0.9955,True,Patient16,0.005
epi_s106,1,0.994,True,Patient16,0.005
epi_s107,2,1.0,True,Patient16,0.005
epi_s108,1,0.9995,True,Patient16,0.005
epi_s109,1,1.0,True,Patient16,0.005
epi_s11,36,1.0,True,Patient16,0.005
epi_s110,1,0.9985,True,Patient16,0.005
epi_s111,1,0.999,True,Patient16,0.005
epi_s112,1,1.0,True,Patient16,0.005
epi_s113,1,0.994,True,Patient16,0.005
epi_s12,227,1.0,True,Patient16,0.005
epi_s13,11,1.0,True,Patient16,0.005
epi_s14,174,1.0,True,Patient16,0.005
epi_s15,67,1.0,True,Patient16,0.005
epi_s16,131,0.994,True,Patient16,0.005
epi_s17,2,1.0,True,Patient16,0.005
epi_s18,13,0.9935,True,Patient16,0.005
epi_s19,58,0.9985,True,Patient16,0.005
epi_s2,79,0.9995,True,Patient16,0.005
epi_s20,65,0.999,True,Patient16,0.005
epi_s21,3,0.9965,True,Patient16,0.005
epi_s22,79,0.9985,True,Patient16,0.005
epi_s23,2,0.85275,False,Patient16,0.005
epi_s24,79,0.9975,True,Patient16,0.005
epi_s25,15,1.0,True,Patient16,0.005
epi_s26,127,1.0,True,Patient16,0.005
epi_s27,134,0.998,True,Patient16,0.005
epi_s28,68,1.0,True,Patient16,0.005
epi_s29,6,1.0,True,Patient16,0.005
epi_s3,382,1.0,True,Patient16,0.005
epi_s30,74,1.0,True,Patient16,0.005
epi_s31,133,1.0,True,Patient16,0.005
epi_s32,153,1.0,True,Patient16,0.005
epi_s33,117,1.0,True,Patient16,0.005
epi_s34,39,1.0,True,Patient16,0.005
epi_s35,76,1.0,True,Patient16,0.005
epi_s36,264,0.9985,True,Patient16,0.005
epi_s37,75,1.0,True,Patient16,0.005
epi_s38,99,1.0,True,Patient16,0.005
epi_s39,93,1.0,True,Patient16,0.005
epi_s4,84,0.9985,True,Patient16,0.005
epi_s40,34,1.0,True,Patient16,0.005
epi_s41,105,0.996,True,Patient16,0.005
epi_s42,108,1.0,True,Patient16,0.005
epi_s43,88,1.0,True,Patient16,0.005
epi_s44,130,1.0,True,Patient16,0.005
epi_s45,52,1.0,True,Patient16,0.005
epi_s46,118,1.0,True,Patient16,0.005
epi_s47,113,0.9995,True,Patient16,0.005
epi_s48,189,1.0,True,Patient16,0.005
epi_s49,54,1.0,True,Patient16,0.005
epi_s5,345,0.293,False,Patient16,0.005
epi_s50,152,0.9995,True,Patient16,0.005
epi_s51,78,1.0,True,Patient16,0.005
epi_s52,42,0.9985,True,Patient16,0.005
epi_s53,56,1.0,True,Patient16,0.005
epi_s54,122,1.0,True,Patient16,0.005
epi_s55,65,1.0,True,Patient16,0.005
epi_s56,72,0.9985,True,Patient16,0.005
epi_s57,55,1.0,True,Patient16,0.005
epi_s58,129,1.0,True,Patient16,0.005
epi_s59,76,1.0,True,Patient16,0.005
epi_s6,63,1.0,True,Patient16,0.005
epi_s60,92,1.0,True,Patient16,0.005
epi_s61,111,1.0,True,Patient16,0.005
epi_s62,49,1.0,True,Patient16,0.005
epi_s63,57,1.0,True,Patient16,0.005
epi_s64,136,0.9985,True,Patient16,0.005
epi_s65,96,1.0,True,Patient16,0.005
epi_s66,42,0.9990000000000001,True,Patient16,0.005
epi_s67,140,1.0,True,Patient16,0.005
epi_s68,77,1.0,True,Patient16,0.005
epi_s69,65,0.9995,True,Patient16,0.005
epi_s7,36,1.0,True,Patient16,0.005
epi_s70,74,0.9995,True,Patient16,0.005
epi_s71,39,0.9965,True,Patient16,0.005
epi_s72,60,1.0,True,Patient16,0.005
epi_s73,99,1.0,True,Patient16,0.005
epi_s74,132,1.0,True,Patient16,0.005
epi_s75,1,1.0,True,Patient16,0.005
epi_s76,88,1.0,True,Patient16,0.005
epi_s77,63,1.0,True,Patient16,0.005
epi_s78,75,0.9985,True,Patient16,0.005
epi_s79,22,1.0,True,Patient16,0.005
epi_s8,146,1.0,True,Patient16,0.005
epi_s80,95,0.9995,True,Patient16,0.005
epi_s81,48,1.0,True,Patient16,0.005
epi_s82,119,0.9995,True,Patient16,0.005
epi_s83,42,1.0,True,Patient16,0.005
epi_s84,55,0.999,True,Patient16,0.005
epi_s85,10,0.99925,True,Patient16,0.005
epi_s86,33,1.0,True,Patient16,0.005
epi_s87,55,1.0,True,Patient16,0.005
epi_s88,42,1.0,True,Patient16,0.005
epi_s89,2,1.0,True,Patient16,0.005
epi_s9,79,0.999,True,Patient16,0.005
epi_s90,36,1.0,True,Patient16,0.005
epi_s91,83,0.999,True,Patient16,0.005
epi_s92,90,0.9985,True,Patient16,0.005
epi_s93,31,1.0,True,Patient16,0.005
epi_s94,26,0.9985,True,Patient16,0.005
epi_s95,46,1.0,True,Patient16,0.005
epi_s96,53,1.0,True,Patient16,0.005
epi_s97,21,1.0,True,Patient16,0.005
epi_s98,1,0.997,True,Patient16,0.005
epi_s99,1,1.0,True,Patient16,0.005
epi_s1,124,0.9995,True,Patient16,0.01
epi_s10,9,1.0,True,Patient16,0.01
epi_s100,19,0.999,True,Patient16,0.01
epi_s101,78,1.0,True,Patient16,0.01
epi_s102,10,1.0,True,Patient16,0.01
epi_s103,29,1.0,True,Patient16,0.01
epi_s104,35,1.0,True,Patient16,0.01
epi_s105,70,0.999,True,Patient16,0.01
epi_s106,41,0.998,True,Patient16,0.01
epi_s107,126,1.0,True,Patient16,0.01
epi_s108,30,0.99775,True,Patient16,0.01
epi_s109,1,1.0,True,Patient16,0.01
epi_s11,30,1.0,True,Patient16,0.01
epi_s110,51,1.0,True,Patient16,0.01
epi_s111,70,1.0,True,Patient16,0.01
epi_s112,10,1.0,True,Patient16,0.01
epi_s113,43,1.0,True,Patient16,0.01
epi_s114,103,0.9985,True,Patient16,0.01
epi_s115,44,1.0,True,Patient16,0.01
epi_s116,81,0.9995,True,Patient16,0.01
epi_s117,51,1.0,True,Patient16,0.01
epi_s118,73,0.9995,True,Patient16,0.01
epi_s119,27,0.9995,True,Patient16,0.01
epi_s12,14,1.0,True,Patient16,0.01
epi_s120,61,0.9975,True,Patient16,0.01
epi_s121,5,0.999,True,Patient16,0.01
epi_s122,33,1.0,True,Patient16,0.01
epi_s123,64,1.0,True,Patient16,0.01
epi_s124,11,1.0,True,Patient16,0.01
epi_s125,50,1.0,True,Patient16,0.01
epi_s126,20,0.99975,True,Patient16,0.01
epi_s127,47,0.999,True,Patient16,0.01
epi_s128,19,0.9965,True,Patient16,0.01
epi_s129,15,1.0,True,Patient16,0.01
epi_s13,33,0.9955,True,Patient16,0.01
epi_s130,71,1.0,True,Patient16,0.01
epi_s131,9,1.0,True,Patient16,0.01
epi_s132,17,1.0,True,Patient16,0.01
epi_s133,46,1.0,True,Patient16,0.01
epi_s134,20,1.0,True,Patient16,0.01
epi_s135,29,1.0,True,Patient16,0.01
epi_s136,3,0.9945,True,Patient16,0.01
epi_s137,55,1.0,True,Patient16,0.01
epi_s138,27,1.0,True,Patient16,0.01
epi_s139,24,0.998,True,Patient16,0.01
epi_s14,11,0.9985,True,Patient16,0.01
epi_s140,20,1.0,True,Patient16,0.01
epi_s141,6,1.0,True,Patient16,0.01
epi_s142,18,0.99575,True,Patient16,0.01
epi_s143,50,0.9982500000000001,True,Patient16,0.01
epi_s144,31,0.9985,True,Patient16,0.01
epi_s145,33,1.0,True,Patient16,0.01
epi_s146,32,1.0,True,Patient16,0.01
epi_s147,51,0.998,True,Patient16,0.01
epi_s148,49,1.0,True,Patient16,0.01
epi_s149,32,0.9985,True,Patient16,0.01
epi_s15,20,0.9895,True,Patient16,0.01
epi_s150,13,0.9995,True,Patient16,0.01
