cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
Patient16,2,9,0,4,6,0,22,5,0,5,0,0,0,0,2,1027,6601,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7686
Patient56,20,39,1,10,3720,0,122,2,13,1243,0,0,1,1,8,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,966,0,0,0,6151
Patient26,96,1,0,5,0,0,3,0,3,0,0,1732,0,3,2,0,0,0,0,0,0,0,1700,617,598,14,15,24,17,19,0,0,0,0,0,4849
Patient53,1,3,0,1,3,0,8,0,0,7,0,0,0,0,1834,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2037,0,3900
Patient43,2,7,0,0,0,1073,774,0,0,0,449,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,2,0,0,0,2745
Patient47,1,7,0,951,11,0,145,0,1,2,0,1,0,0,1,0,0,4,0,1561,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2690
Patient17,0,1,0,0,0,0,11,0,0,0,0,0,55,2318,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387
Patient63,0,0,0,1,1,0,3,2,2231,0,0,0,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2317
Patient46,6,804,0,14,6,0,91,1274,2,6,0,0,2,1,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2218
Patient45,0,7,0,1,1,153,55,2,0,1,130,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1752,1,0,0,0,2106
Patient11,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,887,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116
Patient19,0,4,0,0,0,0,31,1,0,1,0,0,27,6,2,0,1,7,3,0,830,6,0,0,0,0,0,0,0,0,0,0,0,0,0,919
Patient18,0,0,0,0,0,0,98,0,0,0,0,0,0,2,0,0,0,1,0,0,3,642,0,0,0,0,0,0,0,0,0,0,0,0,0,746
Patient48,0,97,0,0,1,0,12,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,475
Patient09,205,248,0,2,0,0,4,3,1,2,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471
Patient64,0,0,0,0,0,0,2,0,0,0,0,0,188,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,455
Patient01,217,107,0,0,6,1,34,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369
Patient42,0,214,41,1,1,0,4,10,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278
Patient20,1,140,0,0,1,0,8,60,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218
total,551,1688,42,990,3757,1227,1436,1362,2253,1267,580,1735,282,2334,1863,1030,6603,998,223,1562,835,650,1700,617,598,14,15,24,17,19,2188,979,360,2037,260,42096
