cohort,malignant,LummHR-major,basal,Lumsec-basal,Lumsec-major,Lumsec-myo,Lumsec-prol,LummHR-SCGB,Lumsec-HLA,total
Patient16,7686,216,47,5,39,8,11,5,0,8017
Patient63,2317,4558,234,69,36,52,33,29,0,7328
Patient56,6151,204,13,340,12,6,25,1,0,6752
Patient53,3900,914,319,68,193,7,70,11,0,5482
Patient26,4849,49,0,1,66,131,76,26,42,5240
Patient43,2745,641,91,240,641,525,151,1,3,5038
Patient47,2690,520,249,98,277,55,57,0,2,3948
Patient17,2387,257,301,2,48,19,2,5,0,3021
Patient46,2218,207,12,415,34,5,80,4,0,2975
Patient45,2106,164,119,18,14,4,4,0,0,2429
Patient10,199,17,377,569,21,9,315,0,1,1508
Patient19,919,115,315,4,16,7,4,13,0,1393
Patient11,1116,39,13,1,3,1,10,7,0,1190
Patient48,475,449,48,30,159,10,1,11,1,1184
Patient18,746,158,6,4,18,19,1,107,0,1059
Patient42,278,191,3,113,12,0,2,19,0,618
Patient01,369,98,48,8,3,2,2,3,0,533
Patient64,455,34,2,2,3,1,1,3,0,501
Patient09,471,0,0,0,0,0,0,0,0,471
Patient05,94,102,72,26,48,67,4,12,0,425
Patient12,0,137,55,4,16,4,14,4,0,234
Patient02,0,44,35,6,67,42,35,4,0,233
Patient03,89,114,2,1,10,12,2,0,0,230
Patient20,218,0,0,0,0,0,0,0,0,218
Patient66,78,19,7,5,87,7,1,0,2,206
total,42556,9247,2368,2029,1823,993,901,265,51,60233
