cohort,Lumsec-prol,Lumsec-basal,LummHR-SCGB,Lumsec-KIT,LummHR-major,Lumsec-major,basal,LummHR-active,Lumsec-myo,Lumsec-HLA,total
Patient16,3249,4419,1,7,0,3,7,0,0,0,7686
Patient56,2347,3655,0,117,15,8,6,0,1,2,6151
Patient26,4834,4,1,5,3,0,0,0,2,0,4849
Patient53,3534,273,6,5,26,29,5,21,1,0,3900
Patient43,1397,583,4,737,3,12,8,1,0,0,2745
Patient47,1776,758,5,113,8,18,11,1,0,0,2690
Patient17,14,1,2293,0,64,1,2,12,0,0,2387
Patient63,2065,4,2,4,232,1,9,0,0,0,2317
Patient46,991,1145,5,31,5,10,30,1,0,0,2218
Patient45,123,1836,0,133,5,9,0,0,0,0,2106
Patient11,897,3,202,0,11,3,0,0,0,0,1116
Patient19,11,12,885,0,7,0,4,0,0,0,919
Patient18,2,0,736,1,5,1,1,0,0,0,746
Patient48,433,30,0,7,0,3,2,0,0,0,475
Patient09,232,233,0,0,0,1,5,0,0,0,471
Patient64,6,0,421,1,24,1,0,2,0,0,455
Patient01,109,223,1,27,4,3,2,0,0,0,369
Patient42,238,29,1,5,3,1,0,1,0,0,278
Patient20,137,64,1,3,1,1,11,0,0,0,218
total,22395,13272,4564,1196,416,105,103,39,4,2,42096
