optscib_tum_leiden,malignant,LummHR-major,basal,Lumsec-basal,Lumsec-major,Lumsec-myo,Lumsec-prol,LummHR-SCGB,Lumsec-HLA
0,2126,31,8,92,16,0,350,0,1
1,7617,0,0,3,6,0,14,0,0
2,439,3,23,0,11,170,3,0,0
3,901,85,14,4,65,0,16,0,0
4,2161,735,11,34,24,0,24,0,0
5,0,21,0,0,0,1,0,0,0
6,16,19,1440,2,3,37,8,0,0
7,0,24,1,0,0,0,0,0,0
8,1,0,289,0,0,0,0,0,0
9,92,3485,40,7,21,7,3,168,0
10,23,83,34,270,1125,612,20,1,1
11,50,3695,131,20,16,1,0,14,0
12,0,27,0,0,0,0,0,0,0
13,0,2,0,0,0,41,0,0,0
14,3,17,0,0,0,0,0,0,0
15,2358,4,0,0,0,0,0,0,0
16,1845,2,1,2,3,0,15,0,0
17,1812,7,0,16,26,2,126,0,3
18,288,391,4,18,243,16,24,2,2
19,1495,7,0,3,5,0,1,50,0
20,4936,1,0,4,4,0,36,1,0
21,1359,3,0,378,6,0,28,0,0
22,2920,2,0,12,35,0,17,0,0
23,4,108,2,0,38,105,0,26,21
24,381,3,0,1,2,0,1,0,0
25,193,2,0,484,0,1,47,0,0
26,5,0,364,0,0,0,0,0,0
27,901,11,4,1,2,0,11,2,0
28,2515,2,0,23,6,0,32,0,2
29,40,0,0,0,0,0,1,0,0
30,2046,2,0,0,0,0,9,0,0
31,26,0,0,0,0,0,0,0,0
32,957,0,0,0,0,0,71,0,0
33,10,0,0,0,0,0,0,0,0
34,1627,0,0,0,0,0,0,0,0
35,1010,1,0,652,1,0,1,0,0
36,15,0,0,0,0,0,0,0,0
37,17,0,0,0,0,0,0,0,0
38,24,0,0,0,0,0,0,0,0
39,4,0,0,0,0,0,0,0,21
40,19,0,0,0,0,0,0,0,0
41,2037,474,2,3,164,0,43,1,0
42,23,0,0,0,1,0,0,0,0
43,260,0,0,0,0,0,0,0,0
