optscib_tum_leiden,Lumsec-prol,Lumsec-basal,LummHR-SCGB,Lumsec-KIT,LummHR-major,Lumsec-major,basal,LummHR-active,Lumsec-myo,Lumsec-HLA
0,169,377,0,2,0,3,0,0,0,0
1,1388,272,1,4,0,12,11,0,0,0
2,39,2,0,1,0,0,0,0,0,0
3,876,82,0,12,4,10,5,1,0,0
4,2075,1671,0,1,0,9,0,0,1,0
5,962,254,4,0,2,4,0,1,0,0
6,135,108,132,966,26,14,54,0,0,1
7,277,1064,2,2,5,1,11,0,0,0
8,1991,7,2,2,238,1,10,0,2,0
9,247,993,0,22,3,1,0,0,0,1
10,466,113,0,0,0,1,0,0,0,0
11,1730,1,0,4,0,0,0,0,0,0
12,17,1,195,0,61,0,0,8,0,0
13,7,2,2282,0,35,0,0,8,0,0
14,1734,117,4,5,1,0,2,0,0,0
15,714,314,0,0,0,2,0,0,0,0
16,2501,4102,0,0,0,0,0,0,0,0
17,962,3,21,1,3,3,5,0,0,0
18,27,2,186,0,7,0,1,0,0,0
19,867,672,4,14,2,3,0,0,0,0
20,5,5,822,0,2,0,1,0,0,0
21,2,1,646,0,1,0,0,0,0,0
22,1699,1,0,0,0,0,0,0,0,0
23,616,1,0,0,0,0,0,0,0,0
24,598,0,0,0,0,0,0,0,0,0
25,14,0,0,0,0,0,0,0,0,0
26,15,0,0,0,0,0,0,0,0,0
27,24,0,0,0,0,0,0,0,0,0
28,17,0,0,0,0,0,0,0,0,0
29,19,0,0,0,0,0,0,0,0,0
30,51,1966,0,160,0,11,0,0,0,0
31,24,955,0,0,0,0,0,0,0,0
32,332,26,0,0,0,1,1,0,0,0
33,1795,160,3,0,26,29,2,21,1,0
34,0,0,260,0,0,0,0,0,0,0
