cell_type_01_4,LummHR-major,basal,Lumsec-basal,Lumsec-major,Lumsec-myo,Lumsec-prol,LummHR-SCGB,Lumsec-HLA
LummHR-major,7021,92,36,22,4,2,24,0
Lumsec-basal,42,2,1725,741,20,362,0,4
basal,84,2210,3,4,13,7,0,0
Lumsec-prol,516,18,65,91,2,411,1,24
Lumsec-myo,97,7,0,168,751,3,0,1
LummHR-active,843,16,1,1,2,2,0,0
LummHR-SCGB,525,4,0,8,40,6,234,21
Lumsec-major,30,0,7,739,10,41,1,1
pericytes,5,1,191,18,0,1,0,0
CD8-Tem,0,0,0,0,103,0,0,0
Fibro-matrix,53,2,0,0,0,4,0,0
Lumsec-KIT,8,2,1,31,0,16,0,0
Macro-lipo,0,1,0,0,0,41,0,0
CD4-Treg,0,0,0,0,29,0,0,0
Vas-venous,11,3,0,0,0,0,0,0
NK-ILCs,0,0,0,0,10,0,0,0
vsmc,6,2,0,0,0,1,0,0
CD4-activated,2,4,0,0,2,0,0,0
NK,0,0,0,0,5,0,0,0
Macro-m2,0,0,0,0,0,0,5,0
Vas-capillary,2,1,0,0,0,0,0,0
Vas-arterial,1,1,0,0,1,0,0,0
CD4-naive,0,1,0,0,0,1,0,0
Lymph-major,1,0,0,0,0,1,0,0
GD,0,0,0,0,1,0,0,0
CD4-Th,0,1,0,0,0,0,0,0
mye-prol,0,0,0,0,0,1,0,0
mDC,0,0,0,0,0,1,0,0
