factor,term,p_value,p_adj
DR 10+,THRA,1.2107360846337559e-08,1.4092968025136919e-05
DR 10-,CREM,4.987312459513898e-22,3.0961235748662276e-18
DR 13-,TFDP1,5.095101167543723e-05,0.0231441863766669
DR 14+,NFATC4,1.0976044445264126e-11,2.5172203768544493e-08
DR 15+,RELA,2.0315573782698005e-07,0.00017198056642225802
DR 15-,GLI3,5.6770878713470726e-06,0.0034106478876118674
DR 17-,NR2F2,5.536489530594817e-12,1.4730225859685408e-08
DR 18+,RUNX2,3.461754572863708e-17,1.6117929291253425e-13
DR 18-,FOSL2,9.054012734931901e-10,1.2970917936567055e-06
DR 20-,ELK3,1.1420925722186094e-07,0.0001012872955476161
DR 24-,ZBTB16,8.996920063268622e-05,0.038967125408910425
DR 25-,KLF4,3.4748801259940746e-09,4.314411164434243e-06
DR 26+,JUND,2.59045231411667e-05,0.013401273305030239
DR 28-,NCOA1,4.501606817190437e-05,0.02149690393932172
DR 32-,POU2F2,9.416396752439888e-11,1.5942815737949133e-07
DR 33-,HES1,3.265330903177488e-07,0.0002533896780865731
DR 34+,RUNX2,3.5965007405075955e-12,1.1163538298535576e-08
DR 35+,CEBPE,2.1347882208435688e-07,0.00017286215576082882
DR 36+,HNF1A,4.0873264202967626e-07,0.00029277833558310346
DR 38-,IRF3,9.922146529350635e-05,0.041064457102805825
DR 39+,SRF,6.1743469397222875e-06,0.0035934699189183713
DR 41+,EWSR1,6.161134737307038e-08,6.039209123558225e-05
DR 42-,SNAI2,7.158866583466817e-06,0.003921374448543706
DR 45-,EZH2,5.275455011699706e-16,1.9650014827579063e-12
DR 47+,PGR,1.5844631696623225e-09,2.1077887194136496e-06
DR 47-,SATB1,1.3044156415213778e-24,1.214671845384707e-20
DR 49-,MEF2C,1.2864517693752698e-11,2.5172203768544493e-08
DR 5-,SRF,8.5286974207995e-07,0.0005882905954258144
DR 51+,MECP2,3.385349231081835e-05,0.016591774757807393
DR 52+,AHR,6.477355979794322e-29,1.2063427776768945e-24
DR 53+,ETV6,8.596715457972699e-08,8.005261434464177e-05
DR 54-,TAF1,1.2040958090622766e-10,1.8687566956646533e-07
DR 9+,TP53,1.4753844482803685e-06,0.0009475020677508131
