factor,smi_cell_type,smi_cell_type_value,smi_cnv_status,smi_cnv_status_value,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 38-,,,,,,,,,False,Defense Response To Symbiont (GO:0140546),1.5509064647525634e-23,negative regulation of viral genome replication,2.4780141666813135e-08,IRF3,0.041064457102805825,3,"IFIT2, IFIT1, IFIT3, RSAD2, ISG15, OASL, TNFSF10, IFI6",3.807097,True
DR 39+,,,,,,,,,False,Supramolecular Fiber Organization (GO:0097435),8.470072673000373e-06,mesenchyme migration,0.008894230441125552,SRF,0.0035934699189183713,3,"ACTG2, ACTA1, TAGLN, CNN1, MYL9, ACTA2, KRT17, KRT81",5.1863647,True
DR 47-,,,,,,,,,False,Heat Acclimation (GO:0010286),5.63250738207213e-07,protein refolding,2.0245444289711107e-05,SATB1,1.214671845384707e-20,3,"HSPA6, HSPA1B, HSPA1A, HSPB1, CRYAB",8.075077,True
DR 10+,,,,,,,,,False,,,oxidative phosphorylation,2.0572880021533748e-08,THRA,1.4092968025136919e-05,2,"MT-CO2, MT-CO3, MT-CYB, MT-CO1, MT-ND1, MT-ND4, MT-ND2, MT-ATP8",0.31093726,True
DR 13-,,,,,,,,,False,DNA Metabolic Process (GO:0006259),1.323907104522181e-13,,,TFDP1,0.0231441863766669,2,"TYMS, HIST1H1B, PKMYT1, TK1, UHRF1, ESCO2, ASF1B, RRM2",3.0112555,True
DR 15+,,,,,,,,,False,Regulation Of Cellular Catabolic Process (GO:0031329),0.00023669007227877182,,,RELA,0.00017198056642225802,2,"TRIB3, PSAT1, ASNS, NUPR1, PYCR1, EIF4EBP1, DDIT3, PHGDH",1.3276865,True
DR 18+,,,,,,,,,False,Positive Regulation Of Epithelial Cell Proliferation Involved In Wound Healing (GO:0060054),0.028485283348149315,,,RUNX2,1.6117929291253425e-13,2,"FDCSP, ODAM",4.948439,True
DR 25-,,,,,,,,,False,Defense Response To Virus (GO:0051607),9.602560486564771e-05,,,KLF4,4.314411164434243e-06,2,"CXCL10, CXCL11, IDO1, CXCL9, UBD, WARS, GBP1, CCL8",19.60016,True
DR 27-,,,,,,,,,False,MHC Class II Protein Complex Assembly (GO:0002399),1.6830053199566306e-14,MHC protein complex assembly,6.842821085224148e-09,,,2,"LTF, CD74, HLA-DQA1, HLA-DRA, HLA-DRB5, HLA-DRB1, HLA-DMA, PYDC1",0.3352972,True
DR 28-,,,,,,,,,False,Regulation Of Sprouting Angiogenesis (GO:1903670),0.026307396529610057,,,NCOA1,0.02149690393932172,2,"SCRG1, S100A1, S100B",0.4081178,True
DR 32-,,,,,,,,,False,Dicarboxylic Acid Metabolic Process (GO:0043648),0.030434996635943734,,,POU2F2,1.5942815737949133e-07,2,"MUCL1, APOD, DCD, LINC02303, SPINK8, TSPAN8, AC093001.1, TFPI2",43.753693,True
