factor,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
DR 8-,GO:BP,GO:0150146,cell junction disassembly,0.04360561230048653,True,"""The disaggregation of a cell junction into its constituent components."" [GOC:aruk, PMID:25490267]",11,6,4,1889,0.6666666666666666,0.36363636363636365,query_1,"['GO:0022411', 'GO:0034330']"
DR 9+,GO:BP,GO:0098813,nuclear chromosome segregation,8.724182129043635e-12,True,"""The process in which genetic material, in the form of nuclear chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. Nuclear chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:dos]",61,67,41,1889,0.6119402985074627,0.6721311475409836,query_1,['GO:0007059']
DR 9+,GO:BP,GO:0007059,chromosome segregation,2.493239446578552e-11,True,"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:jl, GOC:mah, GOC:mtg_cell_cycle, GOC:vw]",77,67,46,1889,0.6865671641791045,0.5974025974025974,query_1,['GO:0022402']
DR 9+,GO:BP,GO:0000070,mitotic sister chromatid segregation,6.048708721861228e-11,True,"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]",49,67,32,1889,0.47761194029850745,0.6530612244897959,query_1,"['GO:0000819', 'GO:0140014', 'GO:1903047']"
DR 9+,GO:BP,GO:0000819,sister chromatid segregation,2.6252864939177234e-09,True,"""The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."" [GOC:ai, GOC:elh]",52,67,33,1889,0.4925373134328358,0.6346153846153846,query_1,"['GO:0051276', 'GO:0098813']"
DR 9+,GO:BP,GO:1905818,regulation of chromosome separation,1.4365719392785075e-08,True,"""Any process that modulates the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]",26,86,22,1889,0.2558139534883721,0.8461538461538461,query_1,"['GO:0051304', 'GO:0051983']"
DR 9+,GO:BP,GO:0140014,mitotic nuclear division,1.506409787427407e-08,True,"""A mitotic cell cycle process comprising the steps by which the nucleus of a eukaryotic cell divides; the process involves condensation of chromosomal DNA into a highly compacted form. Canonically, mitosis produces two daughter nuclei whose chromosome complement is identical to that of the mother cell."" [ISBN:0198547684]",66,77,38,1889,0.4935064935064935,0.5757575757575758,query_1,"['GO:0000280', 'GO:1903047']"
DR 9+,GO:BP,GO:0010965,regulation of mitotic sister chromatid separation,1.5887892730886448e-08,True,"""Any process that modulates the frequency, rate or extent of mitotic sister chromatid separation. Mitotic sister chromatid separation is the process in which sister chromatids are physically detached from each other during mitosis."" [GOC:dph, GOC:tb]",23,86,20,1889,0.23255813953488372,0.8695652173913043,query_1,"['GO:0051306', 'GO:1905818']"
DR 9+,GO:BP,GO:0007094,mitotic spindle assembly checkpoint signaling,2.187828083962784e-08,True,"""A mitotic cell cycle checkpoint that delays mitotic sister chromatid separation and consequently the mitotic metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle. Spindle assembly checkpoint signaling begins with the activated Mph family kinase, and results in the inhibition of the Anaphase Promoting Complex and its activator Sleepy/Cdc20 by the mitotic checkpoint complex (MCC)."" [GOC:mtg_cell_cycle, PMID:12360190]",21,86,18,1889,0.20930232558139536,0.8571428571428571,query_1,"['GO:0045841', 'GO:0071173', 'GO:0071174']"
DR 9+,GO:BP,GO:0071174,mitotic spindle checkpoint signaling,2.187828083962784e-08,True,"""A signaling process that contributes to a mitotic cell cycle checkpoint that originates from the spindle and delays the metaphase/anaphase transition of a mitotic nuclear division until the spindle is correctly assembled and oriented, the completion of anaphase until chromosomes are attached to the spindle, or mitotic exit and cytokinesis when the spindle does not form."" [GOC:mtg_cell_cycle]",21,86,18,1889,0.20930232558139536,0.8571428571428571,query_1,"['GO:0007093', 'GO:0031577']"
