title,variable,value
DR 22-,CD8-Tem,0.8245016235285627
DR 20-,Lumsec-HLA,0.6815912196775897
DR 22-,CD4-Treg,0.6597810947112723
DR 22-,Macro-IFN,0.6435432741302441
DR 22-,NK-ILCs,0.6357917258464705
DR 22-,CD4-Th,0.5846102317576939
DR 5-,basal,0.5692426173242334
DR 29-,Lumsec-HLA,0.5675142549666513
DR 22-,NK,0.5366024987321673
DR 17+,Lumsec-HLA,0.5312309782567081
DR 6-,Lumsec-myo,0.5269493612602846
DR 30+,CD8-Tem,0.5155341040665503
DR 30+,CD8-Trm,0.5093822950958735
DR 15-,Lumsec-KIT,0.508399744715169
DR 8-,Macro-IFN,0.5066321324413751
DR 51-,Lumsec-HLA,0.4999101225618421
DR 1-,Vas-arterial,0.48128550725448543
DR 37+,mDC,0.4600424667883121
DR 9+,T_prol,0.4555715250655139
DR 14+,Lumsec-HLA,0.44596671607081345
DR 63+,Macro-IFN,0.43719862185025926
DR 30+,NK-ILCs,0.4331774944868491
DR 30+,CD4-Treg,0.430864293950045
DR 8-,Macro-m1,0.42923954687009297
DR 16+,mDC,0.4239560750209306
DR 30+,NK,0.4237664814745603
DR 6-,Lumsec-major,0.41163160348104
DR 30+,Macro-IFN,0.4034712844990438
DR 17-,pericytes,0.4006456073645006
DR 5-,Lumsec-myo,0.4002349514890016
