title,variable,value
DR 17-,21,0.7931388707480164
DR 12+,26,0.7869128367234268
DR 37+,24,0.7655651942573096
DR 40-,19,0.7505761546087334
DR 5-,4,0.703507576153578
DR 40+,5,0.6393597980367631
DR 3+,23,0.6289143235647061
DR 1-,27,0.6275929578857541
DR 6-,2,0.6154814893107083
DR 49+,23,0.609042180946497
DR 3+,20,0.5023884746894709
DR 63-,1,0.4952782578390047
DR 3+,28,0.4937432728220439
DR 50-,28,0.4866186801323154
DR 22-,19,0.47861610079762007
DR 22+,5,0.4779222505289451
DR 6-,1,0.4416229113557234
DR 5-,27,0.43040195669831693
DR 5-,29,0.42652121458592795
DR 8-,27,0.41363334253920875
DR 12-,17,0.4005253118576142
