factor,term,p_value,p_adj
DR 13+,RUNX2,2.1736948278147998e-16,9.4881779234116e-13
DR 15+,FOSB,7.011050337007026e-07,0.0006442786257060141
DR 15-,NFATC4,1.0321139659850032e-13,3.604141969219631e-10
DR 16-,FOSL2,4.320436188513276e-12,1.0776402264491687e-08
DR 17-,ATF4,3.871819425227082e-06,0.0025037765616468467
DR 18+,RARA,7.129661937247126e-11,9.575684417256525e-08
DR 19-,PBX1,3.047893641245945e-05,0.01612612817459218
DR 20-,KLF4,4.192959793664819e-06,0.0026146099284781337
DR 21+,NR2F2,9.720702008595248e-12,2.121543213375913e-08
DR 24-,ETS1,8.945351314216347e-05,0.044624523984633555
DR 27-,POU2F2,4.3269587803443305e-11,7.554870030481201e-08
DR 29+,NR4A2,6.298945497679112e-07,0.0006109977132748738
DR 29-,HES1,2.286910338950105e-11,4.436606057563203e-08
DR 32+,CEBPE,2.646158257017248e-06,0.0019250801319800478
DR 35-,HES1,5.132827314534026e-08,5.9746109941176063e-05
DR 39-,TAF1,1.710549311300246e-19,1.4933095487651147e-15
DR 4+,STAT1,8.002371835233357e-05,0.04109453301269835
DR 40-,E2F4,2.059094410853339e-06,0.0015631212353695344
DR 42+,PGR,3.7002335277892402e-09,4.614719813942867e-06
DR 44+,HNF1B,4.0885518481642803e-07,0.0004199183251114608
DR 45-,TFAP4,3.630827454855724e-06,0.0024382402831454207
DR 47+,AHR,2.3025635347232463e-17,1.3400919772089292e-13
DR 48+,RUNX2,6.29150961468822e-11,9.15414648937136e-08
DR 5-,SRF,6.933712492297256e-06,0.0040354206705170035
DR 51-,SATB1,1.0897271438576118e-21,1.9026635931753903e-17
DR 55-,CTNNB1,9.572642924414994e-06,0.005391559530976962
DR 8-,TP53,1.9653849455194775e-06,0.0015598009613077305
