factor,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
DR 1-,GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),6.536226539014573e-09,6.261705024375962e-06,0,0,8.426303854875284,158.80132885797548,COL15A1;POSTN;LUM;MMP2;DPT;NID1;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;COL5A1;COL4A2;COL4A1;CTSK;COL5A2
DR 1-,GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),1.1586148715626792e-07,3.699843489856822e-05,0,0,9.828671328671328,156.97243634387547,COL1A1;MMP11;COL3A1;COL15A1;POSTN;COL1A2;CCDC80;COL5A1;COL4A2;COL4A1;MMP2;COL5A2
DR 1-,GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),1.1586148715626792e-07,3.699843489856822e-05,0,0,9.828671328671328,156.97243634387547,COL1A1;MMP11;COL3A1;COL15A1;POSTN;COL1A2;CCDC80;COL5A1;COL4A2;COL4A1;MMP2;COL5A2
DR 1-,GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),1.6329848557674028e-06,0.000391099872956293,0,0,20.35483870967742,271.23028200932396,COL1A1;COL3A1;COL1A2;COL5A1;LUM;COL5A2;DPT
DR 1-,GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),4.9775363420709035e-06,0.0009536959631407851,0,0,5.765325670498084,70.39794438034909,RAMP2;SPARC;SERPINF1;THBS2;HSPG2;DCN;AQP1;CLDN5;CDH5;SFRP2;COL4A2;KDR;CD34
DR 1-,GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),1.57724684214516e-05,0.002518337457958439,0,0,9.631713554987213,106.50021310715996,ACVRL1;CDH5;CLDN5;CLEC3B;COL3A1;COL1A2;LRRC32;ENG
DR 1-,GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),1.9474481763510033e-05,0.002665221932777516,0,0,11.842293906810037,128.44632267420334,ACVRL1;CDH5;CLDN5;COL3A1;COL1A2;LRRC32;ENG
DR 1-,GO_Biological_Process_2023,Endothelium Development (GO:0003158),2.836112005424511e-05,0.0029132762825132942,0,0,79.125,828.4776290914322,KDR;PECAM1;CD34;FSTL1
DR 1-,GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181),2.874146616457206e-05,0.0029132762825132942,0,0,10.925558312655086,114.25041694763075,CLDN5;SPARC;COL4A2;SERPINF1;THBS2;HSPG2;DCN
DR 1-,GO_Biological_Process_2023,Vasculogenesis (GO:0001570),3.0409982072163825e-05,0.0029132762825132942,0,0,24.94736842105263,259.4710837955379,PDGFRB;RAMP2;EGFL7;KDR;ENG
